N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.10,-0.03,-0.01,0.01,N/A,0.15
N/A,N/A,0.10,1,0.01,0.23,0.16,N/A,0.01
N/A,N/A,-0.03,0.01,1,0.01,0.03,N/A,-0.00
N/A,N/A,-0.01,0.23,0.01,1,0.00,N/A,0.16
N/A,N/A,0.01,0.16,0.03,0.00,1,N/A,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.15,0.01,-0.00,0.16,0.11,N/A,1
