1,-0.01,0.14,N/A,0.12,0.01,N/A,N/A,0.01,0.01,0.12,0.27,0.04,-0.00,0.05,N/A,N/A,N/A,0.06,N/A,-0.00,0.63,N/A,N/A,0.02,0.11,0.01,0.04,N/A,0.03,0.09,N/A,-0.05,N/A,-0.01
-0.01,1,0.00,N/A,-0.05,-0.12,N/A,N/A,-0.06,-0.03,0.02,0.02,-0.08,0.14,0.01,N/A,N/A,N/A,-0.04,N/A,-0.01,0.01,N/A,N/A,-0.02,-0.03,0.03,0.07,N/A,0.12,0.05,N/A,-0.00,N/A,0.03
0.14,0.00,1,N/A,-0.00,-0.00,N/A,N/A,0.03,-0.04,0.71,0.01,0.17,0.03,0.03,N/A,N/A,N/A,-0.02,N/A,0.11,0.18,N/A,N/A,-0.00,0.16,0.02,-0.04,N/A,0.03,0.03,N/A,0.08,N/A,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,-0.05,-0.00,N/A,1,-0.03,N/A,N/A,-0.03,0.15,-0.00,0.05,-0.03,-0.07,-0.03,N/A,N/A,N/A,-0.03,N/A,0.05,0.05,N/A,N/A,0.19,-0.02,0.00,-0.07,N/A,0.06,-0.05,N/A,0.04,N/A,0.03
0.01,-0.12,-0.00,N/A,-0.03,1,N/A,N/A,0.07,-0.01,-0.06,-0.01,-0.02,0.01,0.11,N/A,N/A,N/A,0.03,N/A,0.04,-0.04,N/A,N/A,0.01,0.02,-0.03,0.07,N/A,-0.01,-0.03,N/A,0.08,N/A,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,-0.06,0.03,N/A,-0.03,0.07,N/A,N/A,1,-0.06,0.05,0.02,-0.07,-0.04,-0.04,N/A,N/A,N/A,0.00,N/A,0.05,0.00,N/A,N/A,-0.03,0.01,0.08,0.01,N/A,-0.01,-0.10,N/A,-0.03,N/A,-0.00
0.01,-0.03,-0.04,N/A,0.15,-0.01,N/A,N/A,-0.06,1,-0.03,0.00,-0.02,0.02,-0.03,N/A,N/A,N/A,-0.04,N/A,0.03,0.02,N/A,N/A,0.37,-0.02,0.01,0.06,N/A,-0.06,0.01,N/A,0.01,N/A,-0.04
