1,0.89,-0.00,-0.01,N/A,N/A,0.22,0.03,-0.04,N/A
0.89,1,0.00,0.01,N/A,N/A,0.20,0.03,-0.05,N/A
-0.00,0.00,1,0.05,N/A,N/A,0.21,-0.00,0.03,N/A
-0.01,0.01,0.05,1,N/A,N/A,0.08,0.13,-0.01,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.22,0.20,0.21,0.08,N/A,N/A,1,0.07,0.10,N/A
0.03,0.03,-0.00,0.13,N/A,N/A,0.07,1,-0.05,N/A
-0.04,-0.05,0.03,-0.01,N/A,N/A,0.10,-0.05,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
