N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,-0.01,0.12,0.10,0.13,N/A,0.11,0.02,0.02,0.21,0.06,0.04,0.08,N/A,0.28,0.28,0.43,0.02,-0.01,N/A,-0.07,0.03,N/A,N/A,-0.01,0.12,0.04,-0.02,-0.02,0.01,-0.01,0.14,N/A,0.04,N/A,-0.00,0.17,N/A,0.01,0.02,0.06,0.09,0.02,N/A,N/A,N/A,-0.02
N/A,-0.01,1,0.02,0.07,0.10,N/A,0.04,0.03,0.02,0.02,0.15,0.01,-0.00,N/A,-0.01,-0.01,-0.03,0.01,0.06,N/A,0.01,0.10,N/A,N/A,-0.07,0.13,-0.01,0.01,0.00,-0.00,0.02,0.45,N/A,0.03,N/A,0.12,0.04,N/A,0.01,0.12,0.08,0.02,0.02,N/A,N/A,N/A,-0.05
N/A,0.12,0.02,1,0.02,0.09,N/A,0.14,0.16,-0.02,0.20,0.15,0.07,0.69,N/A,0.18,0.07,0.14,-0.01,0.01,N/A,-0.05,0.05,N/A,N/A,0.02,0.14,-0.04,-0.02,0.01,-0.04,-0.04,-0.00,N/A,-0.01,N/A,-0.01,0.12,N/A,0.03,-0.02,0.16,0.76,0.04,N/A,N/A,N/A,-0.00
N/A,0.10,0.07,0.02,1,0.92,N/A,0.23,0.18,0.01,0.11,0.25,0.18,0.05,N/A,0.06,0.06,0.07,0.02,0.19,N/A,0.05,0.12,N/A,N/A,0.12,0.24,0.03,0.02,0.08,0.10,-0.05,0.09,N/A,0.02,N/A,0.00,0.10,N/A,0.14,-0.03,0.24,0.06,0.07,N/A,N/A,N/A,0.07
N/A,0.13,0.10,0.09,0.92,1,N/A,0.52,0.35,0.04,0.30,0.55,0.37,0.08,N/A,0.15,0.13,0.13,0.05,0.29,N/A,0.10,0.18,N/A,N/A,0.12,0.55,0.06,0.07,0.14,0.11,-0.01,0.10,N/A,0.10,N/A,0.03,0.34,N/A,0.13,0.01,0.54,0.09,0.16,N/A,N/A,N/A,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.11,0.04,0.14,0.23,0.52,N/A,1,0.37,0.07,0.49,0.69,0.45,0.08,N/A,0.21,0.19,0.19,0.05,0.29,N/A,0.16,0.17,N/A,N/A,0.01,0.72,0.14,0.10,0.17,0.06,0.08,0.01,N/A,0.20,N/A,-0.01,0.52,N/A,0.04,0.05,0.75,0.09,0.17,N/A,N/A,N/A,0.06
N/A,0.02,0.03,0.16,0.18,0.35,N/A,0.37,1,0.04,0.25,0.40,0.27,0.08,N/A,0.15,0.12,0.07,0.04,0.18,N/A,-0.03,0.03,N/A,N/A,0.02,0.40,0.01,0.10,0.02,0.07,0.00,0.01,N/A,0.15,N/A,0.06,0.31,N/A,0.05,0.06,0.45,0.09,0.17,N/A,N/A,N/A,-0.02
N/A,0.02,0.02,-0.02,0.01,0.04,N/A,0.07,0.04,1,0.04,0.07,0.07,-0.01,N/A,-0.00,0.02,0.03,0.97,0.06,N/A,0.02,0.04,N/A,N/A,-0.00,0.19,0.13,0.06,0.03,0.10,0.35,0.00,N/A,0.11,N/A,0.07,0.13,N/A,0.00,0.02,0.17,-0.01,0.14,N/A,N/A,N/A,0.08
N/A,0.21,0.02,0.20,0.11,0.30,N/A,0.49,0.25,0.04,1,0.50,0.30,0.18,N/A,0.21,0.10,0.10,0.02,0.22,N/A,0.13,0.16,N/A,N/A,0.03,0.48,0.05,0.07,0.06,0.02,0.07,0.09,N/A,0.05,N/A,0.03,0.45,N/A,0.07,0.04,0.46,0.17,0.15,N/A,N/A,N/A,0.00
N/A,0.06,0.15,0.15,0.25,0.55,N/A,0.69,0.40,0.07,0.50,1,0.49,0.08,N/A,0.20,0.11,0.11,0.06,0.31,N/A,0.12,0.29,N/A,N/A,0.05,0.77,0.07,0.11,0.18,0.13,0.07,0.13,N/A,0.20,N/A,0.23,0.57,N/A,0.02,0.10,0.74,0.09,0.22,N/A,N/A,N/A,0.08
N/A,0.04,0.01,0.07,0.18,0.37,N/A,0.45,0.27,0.07,0.30,0.49,1,0.06,N/A,0.14,0.03,0.06,0.06,0.18,N/A,0.09,0.20,N/A,N/A,0.18,0.47,0.04,0.23,0.14,-0.02,0.03,-0.01,N/A,0.07,N/A,0.01,0.41,N/A,0.08,-0.03,0.51,0.04,0.12,N/A,N/A,N/A,0.18
N/A,0.08,-0.00,0.69,0.05,0.08,N/A,0.08,0.08,-0.01,0.18,0.08,0.06,1,N/A,0.16,0.00,0.02,-0.01,0.01,N/A,-0.05,0.06,N/A,N/A,-0.01,0.10,-0.03,-0.01,-0.00,-0.02,-0.02,-0.01,N/A,-0.02,N/A,-0.00,0.09,N/A,0.02,-0.04,0.11,0.81,0.02,N/A,N/A,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.28,-0.01,0.18,0.06,0.15,N/A,0.21,0.15,-0.00,0.21,0.20,0.14,0.16,N/A,1,0.17,0.20,-0.02,0.06,N/A,0.05,0.03,N/A,N/A,0.00,0.22,0.00,0.00,0.04,0.01,0.06,-0.03,N/A,0.05,N/A,-0.03,0.14,N/A,0.02,0.03,0.14,0.08,0.09,N/A,N/A,N/A,-0.00
N/A,0.28,-0.01,0.07,0.06,0.13,N/A,0.19,0.12,0.02,0.10,0.11,0.03,0.00,N/A,0.17,1,0.38,0.02,0.07,N/A,0.11,0.03,N/A,N/A,0.03,0.12,0.06,0.14,0.04,-0.02,-0.03,0.03,N/A,0.05,N/A,-0.02,0.09,N/A,-0.07,-0.01,0.15,0.03,0.01,N/A,N/A,N/A,-0.09
N/A,0.43,-0.03,0.14,0.07,0.13,N/A,0.19,0.07,0.03,0.10,0.11,0.06,0.02,N/A,0.20,0.38,1,0.02,0.03,N/A,-0.05,0.00,N/A,N/A,-0.00,0.14,0.08,0.04,0.12,0.01,0.02,-0.00,N/A,0.04,N/A,0.02,0.10,N/A,0.04,0.01,0.11,0.06,0.07,N/A,N/A,N/A,-0.01
N/A,0.02,0.01,-0.01,0.02,0.05,N/A,0.05,0.04,0.97,0.02,0.06,0.06,-0.01,N/A,-0.02,0.02,0.02,1,0.04,N/A,0.01,0.04,N/A,N/A,0.02,0.10,0.12,0.06,0.02,0.10,0.12,-0.02,N/A,0.10,N/A,0.06,0.12,N/A,0.02,0.02,0.17,-0.00,0.14,N/A,N/A,N/A,0.07
N/A,-0.01,0.06,0.01,0.19,0.29,N/A,0.29,0.18,0.06,0.22,0.31,0.18,0.01,N/A,0.06,0.07,0.03,0.04,1,N/A,0.10,0.09,N/A,N/A,-0.08,0.33,-0.04,0.06,-0.01,0.07,0.07,0.12,N/A,0.11,N/A,-0.06,0.22,N/A,-0.01,-0.02,0.32,0.01,0.00,N/A,N/A,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.07,0.01,-0.05,0.05,0.10,N/A,0.16,-0.03,0.02,0.13,0.12,0.09,-0.05,N/A,0.05,0.11,-0.05,0.01,0.10,N/A,1,0.07,N/A,N/A,-0.03,0.13,-0.06,0.04,0.04,-0.07,0.04,0.01,N/A,-0.01,N/A,-0.02,0.07,N/A,-0.06,0.06,0.13,-0.07,0.06,N/A,N/A,N/A,-0.07
N/A,0.03,0.10,0.05,0.12,0.18,N/A,0.17,0.03,0.04,0.16,0.29,0.20,0.06,N/A,0.03,0.03,0.00,0.04,0.09,N/A,0.07,1,N/A,N/A,0.02,0.24,0.19,0.03,-0.01,0.01,-0.01,0.10,N/A,-0.03,N/A,0.00,0.20,N/A,0.00,0.04,0.17,0.06,0.02,N/A,N/A,N/A,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.01,-0.07,0.02,0.12,0.12,N/A,0.01,0.02,-0.00,0.03,0.05,0.18,-0.01,N/A,0.00,0.03,-0.00,0.02,-0.08,N/A,-0.03,0.02,N/A,N/A,1,0.03,-0.03,0.06,0.04,-0.01,-0.09,-0.06,N/A,-0.02,N/A,0.11,0.02,N/A,0.10,-0.05,0.07,-0.00,-0.01,N/A,N/A,N/A,0.05
N/A,0.12,0.13,0.14,0.24,0.55,N/A,0.72,0.40,0.19,0.48,0.77,0.47,0.10,N/A,0.22,0.12,0.14,0.10,0.33,N/A,0.13,0.24,N/A,N/A,0.03,1,0.08,0.09,0.15,0.07,0.41,0.11,N/A,0.19,N/A,0.10,0.61,N/A,0.01,0.09,0.74,0.11,0.24,N/A,N/A,N/A,0.10
N/A,0.04,-0.01,-0.04,0.03,0.06,N/A,0.14,0.01,0.13,0.05,0.07,0.04,-0.03,N/A,0.00,0.06,0.08,0.12,-0.04,N/A,-0.06,0.19,N/A,N/A,-0.03,0.08,1,0.08,-0.03,0.07,0.05,-0.07,N/A,-0.09,N/A,-0.08,0.04,N/A,0.02,0.01,0.10,-0.05,0.00,N/A,N/A,N/A,-0.08
N/A,-0.02,0.01,-0.02,0.02,0.07,N/A,0.10,0.10,0.06,0.07,0.11,0.23,-0.01,N/A,0.00,0.14,0.04,0.06,0.06,N/A,0.04,0.03,N/A,N/A,0.06,0.09,0.08,1,-0.02,0.01,0.01,-0.08,N/A,0.14,N/A,0.01,0.11,N/A,0.01,-0.04,0.08,-0.00,0.03,N/A,N/A,N/A,0.08
N/A,-0.02,0.00,0.01,0.08,0.14,N/A,0.17,0.02,0.03,0.06,0.18,0.14,-0.00,N/A,0.04,0.04,0.12,0.02,-0.01,N/A,0.04,-0.01,N/A,N/A,0.04,0.15,-0.03,-0.02,1,0.08,0.03,0.02,N/A,0.03,N/A,0.07,0.06,N/A,0.06,-0.02,0.16,0.05,0.22,N/A,N/A,N/A,-0.01
N/A,0.01,-0.00,-0.04,0.10,0.11,N/A,0.06,0.07,0.10,0.02,0.13,-0.02,-0.02,N/A,0.01,-0.02,0.01,0.10,0.07,N/A,-0.07,0.01,N/A,N/A,-0.01,0.07,0.07,0.01,0.08,1,-0.01,-0.07,N/A,0.03,N/A,-0.04,0.06,N/A,0.04,-0.02,0.09,-0.02,0.08,N/A,N/A,N/A,-0.00
N/A,-0.01,0.02,-0.04,-0.05,-0.01,N/A,0.08,0.00,0.35,0.07,0.07,0.03,-0.02,N/A,0.06,-0.03,0.02,0.12,0.07,N/A,0.04,-0.01,N/A,N/A,-0.09,0.41,0.05,0.01,0.03,-0.01,1,0.09,N/A,0.07,N/A,0.04,0.06,N/A,-0.06,-0.02,0.05,-0.01,0.05,N/A,N/A,N/A,0.05
N/A,0.14,0.45,-0.00,0.09,0.10,N/A,0.01,0.01,0.00,0.09,0.13,-0.01,-0.01,N/A,-0.03,0.03,-0.00,-0.02,0.12,N/A,0.01,0.10,N/A,N/A,-0.06,0.11,-0.07,-0.08,0.02,-0.07,0.09,1,N/A,-0.00,N/A,0.05,0.02,N/A,0.05,0.11,0.05,0.03,-0.00,N/A,N/A,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.04,0.03,-0.01,0.02,0.10,N/A,0.20,0.15,0.11,0.05,0.20,0.07,-0.02,N/A,0.05,0.05,0.04,0.10,0.11,N/A,-0.01,-0.03,N/A,N/A,-0.02,0.19,-0.09,0.14,0.03,0.03,0.07,-0.00,N/A,1,N/A,0.00,0.09,N/A,-0.02,-0.03,0.16,-0.01,0.03,N/A,N/A,N/A,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.00,0.12,-0.01,0.00,0.03,N/A,-0.01,0.06,0.07,0.03,0.23,0.01,-0.00,N/A,-0.03,-0.02,0.02,0.06,-0.06,N/A,-0.02,0.00,N/A,N/A,0.11,0.10,-0.08,0.01,0.07,-0.04,0.04,0.05,N/A,0.00,N/A,1,0.03,N/A,-0.02,0.03,0.05,0.04,0.09,N/A,N/A,N/A,-0.02
