1,-0.00,0.06,0.04,0.06,0.05,0.04,0.10,0.08,0.03,-0.01,0.01,0.04,0.07,0.03,0.01,N/A,-0.00,N/A,N/A,-0.01,0.06,0.05,0.04,0.43,N/A,0.00,0.03,N/A,N/A,0.01,-0.00,0.03,0.08,N/A,-0.01,-0.01,0.13,N/A,0.05,0.04,-0.03,0.01,0.03,0.04,0.02,0.06,0.08,N/A,0.06,N/A,-0.04,0.10,0.09,0.03,-0.04,0.03,0.03,0.08,N/A,0.01,0.12,-0.02,N/A,0.00,0.10,0.19,0.06,N/A,0.16,0.03,0.12,-0.01,0.00,0.14,0.05,0.12,N/A,0.10,0.06,0.16,0.03,0.05,0.12,N/A,0.04,0.02,0.06,-0.00,N/A,0.08,0.11
-0.00,1,-0.03,0.02,0.05,0.06,0.02,0.08,0.12,0.03,0.06,0.00,0.02,-0.04,-0.02,-0.02,N/A,-0.00,N/A,N/A,0.01,-0.06,0.02,-0.01,0.01,N/A,0.04,0.05,N/A,N/A,-0.02,0.06,-0.00,-0.01,N/A,0.36,0.18,0.15,N/A,-0.01,0.11,0.22,0.02,0.23,0.02,0.02,-0.01,0.02,N/A,0.06,N/A,0.02,0.06,0.10,0.21,-0.09,0.01,0.00,-0.01,N/A,0.09,0.32,0.24,N/A,0.11,0.07,-0.02,-0.06,N/A,0.02,-0.06,0.32,0.21,0.87,0.17,-0.04,0.08,N/A,-0.08,0.10,0.04,0.02,0.04,0.05,N/A,0.10,-0.04,0.08,0.47,N/A,0.03,0.29
0.06,-0.03,1,0.04,0.02,0.13,0.03,0.10,0.10,0.02,0.07,0.03,0.04,0.93,0.04,0.13,N/A,0.08,N/A,N/A,0.04,0.03,-0.03,0.07,-0.02,N/A,0.22,-0.00,N/A,N/A,0.04,0.11,-0.05,0.07,N/A,0.06,0.01,0.09,N/A,0.05,-0.04,-0.07,-0.03,0.04,0.04,-0.01,0.03,0.16,N/A,-0.02,N/A,0.03,0.18,0.19,0.04,0.05,0.19,0.04,0.07,N/A,0.10,0.11,0.02,N/A,0.07,0.14,0.05,0.03,N/A,0.35,0.02,0.11,0.06,0.04,0.10,0.03,0.13,N/A,0.05,0.02,0.20,0.02,0.07,0.09,N/A,0.06,-0.09,0.05,-0.00,N/A,0.03,-0.04
0.04,0.02,0.04,1,0.01,0.05,0.01,0.01,0.06,0.95,-0.01,0.10,1.00,0.05,0.04,-0.00,N/A,0.06,N/A,N/A,0.01,0.06,0.01,0.03,0.02,N/A,0.01,0.08,N/A,N/A,0.05,-0.04,-0.01,0.13,N/A,0.05,0.02,0.14,N/A,0.02,0.11,-0.07,-0.01,-0.02,1.00,0.01,0.08,0.04,N/A,0.03,N/A,-0.03,0.09,0.14,-0.01,0.05,0.03,0.50,0.13,N/A,-0.00,0.05,-0.00,N/A,0.14,0.16,0.01,0.06,N/A,0.05,0.02,0.05,-0.04,0.06,0.11,0.07,-0.02,N/A,0.03,-0.01,0.10,0.03,0.76,0.09,N/A,0.05,0.05,0.02,-0.02,N/A,0.14,0.12
0.06,0.05,0.02,0.01,1,-0.03,-0.07,0.11,0.13,0.02,0.04,0.03,0.01,0.03,-0.02,0.03,N/A,0.08,N/A,N/A,-0.00,-0.01,-0.06,-0.01,0.15,N/A,0.02,-0.03,N/A,N/A,0.01,0.01,-0.01,0.01,N/A,0.07,0.12,0.11,N/A,0.11,0.02,0.01,0.04,0.07,0.01,-0.06,0.07,-0.04,N/A,0.04,N/A,-0.02,0.08,0.06,0.09,-0.05,0.00,0.03,0.01,N/A,0.01,0.05,0.16,N/A,0.02,0.04,0.06,-0.01,N/A,0.04,0.02,0.05,0.16,0.12,0.08,0.08,0.04,N/A,-0.04,0.04,0.07,-0.02,0.02,0.11,N/A,0.03,-0.07,0.06,0.04,N/A,0.07,0.02
0.05,0.06,0.13,0.05,-0.03,1,0.07,-0.03,0.13,0.04,0.01,0.08,0.05,0.11,0.07,0.06,N/A,0.04,N/A,N/A,0.03,-0.02,0.03,-0.06,0.02,N/A,0.06,-0.02,N/A,N/A,0.53,0.06,-0.01,0.07,N/A,0.08,0.00,0.22,N/A,0.04,0.17,0.19,0.09,0.02,0.05,0.01,0.06,0.12,N/A,-0.03,N/A,0.04,0.19,0.25,0.02,0.02,0.16,0.06,0.07,N/A,0.08,0.09,0.09,N/A,0.02,0.18,0.01,-0.02,N/A,0.18,0.07,0.09,0.09,0.05,0.14,0.07,-0.05,N/A,0.11,0.09,0.12,0.02,0.08,0.16,N/A,0.01,0.01,0.01,-0.01,N/A,0.08,0.03
0.04,0.02,0.03,0.01,-0.07,0.07,1,0.06,0.10,0.02,-0.02,0.03,0.01,0.02,0.03,0.04,N/A,0.08,N/A,N/A,0.08,-0.07,0.05,0.05,-0.07,N/A,0.09,0.12,N/A,N/A,0.09,0.11,0.14,0.04,N/A,-0.07,-0.03,0.25,N/A,0.06,0.05,-0.01,-0.02,0.04,0.01,0.05,0.07,0.64,N/A,-0.03,N/A,-0.04,0.19,0.29,-0.02,0.03,0.09,0.05,0.04,N/A,0.06,0.10,-0.02,N/A,0.07,0.24,0.10,-0.07,N/A,0.26,0.16,0.10,0.01,-0.03,0.24,0.05,0.04,N/A,-0.06,0.05,0.18,0.06,0.10,0.20,N/A,0.12,0.07,0.01,0.02,N/A,0.13,0.12
0.10,0.08,0.10,0.01,0.11,-0.03,0.06,1,0.21,-0.01,-0.00,0.02,0.01,0.03,0.01,0.01,N/A,0.05,N/A,N/A,0.05,0.06,-0.02,0.03,-0.00,N/A,0.02,0.14,N/A,N/A,-0.01,-0.04,0.05,0.06,N/A,0.01,-0.01,0.26,N/A,0.01,-0.02,-0.08,0.08,0.20,0.01,0.06,0.06,0.08,N/A,0.03,N/A,0.04,0.21,0.25,0.01,-0.08,0.03,0.04,0.06,N/A,0.03,-0.01,-0.09,N/A,0.06,0.22,0.03,0.06,N/A,0.16,0.04,-0.01,0.05,0.07,0.26,0.05,0.06,N/A,0.12,0.02,0.18,0.06,0.09,0.16,N/A,0.10,-0.01,-0.00,0.15,N/A,0.18,0.07
0.08,0.12,0.10,0.06,0.13,0.13,0.10,0.21,1,0.07,0.11,0.11,0.06,0.09,0.03,0.13,N/A,0.15,N/A,N/A,0.15,0.04,0.05,0.15,0.01,N/A,0.34,0.17,N/A,N/A,0.17,0.10,0.05,0.11,N/A,0.06,0.09,0.39,N/A,0.00,0.02,0.03,0.32,0.09,0.06,0.20,0.09,0.18,N/A,-0.02,N/A,0.03,0.33,0.36,0.14,0.04,0.30,0.14,0.11,N/A,0.17,0.13,0.07,N/A,0.08,0.33,0.10,0.04,N/A,0.30,0.06,0.13,0.03,0.09,0.36,0.09,0.12,N/A,0.13,0.11,0.46,0.07,0.21,0.31,N/A,0.12,0.06,0.04,0.10,N/A,0.25,0.18
0.03,0.03,0.02,0.95,0.02,0.04,0.02,-0.01,0.07,1,-0.00,0.08,0.95,0.02,0.03,-0.03,N/A,0.04,N/A,N/A,0.00,0.05,0.01,0.03,0.02,N/A,0.01,0.08,N/A,N/A,0.04,-0.03,-0.00,0.11,N/A,0.06,0.01,0.14,N/A,0.02,0.10,-0.06,0.01,-0.02,0.95,0.01,0.09,0.04,N/A,0.05,N/A,-0.04,0.08,0.14,-0.01,0.04,0.03,0.47,0.11,N/A,-0.00,0.04,-0.02,N/A,0.15,0.15,0.03,0.05,N/A,0.05,0.02,0.04,-0.03,0.08,0.10,0.06,-0.01,N/A,-0.00,0.00,0.10,0.03,0.72,0.10,N/A,0.06,0.05,0.02,-0.02,N/A,0.13,0.11
-0.01,0.06,0.07,-0.01,0.04,0.01,-0.02,-0.00,0.11,-0.00,1,0.12,-0.01,0.09,-0.02,-0.07,N/A,-0.02,N/A,N/A,0.03,0.04,-0.03,0.03,-0.02,N/A,-0.05,-0.03,N/A,N/A,-0.02,0.17,-0.01,0.20,N/A,0.05,0.00,0.04,N/A,0.02,-0.04,-0.01,0.06,0.02,-0.01,-0.03,-0.00,-0.03,N/A,-0.01,N/A,-0.04,0.02,0.06,0.06,0.12,0.10,0.02,0.20,N/A,0.04,0.09,-0.01,N/A,-0.03,0.04,-0.01,0.04,N/A,0.04,0.01,0.09,0.06,0.06,0.06,0.03,0.01,N/A,-0.04,0.01,0.09,-0.02,0.02,0.10,N/A,-0.00,0.10,0.02,0.05,N/A,0.12,0.04
