N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,-0.02,-0.06,N/A,0.03,0.02,0.05,0.01,0.08,0.08,-0.03,0.05,-0.00,-0.06,N/A,0.03,0.02,-0.02,0.02,N/A,N/A,-0.04,0.18,0.02,0.03,N/A,0.02,N/A,N/A,N/A,0.42,0.00,N/A,0.01,N/A,N/A,0.00,N/A,-0.04,-0.02,-0.06,N/A,0.04,-0.05,-0.00,-0.06,0.01,-0.02,0.05,0.07,0.02,-0.01,0.00,0.02,0.02,N/A,-0.07
N/A,-0.02,1,-0.04,N/A,-0.11,0.00,0.09,0.01,0.01,-0.05,0.01,-0.07,0.02,0.24,N/A,-0.04,0.01,-0.03,0.11,N/A,N/A,-0.03,0.01,-0.05,0.01,N/A,-0.01,N/A,N/A,N/A,-0.01,0.02,N/A,0.05,N/A,N/A,-0.06,N/A,-0.04,0.07,0.02,N/A,0.08,0.03,-0.00,-0.01,-0.04,-0.02,-0.08,-0.02,0.02,-0.00,0.00,-0.01,0.06,N/A,0.10
N/A,-0.06,-0.04,1,N/A,0.19,0.02,0.04,-0.06,0.03,0.04,0.78,0.02,-0.02,0.31,N/A,0.23,-0.04,0.00,0.05,N/A,N/A,0.06,0.73,0.05,-0.02,N/A,0.82,N/A,N/A,N/A,0.02,-0.07,N/A,-0.07,N/A,N/A,0.15,N/A,0.03,0.01,0.76,N/A,0.15,0.01,0.25,0.11,0.08,-0.01,-0.03,-0.04,0.84,0.08,0.21,0.02,-0.00,N/A,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.03,-0.11,0.19,N/A,1,0.03,-0.05,-0.00,-0.05,0.02,0.19,0.02,-0.06,-0.04,N/A,0.06,-0.01,0.15,0.01,N/A,N/A,0.03,0.13,-0.02,0.02,N/A,0.27,N/A,N/A,N/A,0.02,-0.02,N/A,-0.02,N/A,N/A,0.05,N/A,0.01,0.03,0.21,N/A,0.14,0.02,0.01,-0.03,-0.06,0.02,-0.01,-0.02,0.14,0.04,-0.03,-0.06,0.04,N/A,0.04
N/A,0.02,0.00,0.02,N/A,0.03,1,-0.04,-0.00,0.01,0.01,0.01,0.10,-0.01,0.00,N/A,0.06,-0.00,0.01,-0.09,N/A,N/A,0.03,0.02,0.00,-0.00,N/A,0.01,N/A,N/A,N/A,0.03,-0.02,N/A,0.00,N/A,N/A,0.11,N/A,0.06,0.01,0.00,N/A,0.02,-0.03,0.01,-0.00,-0.05,-0.03,0.06,-0.01,0.01,0.02,0.05,0.06,0.01,N/A,0.07
N/A,0.05,0.09,0.04,N/A,-0.05,-0.04,1,0.01,0.02,-0.01,0.05,0.01,-0.05,0.01,N/A,0.02,0.00,-0.00,-0.04,N/A,N/A,0.03,0.06,0.03,0.04,N/A,0.00,N/A,N/A,N/A,0.06,0.05,N/A,0.00,N/A,N/A,0.03,N/A,0.02,0.08,0.04,N/A,0.07,0.08,0.07,0.08,-0.09,-0.07,-0.01,-0.02,0.04,0.02,0.11,0.00,0.01,N/A,-0.04
N/A,0.01,0.01,-0.06,N/A,-0.00,-0.00,0.01,1,-0.10,0.07,-0.04,0.24,0.06,0.02,N/A,0.15,0.07,0.19,0.03,N/A,N/A,-0.04,-0.03,0.04,0.04,N/A,-0.04,N/A,N/A,N/A,-0.02,0.08,N/A,0.89,N/A,N/A,-0.02,N/A,0.06,0.01,-0.05,N/A,-0.03,-0.02,0.01,0.06,-0.11,-0.01,0.03,-0.08,-0.03,0.07,0.04,-0.01,0.05,N/A,0.04
N/A,0.08,0.01,0.03,N/A,-0.05,0.01,0.02,-0.10,1,-0.03,-0.05,0.02,0.07,-0.06,N/A,-0.06,0.01,-0.06,0.09,N/A,N/A,0.08,0.07,0.04,0.07,N/A,0.05,N/A,N/A,N/A,0.07,0.02,N/A,-0.06,N/A,N/A,0.03,N/A,0.13,-0.05,-0.01,N/A,0.04,-0.04,0.01,0.01,0.01,-0.04,-0.05,-0.02,0.05,0.05,0.03,0.09,0.13,N/A,-0.10
