N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.04,N/A,N/A,N/A,N/A,0.15,N/A,N/A,0.00,0.05,N/A,N/A,0.03,N/A,N/A,-0.02,0.06,0.02,N/A,N/A,0.08,0.01,N/A,0.15
N/A,0.04,1,N/A,N/A,N/A,N/A,-0.03,N/A,N/A,0.21,0.03,N/A,N/A,0.07,N/A,N/A,0.00,0.11,0.03,N/A,N/A,-0.07,0.60,N/A,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.15,-0.03,N/A,N/A,N/A,N/A,1,N/A,N/A,-0.02,0.08,N/A,N/A,0.01,N/A,N/A,0.06,0.06,0.17,N/A,N/A,0.14,0.05,N/A,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.00,0.21,N/A,N/A,N/A,N/A,-0.02,N/A,N/A,1,0.04,N/A,N/A,-0.02,N/A,N/A,-0.09,-0.01,-0.01,N/A,N/A,-0.06,0.02,N/A,-0.01
N/A,0.05,0.03,N/A,N/A,N/A,N/A,0.08,N/A,N/A,0.04,1,N/A,N/A,0.12,N/A,N/A,0.01,0.15,0.09,N/A,N/A,0.08,0.04,N/A,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.03,0.07,N/A,N/A,N/A,N/A,0.01,N/A,N/A,-0.02,0.12,N/A,N/A,1,N/A,N/A,0.11,0.21,0.07,N/A,N/A,0.02,0.08,N/A,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.02,0.00,N/A,N/A,N/A,N/A,0.06,N/A,N/A,-0.09,0.01,N/A,N/A,0.11,N/A,N/A,1,0.13,-0.06,N/A,N/A,-0.05,0.01,N/A,-0.04
N/A,0.06,0.11,N/A,N/A,N/A,N/A,0.06,N/A,N/A,-0.01,0.15,N/A,N/A,0.21,N/A,N/A,0.13,1,0.04,N/A,N/A,-0.01,0.11,N/A,0.13
N/A,0.02,0.03,N/A,N/A,N/A,N/A,0.17,N/A,N/A,-0.01,0.09,N/A,N/A,0.07,N/A,N/A,-0.06,0.04,1,N/A,N/A,0.12,0.05,N/A,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.08,-0.07,N/A,N/A,N/A,N/A,0.14,N/A,N/A,-0.06,0.08,N/A,N/A,0.02,N/A,N/A,-0.05,-0.01,0.12,N/A,N/A,1,-0.03,N/A,0.04
N/A,0.01,0.60,N/A,N/A,N/A,N/A,0.05,N/A,N/A,0.02,0.04,N/A,N/A,0.08,N/A,N/A,0.01,0.11,0.05,N/A,N/A,-0.03,1,N/A,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.15,0.11,N/A,N/A,N/A,N/A,0.00,N/A,N/A,-0.01,0.03,N/A,N/A,0.12,N/A,N/A,-0.04,0.13,-0.01,N/A,N/A,0.04,0.16,N/A,1
