N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.01,-0.00,-0.02,-0.02,0.05,0.03,N/A,N/A,0.06,0.01,N/A,0.00,N/A,0.12,-0.05,N/A,N/A,N/A,N/A,N/A,-0.03,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,0.01,-0.00,0.22,N/A,0.04,-0.03,-0.05,-0.01,N/A
N/A,N/A,0.01,1,-0.01,0.08,0.03,-0.01,0.01,N/A,N/A,-0.03,0.08,N/A,-0.02,N/A,-0.02,0.02,N/A,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,-0.01,N/A,N/A,N/A,N/A,N/A,-0.03,-0.01,0.08,N/A,-0.00,0.03,0.10,0.02,N/A
N/A,N/A,-0.00,-0.01,1,0.01,0.02,-0.03,0.09,N/A,N/A,0.02,0.00,N/A,-0.04,N/A,-0.01,-0.10,N/A,N/A,N/A,N/A,N/A,-0.08,N/A,N/A,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.09,-0.00,0.01,N/A,-0.01,0.00,0.04,-0.07,N/A
N/A,N/A,-0.02,0.08,0.01,1,0.16,0.02,-0.03,N/A,N/A,0.07,-0.01,N/A,0.01,N/A,0.02,0.06,N/A,N/A,N/A,N/A,N/A,-0.05,N/A,N/A,N/A,N/A,-0.07,N/A,N/A,N/A,N/A,N/A,0.02,-0.01,0.07,N/A,0.02,-0.00,0.19,0.08,N/A
N/A,N/A,-0.02,0.03,0.02,0.16,1,0.25,0.12,N/A,N/A,0.07,0.07,N/A,0.04,N/A,0.22,-0.02,N/A,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,N/A,N/A,0.07,-0.03,0.23,N/A,0.42,0.04,0.48,-0.04,N/A
N/A,N/A,0.05,-0.01,-0.03,0.02,0.25,1,0.08,N/A,N/A,0.04,0.02,N/A,-0.01,N/A,0.17,-0.03,N/A,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,N/A,N/A,-0.06,0.04,0.15,N/A,0.41,0.07,0.15,-0.00,N/A
N/A,N/A,0.03,0.01,0.09,-0.03,0.12,0.08,1,N/A,N/A,0.01,0.05,N/A,0.06,N/A,-0.03,-0.05,N/A,N/A,N/A,N/A,N/A,0.32,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.06,0.02,0.02,N/A,0.03,0.08,0.03,-0.04,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.06,-0.03,0.02,0.07,0.07,0.04,0.01,N/A,N/A,1,-0.09,N/A,0.03,N/A,0.03,0.07,N/A,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,-0.03,-0.03,0.06,N/A,0.05,0.17,0.17,0.14,N/A
N/A,N/A,0.01,0.08,0.00,-0.01,0.07,0.02,0.05,N/A,N/A,-0.09,1,N/A,0.15,N/A,-0.00,0.02,N/A,N/A,N/A,N/A,N/A,0.18,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.01,N/A,0.06,0.06,0.01,0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.00,-0.02,-0.04,0.01,0.04,-0.01,0.06,N/A,N/A,0.03,0.15,N/A,1,N/A,-0.01,0.02,N/A,N/A,N/A,N/A,N/A,-0.01,N/A,N/A,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,-0.05,0.01,-0.02,N/A,-0.00,0.01,0.03,-0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.12,-0.02,-0.01,0.02,0.22,0.17,-0.03,N/A,N/A,0.03,-0.00,N/A,-0.01,N/A,1,0.03,N/A,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,-0.03,N/A,N/A,N/A,N/A,N/A,-0.07,-0.01,0.11,N/A,0.03,-0.01,0.14,-0.02,N/A
N/A,N/A,-0.05,0.02,-0.10,0.06,-0.02,-0.03,-0.05,N/A,N/A,0.07,0.02,N/A,0.02,N/A,0.03,1,N/A,N/A,N/A,N/A,N/A,-0.02,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,N/A,N/A,-0.06,-0.08,0.08,N/A,0.02,0.12,0.09,0.25,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
