1,0.17,0.06,-0.02,N/A,0.03,0.21,0.07,0.02,N/A,0.14,0.21
0.17,1,0.02,0.04,N/A,0.01,-0.04,-0.00,-0.04,N/A,0.16,-0.04
0.06,0.02,1,-0.03,N/A,0.04,0.14,0.10,0.06,N/A,0.35,0.14
-0.02,0.04,-0.03,1,N/A,0.08,-0.02,-0.01,-0.06,N/A,0.03,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.01,0.04,0.08,N/A,1,0.02,0.08,-0.07,N/A,0.07,0.02
0.21,-0.04,0.14,-0.02,N/A,0.02,1,0.01,0.01,N/A,0.08,1.00
0.07,-0.00,0.10,-0.01,N/A,0.08,0.01,1,0.03,N/A,0.07,0.01
0.02,-0.04,0.06,-0.06,N/A,-0.07,0.01,0.03,1,N/A,0.04,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.16,0.35,0.03,N/A,0.07,0.08,0.07,0.04,N/A,1,0.08
0.21,-0.04,0.14,-0.02,N/A,0.02,1.00,0.01,0.01,N/A,0.08,1
