N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,N/A,0.09,0.09,N/A,0.64,N/A,N/A,0.07,0.03,-0.02,0.15,0.07,0.09,1.00,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.09,N/A,1,0.07,N/A,0.59,N/A,N/A,0.17,0.08,0.26,0.42,0.44,0.67,0.09,0.09
N/A,0.09,N/A,0.07,1,N/A,0.09,N/A,N/A,-0.01,0.07,0.06,0.03,0.04,0.09,0.09,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.64,N/A,0.59,0.09,N/A,1,N/A,N/A,0.20,0.07,0.14,0.33,0.34,0.50,0.64,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.07,N/A,0.17,-0.01,N/A,0.20,N/A,N/A,1,0.00,0.11,0.13,0.12,0.09,0.07,0.09
N/A,0.03,N/A,0.08,0.07,N/A,0.07,N/A,N/A,0.00,1,0.05,-0.02,0.22,0.49,0.03,-0.07
N/A,-0.02,N/A,0.26,0.06,N/A,0.14,N/A,N/A,0.11,0.05,1,0.10,0.09,0.17,-0.02,0.00
N/A,0.15,N/A,0.42,0.03,N/A,0.33,N/A,N/A,0.13,-0.02,0.10,1,0.22,0.29,0.15,0.89
N/A,0.07,N/A,0.44,0.04,N/A,0.34,N/A,N/A,0.12,0.22,0.09,0.22,1,0.41,0.07,0.04
N/A,0.09,N/A,0.67,0.09,N/A,0.50,N/A,N/A,0.09,0.49,0.17,0.29,0.41,1,0.09,0.04
N/A,1.00,N/A,0.09,0.09,N/A,0.64,N/A,N/A,0.07,0.03,-0.02,0.15,0.07,0.09,1,0.10
N/A,0.10,N/A,0.09,-0.01,N/A,0.10,N/A,N/A,0.09,-0.07,0.00,0.89,0.04,0.04,0.10,1
