N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.14,0.31,0.24,0.29,0.22,N/A,0.26,0.23,0.14
N/A,0.14,1,0.07,0.04,0.01,-0.04,N/A,0.10,0.12,0.05
N/A,0.31,0.07,1,0.15,0.29,0.04,N/A,0.12,0.03,0.03
N/A,0.24,0.04,0.15,1,0.18,0.13,N/A,0.09,0.09,0.01
N/A,0.29,0.01,0.29,0.18,1,0.18,N/A,0.05,-0.02,-0.05
N/A,0.22,-0.04,0.04,0.13,0.18,1,N/A,0.05,0.05,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.26,0.10,0.12,0.09,0.05,0.05,N/A,1,0.17,0.33
N/A,0.23,0.12,0.03,0.09,-0.02,0.05,N/A,0.17,1,0.13
N/A,0.14,0.05,0.03,0.01,-0.05,0.07,N/A,0.33,0.13,1
