0.30,0.05,0.31,0.09,0.21,N/A,0.13,0.06,0.17,0.28,0.10,0.28,0.27,0.17,1,N/A,0.24,N/A,0.17,-0.00,-0.01,0.13,0.12,N/A,N/A,0.05,0.00,0.10,0.07,0.11,0.01,N/A,0.27,0.11,0.05,0.01,N/A,0.25,N/A,N/A,0.17,0.06,0.45,0.23,0.15,N/A,0.10,0.16,0.22
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,-0.00,0.20,-0.01,0.09,N/A,0.05,0.06,0.38,0.15,0.01,0.16,0.33,0.08,0.24,N/A,1,N/A,0.41,-0.02,0.14,0.15,0.07,N/A,N/A,0.06,-0.05,0.02,0.01,0.04,0.01,N/A,0.40,0.03,0.01,0.00,N/A,0.31,N/A,N/A,0.09,0.03,0.22,0.34,0.05,N/A,0.08,0.36,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.02,0.13,-0.07,0.16,N/A,0.12,0.11,0.49,0.18,0.03,0.11,0.54,0.10,0.17,N/A,0.41,N/A,1,0.00,0.23,0.20,0.15,N/A,N/A,0.12,-0.03,0.11,0.08,0.10,0.11,N/A,0.51,0.12,-0.01,0.04,N/A,0.37,N/A,N/A,0.14,-0.01,0.27,0.40,0.07,N/A,0.02,0.48,0.00
0.11,0.04,-0.03,-0.05,0.05,N/A,0.02,0.04,0.01,0.05,-0.02,0.06,0.02,0.10,-0.00,N/A,-0.02,N/A,0.00,1,0.01,0.02,0.09,N/A,N/A,0.00,-0.02,-0.03,0.01,0.02,0.05,N/A,0.01,0.01,0.01,-0.02,N/A,-0.01,N/A,N/A,-0.02,-0.04,0.11,-0.02,0.01,N/A,-0.07,0.07,-0.00
0.03,0.10,-0.00,-0.06,-0.02,N/A,-0.01,0.23,0.19,0.05,0.16,0.09,0.24,-0.01,-0.01,N/A,0.14,N/A,0.23,0.01,1,0.06,0.02,N/A,N/A,0.31,0.05,-0.02,-0.01,0.02,0.27,N/A,0.18,-0.00,-0.03,-0.07,N/A,0.07,N/A,N/A,0.02,0.01,0.12,0.21,0.07,N/A,0.05,0.10,0.02
0.09,0.29,0.05,0.03,0.09,N/A,0.12,0.09,0.15,0.18,-0.04,0.15,0.12,0.09,0.13,N/A,0.15,N/A,0.20,0.02,0.06,1,-0.01,N/A,N/A,-0.00,-0.06,0.12,0.08,0.13,0.15,N/A,0.15,0.09,-0.02,0.08,N/A,0.17,N/A,N/A,0.17,-0.07,0.18,0.34,0.14,N/A,0.08,0.11,0.09
0.14,0.07,0.13,0.12,0.21,N/A,0.24,0.01,0.05,0.24,-0.00,0.01,0.05,0.21,0.12,N/A,0.07,N/A,0.15,0.09,0.02,-0.01,1,N/A,N/A,0.12,-0.06,0.05,0.02,0.23,0.05,N/A,0.08,0.34,-0.04,0.00,N/A,-0.01,N/A,N/A,-0.01,0.21,0.13,0.03,0.05,N/A,0.17,0.22,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.06,0.04,0.11,0.11,N/A,0.07,0.09,0.03,0.14,0.04,0.15,0.09,0.06,0.05,N/A,0.06,N/A,0.12,0.00,0.31,-0.00,0.12,N/A,N/A,1,0.05,-0.01,0.16,0.09,0.02,N/A,0.11,0.17,0.21,0.01,N/A,0.04,N/A,N/A,0.00,-0.04,0.17,0.02,0.21,N/A,0.05,0.05,0.09
-0.01,0.00,0.03,0.05,-0.00,N/A,-0.03,-0.02,-0.02,0.01,0.00,-0.02,0.04,-0.05,0.00,N/A,-0.05,N/A,-0.03,-0.02,0.05,-0.06,-0.06,N/A,N/A,0.05,1,-0.03,0.03,0.00,0.03,N/A,-0.01,-0.02,0.02,-0.02,N/A,-0.01,N/A,N/A,-0.01,-0.01,0.06,-0.01,0.11,N/A,-0.03,-0.07,0.02
0.15,-0.04,0.05,0.02,0.10,N/A,0.08,-0.03,0.11,0.17,0.07,0.09,0.08,0.08,0.10,N/A,0.02,N/A,0.11,-0.03,-0.02,0.12,0.05,N/A,N/A,-0.01,-0.03,1,0.07,0.09,-0.05,N/A,0.09,0.04,0.10,0.01,N/A,0.08,N/A,N/A,0.11,0.02,0.20,0.12,0.05,N/A,0.07,0.03,0.05
0.10,0.07,0.05,-0.01,0.05,N/A,-0.00,0.07,0.02,0.05,-0.03,0.19,0.11,0.02,0.07,N/A,0.01,N/A,0.08,0.01,-0.01,0.08,0.02,N/A,N/A,0.16,0.03,0.07,1,0.01,-0.06,N/A,0.01,0.05,-0.06,0.03,N/A,0.14,N/A,N/A,0.09,-0.00,0.17,0.02,0.22,N/A,0.06,0.03,-0.01
0.13,0.06,0.05,0.17,0.76,N/A,0.87,0.07,0.04,0.85,0.08,0.14,0.13,0.72,0.11,N/A,0.04,N/A,0.10,0.02,0.02,0.13,0.23,N/A,N/A,0.09,0.00,0.09,0.01,1,0.01,N/A,0.07,0.73,0.02,-0.04,N/A,0.09,N/A,N/A,0.12,0.02,0.23,0.05,0.15,N/A,0.14,0.10,0.00
0.05,0.17,-0.00,-0.02,0.09,N/A,0.04,-0.02,0.17,0.03,-0.03,-0.01,0.07,0.02,0.01,N/A,0.01,N/A,0.11,0.05,0.27,0.15,0.05,N/A,N/A,0.02,0.03,-0.05,-0.06,0.01,1,N/A,0.06,0.00,0.08,-0.02,N/A,0.04,N/A,N/A,0.04,-0.03,0.08,0.28,0.04,N/A,0.05,0.02,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.15,0.05,0.15,0.02,0.17,N/A,0.10,0.05,0.39,0.18,0.05,0.17,0.43,0.18,0.27,N/A,0.40,N/A,0.51,0.01,0.18,0.15,0.08,N/A,N/A,0.11,-0.01,0.09,0.01,0.07,0.06,N/A,1,0.07,0.01,0.06,N/A,0.35,N/A,N/A,0.13,0.12,0.29,0.28,0.05,N/A,0.07,0.35,0.06
0.12,0.04,0.13,0.18,0.68,N/A,0.80,0.01,0.01,0.63,0.03,0.19,0.06,0.66,0.11,N/A,0.03,N/A,0.12,0.01,-0.00,0.09,0.34,N/A,N/A,0.17,-0.02,0.04,0.05,0.73,0.00,N/A,0.07,1,0.03,-0.00,N/A,0.03,N/A,N/A,0.14,0.05,0.21,0.00,0.13,N/A,0.18,0.10,0.03
-0.00,-0.01,0.04,-0.04,0.04,N/A,0.05,0.01,-0.08,0.07,0.02,0.06,0.05,0.07,0.05,N/A,0.01,N/A,-0.01,0.01,-0.03,-0.02,-0.04,N/A,N/A,0.21,0.02,0.10,-0.06,0.02,0.08,N/A,0.01,0.03,1,0.05,N/A,0.02,N/A,N/A,0.01,0.01,0.05,-0.01,0.03,N/A,-0.03,-0.05,-0.00
0.01,0.02,-0.04,-0.04,0.02,N/A,0.01,0.07,0.01,0.01,0.01,0.02,0.00,0.04,0.01,N/A,0.00,N/A,0.04,-0.02,-0.07,0.08,0.00,N/A,N/A,0.01,-0.02,0.01,0.03,-0.04,-0.02,N/A,0.06,-0.00,0.05,1,N/A,0.05,N/A,N/A,0.09,-0.02,0.12,0.01,0.04,N/A,0.04,0.09,-0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,0.03,0.16,0.04,0.12,N/A,0.09,0.17,0.34,0.20,0.05,0.14,0.31,0.12,0.25,N/A,0.31,N/A,0.37,-0.01,0.07,0.17,-0.01,N/A,N/A,0.04,-0.01,0.08,0.14,0.09,0.04,N/A,0.35,0.03,0.02,0.05,N/A,1,N/A,N/A,0.21,-0.00,0.29,0.24,0.11,N/A,0.02,0.26,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.34,0.09,0.28,0.18,0.24,N/A,0.16,0.09,0.08,0.25,0.11,0.16,0.08,0.17,0.17,N/A,0.09,N/A,0.14,-0.02,0.02,0.17,-0.01,N/A,N/A,0.00,-0.01,0.11,0.09,0.12,0.04,N/A,0.13,0.14,0.01,0.09,N/A,0.21,N/A,N/A,1,0.14,0.35,0.11,0.09,N/A,0.05,0.08,0.15
0.07,0.06,0.09,0.14,0.07,N/A,0.02,-0.02,0.01,0.14,0.11,0.03,0.01,0.00,0.06,N/A,0.03,N/A,-0.01,-0.04,0.01,-0.07,0.21,N/A,N/A,-0.04,-0.01,0.02,-0.00,0.02,-0.03,N/A,0.12,0.05,0.01,-0.02,N/A,-0.00,N/A,N/A,0.14,1,0.11,-0.01,0.09,N/A,0.15,0.05,0.04
0.58,0.11,0.49,0.10,0.44,N/A,0.24,0.07,0.23,0.57,0.19,0.44,0.25,0.32,0.45,N/A,0.22,N/A,0.27,0.11,0.12,0.18,0.13,N/A,N/A,0.17,0.06,0.20,0.17,0.23,0.08,N/A,0.29,0.21,0.05,0.12,N/A,0.29,N/A,N/A,0.35,0.11,1,0.25,0.29,N/A,0.14,0.24,0.31
0.14,0.23,0.15,-0.01,0.07,N/A,-0.00,0.11,0.59,0.13,0.00,0.08,0.38,-0.01,0.23,N/A,0.34,N/A,0.40,-0.02,0.21,0.34,0.03,N/A,N/A,0.02,-0.01,0.12,0.02,0.05,0.28,N/A,0.28,0.00,-0.01,0.01,N/A,0.24,N/A,N/A,0.11,-0.01,0.25,1,0.08,N/A,0.07,0.31,0.09
0.13,0.11,0.18,0.08,0.10,N/A,0.11,0.02,-0.03,0.20,0.10,0.18,0.23,0.12,0.15,N/A,0.05,N/A,0.07,0.01,0.07,0.14,0.05,N/A,N/A,0.21,0.11,0.05,0.22,0.15,0.04,N/A,0.05,0.13,0.03,0.04,N/A,0.11,N/A,N/A,0.09,0.09,0.29,0.08,1,N/A,0.15,0.06,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.04,0.06,0.12,0.24,N/A,0.22,0.00,0.05,0.15,0.04,0.02,0.02,0.20,0.10,N/A,0.08,N/A,0.02,-0.07,0.05,0.08,0.17,N/A,N/A,0.05,-0.03,0.07,0.06,0.14,0.05,N/A,0.07,0.18,-0.03,0.04,N/A,0.02,N/A,N/A,0.05,0.15,0.14,0.07,0.15,N/A,1,-0.03,0.02
0.19,0.15,0.14,0.04,0.15,N/A,0.15,0.06,0.40,0.21,0.01,0.14,0.40,0.15,0.16,N/A,0.36,N/A,0.48,0.07,0.10,0.11,0.22,N/A,N/A,0.05,-0.07,0.03,0.03,0.10,0.02,N/A,0.35,0.10,-0.05,0.09,N/A,0.26,N/A,N/A,0.08,0.05,0.24,0.31,0.06,N/A,-0.03,1,0.01
0.15,0.01,0.32,0.08,0.08,N/A,0.04,0.07,0.08,0.15,0.04,0.15,0.04,0.14,0.22,N/A,0.08,N/A,0.00,-0.00,0.02,0.09,0.05,N/A,N/A,0.09,0.02,0.05,-0.01,0.00,0.03,N/A,0.06,0.03,-0.00,-0.07,N/A,0.12,N/A,N/A,0.15,0.04,0.31,0.09,0.08,N/A,0.02,0.01,1
