1,0.17,0.42,0.09,0.18,0.23,0.40,0.25,0.49,0.08,0.40,0.16,0.37
0.17,1,0.16,0.01,0.97,0.08,0.20,0.07,0.20,0.11,0.23,0.08,0.18
0.42,0.16,1,0.12,0.19,0.27,0.48,0.29,0.52,0.14,0.46,0.15,0.46
0.09,0.01,0.12,1,0.02,0.06,0.17,0.05,0.18,0.25,0.08,0.01,0.09
0.18,0.97,0.19,0.02,1,0.16,0.23,0.09,0.24,0.11,0.25,0.11,0.21
0.23,0.08,0.27,0.06,0.16,1,0.28,0.21,0.28,0.11,0.33,0.21,0.27
0.40,0.20,0.48,0.17,0.23,0.28,1,0.32,0.59,0.10,0.59,0.15,0.55
0.25,0.07,0.29,0.05,0.09,0.21,0.32,1,0.36,0.17,0.32,0.05,0.37
0.49,0.20,0.52,0.18,0.24,0.28,0.59,0.36,1,0.06,0.61,0.19,0.56
0.08,0.11,0.14,0.25,0.11,0.11,0.10,0.17,0.06,1,0.15,-0.02,0.11
0.40,0.23,0.46,0.08,0.25,0.33,0.59,0.32,0.61,0.15,1,0.18,0.49
0.16,0.08,0.15,0.01,0.11,0.21,0.15,0.05,0.19,-0.02,0.18,1,0.11
0.37,0.18,0.46,0.09,0.21,0.27,0.55,0.37,0.56,0.11,0.49,0.11,1
