1,0.08,N/A,0.01,0.04,-0.01
0.08,1,N/A,0.03,0.10,0.03
N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.03,N/A,1,0.04,0.03
0.04,0.10,N/A,0.04,1,-0.05
-0.01,0.03,N/A,0.03,-0.05,1
