N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,1,0.09,-0.02,-0.02,-0.01,N/A,N/A,-0.02,N/A,N/A,N/A,N/A,-0.03,N/A,N/A,N/A,N/A,N/A,0.08,-0.07,-0.04,N/A,N/A,0.01,N/A,N/A,N/A,N/A,-0.04,0.03,0.00,-0.00,N/A,0.00,-0.02,N/A,N/A,0.09,N/A,-0.02,N/A,-0.03,N/A,-0.01,N/A,N/A,-0.03,-0.04,N/A,0.05
N/A,N/A,N/A,N/A,0.09,1,0.32,0.11,0.19,N/A,N/A,0.07,N/A,N/A,N/A,N/A,-0.02,N/A,N/A,N/A,N/A,N/A,0.09,0.11,0.01,N/A,N/A,-0.07,N/A,N/A,N/A,N/A,0.05,0.05,0.02,0.02,N/A,0.15,0.08,N/A,N/A,-0.07,N/A,0.02,N/A,0.01,N/A,-0.01,N/A,N/A,0.14,0.11,N/A,-0.02
N/A,N/A,N/A,N/A,-0.02,0.32,1,0.36,0.29,N/A,N/A,0.08,N/A,N/A,N/A,N/A,0.01,N/A,N/A,N/A,N/A,N/A,0.07,0.10,-0.03,N/A,N/A,0.03,N/A,N/A,N/A,N/A,-0.09,-0.02,-0.02,-0.01,N/A,0.22,0.09,N/A,N/A,-0.02,N/A,-0.01,N/A,-0.01,N/A,0.04,N/A,N/A,0.07,0.33,N/A,-0.03
N/A,N/A,N/A,N/A,-0.02,0.11,0.36,1,0.15,N/A,N/A,0.01,N/A,N/A,N/A,N/A,-0.04,N/A,N/A,N/A,N/A,N/A,0.07,0.13,0.06,N/A,N/A,0.02,N/A,N/A,N/A,N/A,-0.07,-0.10,0.01,-0.02,N/A,0.18,0.03,N/A,N/A,0.03,N/A,-0.03,N/A,0.12,N/A,-0.01,N/A,N/A,0.04,0.10,N/A,-0.03
N/A,N/A,N/A,N/A,-0.01,0.19,0.29,0.15,1,N/A,N/A,0.07,N/A,N/A,N/A,N/A,0.01,N/A,N/A,N/A,N/A,N/A,0.10,0.09,0.11,N/A,N/A,-0.03,N/A,N/A,N/A,N/A,0.02,0.16,0.06,-0.03,N/A,0.05,0.12,N/A,N/A,0.07,N/A,0.05,N/A,0.22,N/A,0.12,N/A,N/A,0.30,0.48,N/A,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
