1,-0.01,N/A,-0.01,-0.02,N/A,0.01,-0.01,N/A,N/A,-0.01,0.02,N/A,N/A,N/A,0.06,N/A,-0.00,N/A,-0.01,N/A,0.03,0.03,-0.01,N/A,0.02,0.06,-0.02,0.01,0.11,0.09,-0.01,0.00,0.09,-0.02,N/A,N/A,0.02,-0.01,0.02,N/A,0.02,0.03,-0.02,0.01,N/A,0.01,-0.04,-0.01,-0.02,0.05,-0.01,N/A
-0.01,1,N/A,-0.08,0.15,N/A,0.06,0.01,N/A,N/A,0.04,0.09,N/A,N/A,N/A,-0.05,N/A,-0.03,N/A,-0.04,N/A,0.05,-0.01,0.23,N/A,0.06,0.12,0.02,-0.08,0.06,-0.05,-0.08,0.04,0.21,-0.00,N/A,N/A,-0.03,0.03,0.02,N/A,0.02,0.04,0.06,-0.00,N/A,0.06,0.03,0.03,0.07,0.01,-0.04,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.08,N/A,1,0.06,N/A,0.03,0.05,N/A,N/A,0.03,-0.01,N/A,N/A,N/A,0.08,N/A,0.02,N/A,0.05,N/A,0.02,0.13,0.05,N/A,-0.02,0.14,-0.01,0.01,0.04,0.23,0.19,0.05,0.07,0.03,N/A,N/A,0.10,0.02,0.11,N/A,0.04,0.01,0.04,0.04,N/A,0.08,0.09,0.01,-0.01,-0.01,0.01,N/A
-0.02,0.15,N/A,0.06,1,N/A,-0.01,0.07,N/A,N/A,0.04,0.01,N/A,N/A,N/A,0.02,N/A,0.11,N/A,-0.02,N/A,0.07,-0.03,0.15,N/A,0.06,0.18,0.03,0.10,-0.00,0.02,0.01,0.06,0.12,0.02,N/A,N/A,0.07,0.04,0.04,N/A,0.05,0.09,0.08,-0.05,N/A,-0.00,0.04,-0.02,0.24,0.05,0.04,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.06,N/A,0.03,-0.01,N/A,1,-0.01,N/A,N/A,0.10,0.04,N/A,N/A,N/A,0.09,N/A,0.05,N/A,0.10,N/A,0.13,0.03,-0.04,N/A,0.09,0.24,-0.04,0.00,0.09,0.02,-0.02,0.17,0.03,0.01,N/A,N/A,-0.01,0.05,0.03,N/A,0.04,0.01,0.06,0.05,N/A,0.10,-0.00,-0.00,0.03,0.07,-0.00,N/A
-0.01,0.01,N/A,0.05,0.07,N/A,-0.01,1,N/A,N/A,0.01,0.02,N/A,N/A,N/A,0.02,N/A,0.00,N/A,0.02,N/A,0.02,-0.02,0.02,N/A,-0.03,0.04,0.06,0.04,0.03,0.10,0.02,-0.02,0.04,-0.01,N/A,N/A,0.01,-0.01,0.01,N/A,0.02,-0.02,-0.02,0.00,N/A,0.02,-0.00,0.02,0.04,-0.03,-0.03,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,0.04,N/A,0.03,0.04,N/A,0.10,0.01,N/A,N/A,1,0.01,N/A,N/A,N/A,0.05,N/A,0.08,N/A,-0.02,N/A,0.17,0.01,-0.01,N/A,0.01,0.09,0.09,-0.00,0.01,0.07,0.00,-0.01,0.12,0.06,N/A,N/A,0.01,-0.04,0.01,N/A,-0.05,0.06,0.26,-0.05,N/A,0.13,0.01,0.02,0.08,-0.03,-0.03,N/A
0.02,0.09,N/A,-0.01,0.01,N/A,0.04,0.02,N/A,N/A,0.01,1,N/A,N/A,N/A,0.05,N/A,0.03,N/A,0.02,N/A,0.03,-0.04,0.00,N/A,0.03,0.19,0.02,0.14,0.12,0.01,0.07,0.05,0.10,-0.01,N/A,N/A,-0.03,0.03,0.02,N/A,0.04,0.03,-0.04,0.02,N/A,0.13,0.15,0.03,0.02,0.07,0.01,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,-0.05,N/A,0.08,0.02,N/A,0.09,0.02,N/A,N/A,0.05,0.05,N/A,N/A,N/A,1,N/A,-0.05,N/A,0.02,N/A,0.00,0.07,0.03,N/A,-0.02,0.15,0.07,0.07,0.08,0.03,0.09,-0.03,0.08,0.04,N/A,N/A,0.06,0.10,0.04,N/A,0.02,0.03,0.02,0.22,N/A,0.12,0.06,-0.01,0.03,0.01,0.08,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,-0.03,N/A,0.02,0.11,N/A,0.05,0.00,N/A,N/A,0.08,0.03,N/A,N/A,N/A,-0.05,N/A,1,N/A,0.26,N/A,0.02,-0.03,0.02,N/A,0.01,0.11,0.05,-0.01,0.05,0.06,-0.00,0.03,0.03,0.13,N/A,N/A,-0.01,0.06,-0.02,N/A,0.09,0.17,0.02,0.00,N/A,0.06,0.04,0.04,-0.01,-0.00,0.01,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.04,N/A,0.05,-0.02,N/A,0.10,0.02,N/A,N/A,-0.02,0.02,N/A,N/A,N/A,0.02,N/A,0.26,N/A,1,N/A,0.01,-0.02,-0.02,N/A,-0.03,0.08,0.02,-0.05,0.10,-0.02,0.02,0.03,-0.01,0.06,N/A,N/A,-0.02,0.04,0.02,N/A,-0.02,-0.02,-0.02,-0.02,N/A,-0.03,0.01,0.01,0.02,0.06,-0.04,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.05,N/A,0.02,0.07,N/A,0.13,0.02,N/A,N/A,0.17,0.03,N/A,N/A,N/A,0.00,N/A,0.02,N/A,0.01,N/A,1,0.03,-0.01,N/A,0.02,0.20,0.04,-0.01,0.07,-0.02,-0.01,0.04,0.04,0.09,N/A,N/A,0.02,0.02,0.03,N/A,0.04,0.00,0.08,0.02,N/A,0.04,-0.01,-0.00,-0.01,0.00,0.04,N/A
0.03,-0.01,N/A,0.13,-0.03,N/A,0.03,-0.02,N/A,N/A,0.01,-0.04,N/A,N/A,N/A,0.07,N/A,-0.03,N/A,-0.02,N/A,0.03,1,-0.02,N/A,0.07,0.07,-0.04,0.07,0.02,-0.01,0.02,-0.09,0.02,-0.01,N/A,N/A,0.11,0.06,0.09,N/A,-0.03,-0.05,-0.03,0.05,N/A,0.11,-0.01,0.08,-0.02,-0.01,0.01,N/A
-0.01,0.23,N/A,0.05,0.15,N/A,-0.04,0.02,N/A,N/A,-0.01,0.00,N/A,N/A,N/A,0.03,N/A,0.02,N/A,-0.02,N/A,-0.01,-0.02,1,N/A,-0.03,0.08,-0.08,0.06,-0.02,-0.05,-0.02,-0.07,0.24,0.13,N/A,N/A,0.08,-0.07,-0.08,N/A,0.04,-0.04,0.01,-0.02,N/A,0.03,0.01,0.05,0.05,0.04,0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.06,N/A,-0.02,0.06,N/A,0.09,-0.03,N/A,N/A,0.01,0.03,N/A,N/A,N/A,-0.02,N/A,0.01,N/A,-0.03,N/A,0.02,0.07,-0.03,N/A,1,0.02,0.08,-0.02,-0.00,0.06,-0.01,-0.04,0.05,0.04,N/A,N/A,-0.02,0.09,0.00,N/A,-0.05,-0.01,-0.06,-0.03,N/A,0.15,0.10,-0.00,0.10,-0.07,0.02,N/A
