1,0.32,0.15,0.93,0.12,0.26,0.65,0.12,0.19,0.92,0.71,0.17,0.49,0.17,0.26,0.19,N/A,0.06,0.46,0.58,0.44,0.79,0.10,N/A,0.63,0.15,0.44,0.23,0.10,0.07,0.26,0.24,0.88,N/A,N/A,N/A,0.54,N/A,0.62,0.19,0.20,0.54,0.06,0.42,0.10,0.71,0.09,N/A,0.22,0.36,0.16,N/A,N/A,0.29,0.49
0.32,1,-0.02,0.34,0.01,0.10,0.31,0.10,-0.02,0.35,0.36,0.09,0.26,0.00,0.07,0.19,N/A,0.03,0.26,0.25,0.29,0.29,0.02,N/A,0.26,0.06,0.22,-0.01,0.06,0.02,0.13,0.04,0.31,N/A,N/A,N/A,0.19,N/A,0.25,0.05,0.08,0.23,-0.03,0.22,0.05,0.33,0.00,N/A,0.07,0.11,0.09,N/A,N/A,0.15,0.26
0.15,-0.02,1,0.12,0.08,0.09,0.14,0.20,-0.02,0.12,0.14,0.04,0.19,0.11,0.22,0.00,N/A,0.02,0.08,0.19,0.08,0.10,0.06,N/A,0.21,0.13,0.10,0.15,0.19,0.08,0.06,0.15,0.13,N/A,N/A,N/A,0.21,N/A,0.23,-0.04,0.07,0.17,0.44,0.18,0.02,0.12,-0.02,N/A,-0.05,0.13,0.06,N/A,N/A,0.02,0.19
0.93,0.34,0.12,1,0.13,0.28,0.69,0.14,0.15,0.99,0.75,0.19,0.52,0.14,0.29,0.19,N/A,0.07,0.47,0.55,0.48,0.84,0.13,N/A,0.65,0.17,0.47,0.19,0.11,0.08,0.29,0.23,0.94,N/A,N/A,N/A,0.55,N/A,0.64,0.09,0.21,0.55,0.07,0.44,0.11,0.73,0.05,N/A,0.23,0.40,0.19,N/A,N/A,0.31,0.52
0.12,0.01,0.08,0.13,1,0.01,0.07,0.08,-0.07,0.14,0.13,0.05,0.07,0.03,0.13,0.06,N/A,0.04,0.04,0.15,0.00,0.13,0.11,N/A,0.12,0.05,0.10,0.19,-0.00,0.02,0.01,0.02,0.12,N/A,N/A,N/A,0.09,N/A,0.11,0.02,0.20,0.08,-0.05,0.07,0.08,0.10,-0.03,N/A,0.05,0.03,-0.03,N/A,N/A,0.01,0.07
0.26,0.10,0.09,0.28,0.01,1,0.32,0.08,0.27,0.29,0.29,0.04,0.23,0.04,0.26,0.01,N/A,0.01,0.33,0.17,0.30,0.19,0.10,N/A,0.33,0.01,0.17,0.12,0.10,0.10,0.32,0.21,0.33,N/A,N/A,N/A,0.33,N/A,0.32,0.06,0.08,0.23,0.01,0.27,0.04,0.34,0.04,N/A,0.00,0.18,0.20,N/A,N/A,0.16,0.23
0.65,0.31,0.14,0.69,0.07,0.32,1,0.17,0.22,0.69,0.83,0.16,0.57,0.12,0.24,0.18,N/A,0.10,0.57,0.55,0.44,0.59,0.22,N/A,0.73,0.17,0.51,0.13,0.22,0.06,0.31,0.23,0.65,N/A,N/A,N/A,0.59,N/A,0.72,0.15,0.19,0.66,0.08,0.49,0.09,0.85,0.06,N/A,0.26,0.43,0.22,N/A,N/A,0.25,0.57
0.12,0.10,0.20,0.14,0.08,0.08,0.17,1,-0.04,0.17,0.17,0.13,0.17,0.05,0.01,0.09,N/A,0.03,0.09,0.15,0.14,0.12,0.05,N/A,0.20,0.06,0.18,0.18,0.06,0.06,0.08,0.19,0.12,N/A,N/A,N/A,0.24,N/A,0.21,0.11,0.07,0.09,0.17,0.12,0.02,0.14,0.04,N/A,0.13,0.16,0.01,N/A,N/A,-0.01,0.17
0.19,-0.02,-0.02,0.15,-0.07,0.27,0.22,-0.04,1,0.16,0.10,0.02,0.07,0.04,0.17,0.00,N/A,0.10,0.26,0.13,0.08,0.07,0.09,N/A,0.13,-0.02,0.14,0.02,-0.02,-0.03,0.06,0.08,0.18,N/A,N/A,N/A,0.13,N/A,0.12,0.10,0.08,0.23,-0.04,0.13,0.07,0.33,0.07,N/A,0.08,0.05,0.09,N/A,N/A,0.04,0.07
0.92,0.35,0.12,0.99,0.14,0.29,0.69,0.17,0.16,1,0.75,0.18,0.51,0.14,0.29,0.19,N/A,0.08,0.47,0.54,0.48,0.82,0.13,N/A,0.65,0.19,0.47,0.20,0.11,0.08,0.31,0.25,0.93,N/A,N/A,N/A,0.57,N/A,0.64,0.08,0.22,0.55,0.07,0.43,0.10,0.74,0.04,N/A,0.22,0.40,0.19,N/A,N/A,0.30,0.51
