1,0.01,0.06,0.03,0.06,0.11,N/A,N/A,-0.00,N/A,0.11,0.16,0.01,N/A,N/A,0.10,0.09,0.96,0.01,0.00,0.04,N/A,-0.03,0.10,0.16,0.09,-0.01,0.10,-0.02,-0.06,0.07,0.22,0.06,0.10,0.05,N/A,0.06,0.07,N/A,0.08,0.11,N/A,0.02,N/A,N/A,0.01,0.10,0.06,N/A,0.02,0.08,0.09,N/A,N/A,-0.00,N/A,N/A,0.02,0.03,0.01,0.05,0.13,-0.04,-0.02,0.09,0.10,0.03,0.03,N/A,0.02,0.03,0.02,0.06
0.01,1,0.04,-0.08,-0.09,0.05,N/A,N/A,-0.03,N/A,0.04,0.05,-0.05,N/A,N/A,0.09,0.02,0.01,0.02,0.22,0.04,N/A,0.07,-0.10,0.09,0.14,0.12,0.03,0.01,0.06,0.06,0.11,0.14,0.06,0.01,N/A,0.07,-0.08,N/A,0.13,0.07,N/A,-0.04,N/A,N/A,-0.03,0.11,0.08,N/A,-0.05,0.13,0.10,N/A,N/A,0.07,N/A,N/A,-0.03,-0.01,-0.06,0.11,0.05,-0.00,0.04,0.05,0.12,0.05,-0.08,N/A,-0.06,0.09,0.20,-0.05
0.06,0.04,1,0.07,0.08,0.55,N/A,N/A,0.12,N/A,0.67,0.35,0.12,N/A,N/A,0.51,0.51,0.07,0.19,0.14,0.01,N/A,0.13,0.09,0.64,0.39,0.18,0.12,0.11,0.10,0.18,0.51,0.33,0.10,0.02,N/A,0.31,0.21,N/A,0.38,0.35,N/A,0.18,N/A,N/A,0.06,0.55,0.40,N/A,0.09,0.39,0.37,N/A,N/A,0.16,N/A,N/A,0.14,0.10,0.18,0.45,0.38,0.16,0.07,0.42,0.45,0.38,0.05,N/A,0.16,0.13,0.24,0.13
0.03,-0.08,0.07,1,0.00,0.17,N/A,N/A,0.07,N/A,0.02,0.05,0.18,N/A,N/A,0.07,0.08,0.00,0.03,0.00,-0.01,N/A,0.14,0.21,0.09,0.04,0.04,0.04,0.05,0.10,0.06,0.03,0.04,-0.04,-0.04,N/A,0.03,0.03,N/A,0.03,0.08,N/A,0.16,N/A,N/A,0.04,0.14,0.07,N/A,-0.05,0.03,0.00,N/A,N/A,-0.00,N/A,N/A,0.01,0.06,0.02,0.03,0.09,0.05,-0.03,0.13,0.08,0.11,0.04,N/A,0.08,0.04,-0.03,-0.06
0.06,-0.09,0.08,0.00,1,0.04,N/A,N/A,0.08,N/A,0.04,0.10,-0.03,N/A,N/A,0.09,0.05,0.07,-0.04,0.05,0.07,N/A,-0.04,0.04,0.05,0.34,-0.06,-0.03,0.07,0.06,0.03,0.22,0.01,0.05,-0.03,N/A,-0.00,0.05,N/A,0.11,0.02,N/A,-0.02,N/A,N/A,0.01,0.07,0.47,N/A,0.01,0.11,0.07,N/A,N/A,0.12,N/A,N/A,0.03,-0.01,0.07,0.13,0.06,0.01,0.03,0.09,0.10,0.05,0.03,N/A,-0.01,0.00,-0.05,-0.05
0.11,0.05,0.55,0.17,0.04,1,N/A,N/A,0.13,N/A,0.64,0.50,0.11,N/A,N/A,0.62,0.64,0.12,0.17,0.12,0.05,N/A,0.27,0.10,0.63,0.46,0.03,0.18,0.17,0.11,0.11,0.61,0.36,0.18,0.10,N/A,0.40,0.22,N/A,0.48,0.38,N/A,0.11,N/A,N/A,0.10,0.64,0.52,N/A,0.13,0.48,0.47,N/A,N/A,0.17,N/A,N/A,0.15,0.11,0.17,0.51,0.48,0.08,0.10,0.51,0.64,0.37,0.03,N/A,0.10,0.17,0.22,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,-0.03,0.12,0.07,0.08,0.13,N/A,N/A,1,N/A,0.13,0.08,-0.07,N/A,N/A,0.14,0.07,0.03,0.05,0.03,-0.00,N/A,-0.03,0.06,0.13,0.16,0.02,0.01,0.03,-0.05,0.05,0.17,0.13,0.03,0.04,N/A,0.15,0.09,N/A,0.12,0.11,N/A,-0.07,N/A,N/A,-0.02,0.11,0.21,N/A,0.06,0.12,0.13,N/A,N/A,-0.00,N/A,N/A,0.00,0.03,0.10,0.15,-0.02,0.01,0.02,0.14,0.16,0.08,0.03,N/A,0.03,-0.01,-0.00,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.04,0.67,0.02,0.04,0.64,N/A,N/A,0.13,N/A,1,0.45,0.13,N/A,N/A,0.55,0.55,0.12,0.21,0.17,-0.03,N/A,0.05,0.11,0.80,0.37,0.07,0.18,0.21,0.10,0.18,0.57,0.29,0.18,0.06,N/A,0.30,0.17,N/A,0.44,0.26,N/A,0.07,N/A,N/A,0.14,0.56,0.41,N/A,0.18,0.44,0.40,N/A,N/A,0.15,N/A,N/A,0.18,0.16,0.21,0.49,0.51,0.12,0.10,0.48,0.52,0.35,0.02,N/A,0.19,0.17,0.22,0.19
0.16,0.05,0.35,0.05,0.10,0.50,N/A,N/A,0.08,N/A,0.45,1,0.03,N/A,N/A,0.46,0.48,0.17,0.18,0.05,0.05,N/A,0.05,0.07,0.40,0.39,0.06,0.12,0.02,0.05,0.10,0.50,0.28,0.08,-0.00,N/A,0.28,0.09,N/A,0.35,0.25,N/A,0.08,N/A,N/A,0.05,0.44,0.42,N/A,0.07,0.35,0.34,N/A,N/A,0.16,N/A,N/A,0.10,0.07,0.26,0.37,0.30,0.03,0.06,0.36,0.47,0.26,0.05,N/A,0.02,0.12,0.12,0.08
