1,0.30,0.22,0.22,0.09,0.07,0.05,0.04,0.13,0.03
0.30,1,-0.06,0.59,0.03,0.01,0.09,-0.03,-0.01,-0.00
0.22,-0.06,1,-0.02,0.11,0.03,0.12,-0.01,0.05,0.27
0.22,0.59,-0.02,1,0.01,-0.03,0.10,-0.01,0.06,0.02
0.09,0.03,0.11,0.01,1,0.30,0.05,0.08,0.19,0.04
0.07,0.01,0.03,-0.03,0.30,1,-0.02,-0.00,0.20,0.04
0.05,0.09,0.12,0.10,0.05,-0.02,1,-0.00,0.09,0.15
0.04,-0.03,-0.01,-0.01,0.08,-0.00,-0.00,1,-0.02,0.09
0.13,-0.01,0.05,0.06,0.19,0.20,0.09,-0.02,1,-0.03
0.03,-0.00,0.27,0.02,0.04,0.04,0.15,0.09,-0.03,1
