0.14,0.17,0.07,0.04,0.07,0.17,0.13,N/A,0.22,N/A,N/A,-0.01,0.04,1,0.19,N/A,0.03,0.11,0.12,N/A,N/A,0.13,N/A,0.17,0.12,0.04,0.10,N/A,0.05,0.12,N/A,-0.07,0.09,0.02,N/A,0.04,0.10,N/A,N/A,N/A,0.11,N/A,0.05,0.04,0.08,0.18,N/A,N/A,0.12,N/A,N/A
0.44,0.41,0.13,0.20,0.16,0.89,0.55,N/A,0.44,N/A,N/A,0.03,0.24,0.19,1,N/A,0.17,0.10,0.09,N/A,N/A,0.28,N/A,0.88,0.43,0.08,0.01,N/A,0.02,0.47,N/A,0.16,0.07,0.27,N/A,0.18,0.08,N/A,N/A,N/A,0.11,N/A,0.09,0.08,0.14,0.36,N/A,N/A,0.33,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.16,0.19,0.93,0.03,0.19,0.20,N/A,0.16,N/A,N/A,0.09,-0.00,0.03,0.17,N/A,1,0.03,0.01,N/A,N/A,0.12,N/A,0.19,0.12,0.02,0.03,N/A,0.07,0.20,N/A,0.16,0.01,0.02,N/A,0.20,0.02,N/A,N/A,N/A,0.07,N/A,0.02,0.03,0.18,0.18,N/A,N/A,0.08,N/A,N/A
0.04,0.04,-0.04,0.02,0.02,0.10,0.10,N/A,0.09,N/A,N/A,-0.05,0.30,0.11,0.10,N/A,0.03,1,-0.06,N/A,N/A,0.09,N/A,0.10,0.04,0.00,-0.01,N/A,-0.01,0.38,N/A,-0.02,0.10,0.05,N/A,-0.01,-0.02,N/A,N/A,N/A,-0.01,N/A,0.19,0.03,-0.04,0.08,N/A,N/A,0.03,N/A,N/A
0.16,0.17,0.09,0.02,0.07,0.06,0.00,N/A,0.06,N/A,N/A,0.04,-0.06,0.12,0.09,N/A,0.01,-0.06,1,N/A,N/A,0.08,N/A,0.06,-0.01,0.00,0.22,N/A,0.15,0.07,N/A,-0.02,0.06,-0.03,N/A,0.07,0.03,N/A,N/A,N/A,0.09,N/A,0.14,0.09,0.08,0.08,N/A,N/A,0.17,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.25,0.24,0.04,0.14,0.09,0.25,0.33,N/A,0.30,N/A,N/A,0.05,0.18,0.13,0.28,N/A,0.12,0.09,0.08,N/A,N/A,1,N/A,0.26,0.27,0.14,0.05,N/A,-0.02,0.26,N/A,0.24,0.08,0.05,N/A,0.08,0.02,N/A,N/A,N/A,0.05,N/A,0.12,0.06,0.05,0.24,N/A,N/A,0.20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
