0.18,0.01,-0.02,0.02,0.23,-0.01,-0.01,-0.01,0.01,N/A,0.01,1,N/A,0.04,0.03,0.02,-0.01,0.08,0.04,-0.02,-0.06,0.03,-0.01,-0.01,0.03,N/A,0.03,N/A,-0.01,0.14,0.46,0.00,N/A,-0.05,-0.02,N/A,N/A,0.04,-0.04,0.00,0.01,N/A,0.07,0.01,-0.05,-0.02,0.05,N/A,0.09,-0.01,-0.08,0.04,0.06,N/A,0.06,0.04,-0.01,N/A,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.03,0.02,0.13,0.04,0.08,-0.02,-0.03,0.01,N/A,-0.01,0.04,N/A,1,-0.00,0.02,0.12,0.09,0.01,0.02,0.11,-0.02,0.04,-0.02,-0.01,N/A,-0.02,N/A,0.04,0.06,0.06,0.08,N/A,0.04,0.01,N/A,N/A,-0.08,0.06,0.02,-0.02,N/A,0.07,0.04,0.05,0.07,0.05,N/A,0.03,0.01,0.01,0.05,0.07,N/A,-0.04,0.11,-0.02,N/A,0.13
0.13,0.07,0.04,0.11,0.12,0.14,0.28,-0.03,-0.01,N/A,0.01,0.03,N/A,-0.00,1,0.25,0.09,-0.06,0.15,0.09,0.08,-0.03,0.32,-0.07,0.14,N/A,0.01,N/A,0.02,0.10,0.14,0.04,N/A,0.05,0.02,N/A,N/A,0.02,0.03,0.19,-0.03,N/A,0.27,0.04,0.02,0.04,0.18,N/A,0.16,0.05,0.03,0.12,0.14,N/A,0.00,0.15,-0.07,N/A,0.09
0.02,0.08,0.05,0.19,0.10,0.04,0.17,0.06,0.02,N/A,0.05,0.02,N/A,0.02,0.25,1,0.11,0.07,0.10,0.01,0.19,0.08,0.14,0.06,-0.02,N/A,0.02,N/A,0.05,0.29,0.24,0.07,N/A,0.06,0.03,N/A,N/A,0.06,0.05,0.05,0.02,N/A,0.27,0.18,0.04,0.14,0.31,N/A,0.05,0.11,0.12,0.29,0.30,N/A,0.09,0.31,0.06,N/A,0.24
0.04,0.03,0.16,0.23,0.10,0.07,0.20,-0.04,-0.03,N/A,0.07,-0.01,N/A,0.12,0.09,0.11,1,0.06,0.11,0.09,0.14,0.37,0.09,-0.01,0.11,N/A,0.02,N/A,0.10,0.17,0.19,0.04,N/A,0.10,0.08,N/A,N/A,0.03,0.09,0.11,0.07,N/A,0.20,0.07,0.08,-0.02,0.24,N/A,0.12,0.02,0.17,0.18,0.25,N/A,0.01,0.22,-0.01,N/A,0.27
-0.02,-0.02,0.06,0.15,0.02,0.09,-0.01,0.01,0.00,N/A,0.07,0.08,N/A,0.09,-0.06,0.07,0.06,1,-0.01,0.01,0.07,0.06,-0.08,0.09,0.02,N/A,0.03,N/A,0.08,0.09,0.14,0.04,N/A,0.02,0.02,N/A,N/A,0.04,-0.05,0.08,0.09,N/A,0.10,0.10,0.25,0.06,0.09,N/A,-0.04,0.12,0.05,0.10,0.10,N/A,0.02,0.11,0.09,N/A,0.13
0.04,0.06,0.01,0.14,0.11,0.01,0.21,-0.01,-0.03,N/A,0.03,0.04,N/A,0.01,0.15,0.10,0.11,-0.01,1,0.01,0.11,0.04,0.13,-0.01,0.02,N/A,0.17,N/A,0.01,0.19,0.14,0.21,N/A,0.02,-0.02,N/A,N/A,0.02,0.06,0.12,0.01,N/A,0.30,0.04,0.04,0.13,0.24,N/A,0.02,0.00,-0.00,0.13,0.24,N/A,0.04,0.20,-0.01,N/A,0.17
-0.02,0.06,0.02,0.07,0.12,0.01,0.02,-0.00,-0.01,N/A,-0.03,-0.02,N/A,0.02,0.09,0.01,0.09,0.01,0.01,1,0.00,0.05,0.01,-0.05,-0.00,N/A,-0.07,N/A,0.06,0.08,-0.01,0.04,N/A,-0.05,0.09,N/A,N/A,-0.03,0.30,-0.04,-0.06,N/A,0.07,-0.02,-0.05,-0.02,0.04,N/A,0.02,-0.03,-0.01,0.05,0.04,N/A,0.08,0.08,-0.05,N/A,0.00
0.01,0.03,0.12,0.33,0.02,0.01,0.05,0.01,0.03,N/A,0.03,-0.06,N/A,0.11,0.08,0.19,0.14,0.07,0.11,0.00,1,0.03,0.02,0.06,0.06,N/A,0.05,N/A,0.09,0.25,0.21,0.15,N/A,0.17,0.05,N/A,N/A,-0.03,0.02,0.06,0.01,N/A,0.23,0.16,0.01,0.10,0.26,N/A,0.06,0.09,0.06,0.23,0.26,N/A,-0.01,0.25,0.06,N/A,0.33
