1,-0.04,N/A,0.16,0.06,0.02,0.18,0.10,N/A,-0.06,0.17,N/A,N/A,-0.06,0.06,0.02,N/A,0.10,0.11,-0.01,-0.04,0.16,N/A,N/A,0.04,0.08,N/A,0.25,0.11,0.17,0.01,N/A,N/A,-0.00,0.02,N/A,0.13,0.14,N/A,0.03,N/A,0.06,0.07,N/A,-0.02,-0.02,N/A,0.03,N/A,N/A,0.06,0.71,N/A,0.02,N/A,-0.01
-0.04,1,N/A,0.03,0.04,0.08,0.07,0.02,N/A,0.06,-0.02,N/A,N/A,-0.00,0.09,0.01,N/A,0.06,-0.02,0.00,0.10,0.13,N/A,N/A,0.03,-0.04,N/A,0.05,0.14,0.08,0.03,N/A,N/A,0.05,-0.03,N/A,0.10,0.05,N/A,-0.11,N/A,0.07,0.08,N/A,0.04,-0.04,N/A,0.03,N/A,N/A,0.04,-0.04,N/A,0.08,N/A,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,0.03,N/A,1,-0.01,-0.03,0.14,0.09,N/A,0.03,0.13,N/A,N/A,-0.01,0.18,0.13,N/A,0.25,0.05,0.00,0.17,0.32,N/A,N/A,0.01,0.08,N/A,0.23,0.11,0.15,0.15,N/A,N/A,0.03,0.09,N/A,0.15,0.12,N/A,0.13,N/A,0.05,0.13,N/A,0.11,0.14,N/A,0.08,N/A,N/A,-0.01,0.12,N/A,0.12,N/A,-0.01
0.06,0.04,N/A,-0.01,1,0.02,0.09,0.02,N/A,-0.04,0.11,N/A,N/A,0.04,0.52,0.08,N/A,0.13,0.08,-0.09,0.04,0.13,N/A,N/A,-0.00,0.03,N/A,0.06,0.04,0.14,0.03,N/A,N/A,0.05,-0.00,N/A,0.08,0.17,N/A,0.02,N/A,0.04,-0.02,N/A,0.12,-0.07,N/A,-0.01,N/A,N/A,1.00,0.09,N/A,0.11,N/A,0.05
0.02,0.08,N/A,-0.03,0.02,1,-0.00,0.08,N/A,0.00,-0.01,N/A,N/A,-0.01,0.05,-0.04,N/A,-0.01,0.01,-0.01,0.03,0.05,N/A,N/A,0.07,-0.03,N/A,0.01,0.10,0.02,-0.02,N/A,N/A,-0.00,0.01,N/A,0.04,0.05,N/A,-0.01,N/A,0.06,0.02,N/A,-0.01,-0.01,N/A,0.00,N/A,N/A,0.02,-0.01,N/A,0.12,N/A,0.06
0.18,0.07,N/A,0.14,0.09,-0.00,1,0.18,N/A,0.03,0.14,N/A,N/A,0.04,0.30,0.05,N/A,0.09,0.14,0.04,0.13,0.37,N/A,N/A,0.08,0.08,N/A,0.35,0.35,0.44,0.14,N/A,N/A,0.20,0.11,N/A,0.43,0.34,N/A,0.08,N/A,0.24,0.06,N/A,0.13,-0.01,N/A,0.07,N/A,N/A,0.09,0.08,N/A,0.28,N/A,-0.00
0.10,0.02,N/A,0.09,0.02,0.08,0.18,1,N/A,0.03,-0.02,N/A,N/A,0.00,0.24,0.22,N/A,0.07,0.13,0.11,0.12,0.31,N/A,N/A,0.03,0.14,N/A,0.37,0.26,0.37,0.13,N/A,N/A,0.05,0.04,N/A,0.30,0.42,N/A,0.00,N/A,0.13,0.04,N/A,0.04,-0.00,N/A,0.04,N/A,N/A,0.02,0.13,N/A,0.22,N/A,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.06,0.06,N/A,0.03,-0.04,0.00,0.03,0.03,N/A,1,0.05,N/A,N/A,0.02,0.02,0.02,N/A,-0.01,-0.01,0.06,0.29,0.06,N/A,N/A,0.03,0.05,N/A,0.10,0.07,0.07,-0.01,N/A,N/A,-0.02,0.04,N/A,0.06,0.02,N/A,0.01,N/A,0.05,-0.01,N/A,0.01,0.02,N/A,0.10,N/A,N/A,-0.04,-0.03,N/A,0.04,N/A,-0.04
