1,0.24,0.44,0.42,0.71,0.45,0.47,0.81,0.78,0.0,0.18,0.21,0.0,0.23,0.33,0.30,0.42,0.46,0.76,0.79,0.14,0.0,0.0,0.73,0.76,0.78,0.47,0.32,0.79,0.14,0.15,0.78,0.39,0.20,0.21,0.38,0.27,0.62,0.75,0.37,0.81,0.78,0.37,0.75,0.72,0.0,0.43,0.82,0.75,0.14,0.78,0.76,0.0,0.72,0.36,0.73,0.74,0.75,0.43,0.76,0.0,0.25,0.17,0.87,0.77,0.37,0.14,0.13,0.73,0.83,0.53
0.24,1,0.21,0.23,0.27,0.32,0.49,0.27,0.28,0.0,0.09,0.09,0.0,0.19,0.05,0.20,0.15,0.26,0.28,0.23,0.09,0.0,0.0,0.29,0.25,0.26,0.36,0.60,0.27,0.02,0.03,0.30,0.16,0.03,0.08,0.14,0.90,0.23,0.26,0.50,0.29,0.27,0.16,0.26,0.25,0.0,0.20,0.28,0.19,0.11,0.29,0.30,0.0,0.31,0.73,0.26,0.25,0.25,0.23,0.29,0.0,0.17,0.10,0.25,0.27,0.11,0.51,0.14,0.29,0.27,0.48
0.44,0.21,1,0.30,0.93,0.45,0.27,0.39,0.38,0.0,0.11,0.15,0.0,0.46,0.15,0.22,0.38,0.51,0.36,0.49,0.23,0.0,0.0,0.33,0.47,0.39,0.45,0.52,0.39,0.09,0.17,0.37,0.43,0.19,0.20,0.46,0.14,0.62,0.36,0.40,0.37,0.39,0.42,0.38,0.35,0.0,0.41,0.39,0.50,0.23,0.36,0.39,0.0,0.33,0.21,0.44,0.36,0.34,0.36,0.39,0.0,0.15,0.24,0.42,0.36,0.45,0.19,0.08,0.36,0.40,0.29
0.42,0.23,0.30,1,0.38,0.29,0.20,0.44,0.46,0.0,0.29,0.12,0.0,0.32,0.08,0.29,0.19,0.27,0.50,0.41,0.29,0.0,0.0,0.48,0.32,0.47,0.35,0.21,0.40,0.05,0.12,0.44,0.33,0.12,0.11,0.27,0.14,0.37,0.50,0.22,0.48,0.45,0.66,0.47,0.48,0.0,0.51,0.43,0.32,0.11,0.42,0.53,0.0,0.49,0.25,0.39,0.49,0.48,0.20,0.53,0.0,0.27,0.13,0.50,0.44,0.11,0.09,0.01,0.50,0.42,0.38
0.71,0.27,0.93,0.38,1,0.51,0.48,0.65,0.59,0.0,0.19,0.27,0.0,0.52,0.22,0.25,0.42,0.52,0.56,0.78,0.21,0.0,0.0,0.50,0.75,0.62,0.47,0.47,0.62,0.14,0.20,0.58,0.48,0.21,0.21,0.50,0.24,0.64,0.55,0.43,0.60,0.63,0.42,0.56,0.54,0.0,0.53,0.63,0.71,0.21,0.57,0.56,0.0,0.50,0.39,0.74,0.51,0.54,0.48,0.56,0.0,0.22,0.29,0.74,0.56,0.37,0.20,0.12,0.51,0.66,0.44
0.45,0.32,0.45,0.29,0.51,1,0.33,0.46,0.43,0.0,0.16,0.26,0.0,0.72,0.26,0.40,0.84,0.60,0.42,0.42,0.10,0.0,0.0,0.39,0.43,0.46,0.55,0.30,0.46,0.31,0.17,0.44,0.82,0.12,0.17,0.25,0.18,0.47,0.42,0.35,0.44,0.45,0.39,0.40,0.38,0.0,0.33,0.44,0.47,0.05,0.43,0.42,0.0,0.38,0.21,0.44,0.40,0.40,0.53,0.43,0.0,0.25,0.21,0.47,0.42,0.34,0.12,0.08,0.40,0.46,0.30
0.47,0.49,0.27,0.20,0.48,0.33,1,0.44,0.40,0.0,0.03,0.13,0.0,0.19,0.15,0.27,0.25,0.28,0.38,0.49,0.09,0.0,0.0,0.32,0.57,0.40,0.32,0.18,0.41,0.06,0.10,0.37,0.35,0.10,0.21,0.28,0.73,0.29,0.35,0.49,0.40,0.42,0.19,0.37,0.36,0.0,0.37,0.40,0.50,0.06,0.38,0.34,0.0,0.33,0.73,0.53,0.32,0.38,0.41,0.35,0.0,0.07,0.19,0.48,0.37,0.15,0.35,0.06,0.32,0.44,0.53
0.81,0.27,0.39,0.44,0.65,0.46,0.44,1,0.96,0.0,0.12,0.16,0.0,0.14,0.29,0.17,0.33,0.40,0.95,0.70,0.16,0.0,0.0,0.90,0.62,0.96,0.27,0.26,0.99,0.12,0.16,0.96,0.36,0.10,0.22,0.28,0.18,0.64,0.95,0.35,0.97,0.96,0.27,0.95,0.88,0.0,0.41,0.95,0.68,0.14,0.96,0.94,0.0,0.91,0.25,0.62,0.91,0.93,0.44,0.93,0.0,0.24,0.20,0.98,0.98,0.31,0.21,0.12,0.91,0.99,0.49
0.78,0.28,0.38,0.46,0.59,0.43,0.40,0.96,1,0.0,0.15,0.15,0.0,0.11,0.29,0.23,0.27,0.37,0.95,0.65,0.15,0.0,0.0,0.94,0.58,0.98,0.25,0.26,0.94,0.13,0.14,0.96,0.34,0.11,0.22,0.28,0.20,0.64,0.97,0.34,0.96,0.97,0.25,0.96,0.91,0.0,0.35,0.96,0.64,0.14,0.96,0.96,0.0,0.94,0.23,0.56,0.94,0.95,0.39,0.95,0.0,0.20,0.18,0.94,0.96,0.30,0.20,0.20,0.94,0.95,0.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.09,0.11,0.29,0.19,0.16,0.03,0.12,0.15,0.0,1,0.20,0.0,0.17,0.12,0.08,0.13,0.13,0.13,0.22,0.05,0.0,0.0,0.16,0.20,0.11,0.11,0.08,0.12,0.35,0.88,0.15,0.16,0.32,0.03,0.13,0.12,0.07,0.11,0.76,0.14,0.10,0.35,0.09,0.15,0.0,0.09,0.16,0.26,0.03,0.12,0.15,0.0,0.12,0.04,0.17,0.13,0.16,0.95,0.15,0.0,0.36,0.10,0.15,0.11,0.45,0.04,0.33,0.15,0.13,0.18
0.21,0.09,0.15,0.12,0.27,0.26,0.13,0.16,0.15,0.0,0.20,1,0.0,0.08,0.17,0.11,0.14,0.19,0.12,0.28,0.20,0.0,0.0,0.11,0.23,0.19,0.18,0.11,0.13,0.07,0.19,0.12,0.07,0.40,0.15,0.20,0.17,0.11,0.13,0.26,0.14,0.15,0.08,0.13,0.11,0.0,0.17,0.16,0.12,0.01,0.12,0.15,0.0,0.12,0.14,0.27,0.12,0.13,0.23,0.15,0.0,0.26,0.21,0.18,0.19,0.38,0.14,0.05,0.12,0.21,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.19,0.46,0.32,0.52,0.72,0.19,0.14,0.11,0.0,0.17,0.08,0.0,1,0.13,0.25,0.67,0.44,0.17,0.28,0.16,0.0,0.0,0.17,0.18,0.12,0.25,0.14,0.17,0.59,0.14,0.20,0.72,0.17,0.05,0.28,0.16,0.26,0.17,0.26,0.15,0.10,0.35,0.15,0.17,0.0,0.20,0.17,0.17,0.16,0.17,0.18,0.0,0.18,0.19,0.28,0.17,0.15,0.52,0.18,0.0,0.28,0.05,0.20,0.16,0.26,0.17,0.23,0.17,0.16,0.14
0.33,0.05,0.15,0.08,0.22,0.26,0.15,0.29,0.29,0.0,0.12,0.17,0.0,0.13,1,0.25,0.25,0.29,0.26,0.31,0.03,0.0,0.0,0.23,0.36,0.29,0.13,0.34,0.26,0.05,0.05,0.26,0.19,0.18,0.14,0.07,0.09,0.39,0.29,0.15,0.30,0.27,0.22,0.25,0.24,0.0,0.14,0.31,0.29,0.10,0.26,0.25,0.0,0.26,0.08,0.31,0.20,0.26,0.20,0.24,0.0,0.12,0.13,0.30,0.26,0.14,0.11,0.12,0.23,0.30,0.15
0.30,0.20,0.22,0.29,0.25,0.40,0.27,0.17,0.23,0.0,0.08,0.11,0.0,0.25,0.25,1,0.50,0.35,0.22,0.26,0.06,0.0,0.0,0.24,0.25,0.22,0.35,0.17,0.16,0.06,0.12,0.20,0.50,0.10,0.15,0.21,0.19,0.31,0.23,0.18,0.19,0.20,0.17,0.20,0.26,0.0,0.24,0.24,0.26,0.08,0.18,0.24,0.0,0.23,0.19,0.34,0.24,0.20,0.46,0.24,0.0,0.17,0.10,0.25,0.19,0.26,0.29,0.11,0.23,0.21,0.25
0.42,0.15,0.38,0.19,0.42,0.84,0.25,0.33,0.27,0.0,0.13,0.14,0.0,0.67,0.25,0.50,1,0.62,0.30,0.34,0.15,0.0,0.0,0.28,0.27,0.26,0.46,0.21,0.31,0.25,0.09,0.33,0.78,0.15,0.10,0.27,0.15,0.34,0.28,0.36,0.35,0.25,0.39,0.27,0.28,0.0,0.24,0.37,0.32,0.04,0.31,0.29,0.0,0.29,0.18,0.31,0.27,0.29,0.47,0.30,0.0,0.22,0.14,0.35,0.30,0.27,0.20,0.13,0.30,0.34,0.23
0.46,0.26,0.51,0.27,0.52,0.60,0.28,0.40,0.37,0.0,0.13,0.19,0.0,0.44,0.29,0.35,0.62,1,0.34,0.42,0.13,0.0,0.0,0.30,0.41,0.38,0.40,0.37,0.39,0.20,0.10,0.36,0.45,0.20,0.16,0.28,0.17,0.57,0.34,0.27,0.37,0.39,0.46,0.34,0.32,0.0,0.33,0.38,0.45,0.13,0.36,0.34,0.0,0.32,0.29,0.43,0.32,0.34,0.51,0.35,0.0,0.17,0.21,0.43,0.36,0.28,0.29,0.16,0.32,0.41,0.21
