1,0.20,0.14,0.05,0.02,0.10,0.42,0.17,0.11,0.0,0.16,0.20,0.24,0.11,0.20,0.27,0.34,0.09,0.35
0.20,1,0.59,0.10,0.07,0.40,0.51,0.40,0.29,0.0,0.19,0.48,0.21,0.72,0.52,0.18,0.76,0.16,0.08
0.14,0.59,1,0.16,0.11,0.43,0.50,0.35,0.26,0.0,0.19,0.32,0.13,0.56,0.45,0.17,0.49,0.15,0.17
0.05,0.10,0.16,1,0.09,0.35,0.12,0.12,0.24,0.0,0.22,0.29,0.07,0.09,0.18,0.03,0.11,0.06,0.08
0.02,0.07,0.11,0.09,1,0.07,0.21,-0.04,0.11,0.0,0.02,0.13,0.12,-0.02,0.04,-0.01,0.10,0.08,-0.04
0.10,0.40,0.43,0.35,0.07,1,0.12,0.35,0.42,0.0,0.35,0.48,0.22,0.35,0.45,0.07,0.23,0.22,0.10
0.42,0.51,0.50,0.12,0.21,0.12,1,0.06,0.26,0.0,0.16,0.29,0.17,0.38,0.58,0.29,0.47,0.14,0.09
0.17,0.40,0.35,0.12,-0.04,0.35,0.06,1,0.23,0.0,0.16,0.28,0.04,0.25,0.17,0.02,0.32,0.09,0.18
0.11,0.29,0.26,0.24,0.11,0.42,0.26,0.23,1,0.0,0.37,0.42,0.17,0.27,0.31,0.16,0.27,0.22,0.10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.19,0.19,0.22,0.02,0.35,0.16,0.16,0.37,0.0,1,0.30,0.23,0.24,0.36,0.14,0.19,0.17,0.10
0.20,0.48,0.32,0.29,0.13,0.48,0.29,0.28,0.42,0.0,0.30,1,0.24,0.48,0.54,0.08,0.24,0.20,0.15
0.24,0.21,0.13,0.07,0.12,0.22,0.17,0.04,0.17,0.0,0.23,0.24,1,0.13,0.28,0.18,0.10,0.14,0.26
0.11,0.72,0.56,0.09,-0.02,0.35,0.38,0.25,0.27,0.0,0.24,0.48,0.13,1,0.49,0.11,0.55,0.08,0.03
0.20,0.52,0.45,0.18,0.04,0.45,0.58,0.17,0.31,0.0,0.36,0.54,0.28,0.49,1,0.14,0.46,0.16,0.14
0.27,0.18,0.17,0.03,-0.01,0.07,0.29,0.02,0.16,0.0,0.14,0.08,0.18,0.11,0.14,1,0.27,0.11,0.06
0.34,0.76,0.49,0.11,0.10,0.23,0.47,0.32,0.27,0.0,0.19,0.24,0.10,0.55,0.46,0.27,1,0.12,0.06
0.09,0.16,0.15,0.06,0.08,0.22,0.14,0.09,0.22,0.0,0.17,0.20,0.14,0.08,0.16,0.11,0.12,1,0.04
0.35,0.08,0.17,0.08,-0.04,0.10,0.09,0.18,0.10,0.0,0.10,0.15,0.26,0.03,0.14,0.06,0.06,0.04,1
