1,0.13,0.17,0.28,0.14,0.15,0.18,0.18,0.26,0.17,-0.00,0.16,0.09,0.12,0.33,0.10,0.18,0.22,0.18,0.26,0.12,0.09,0.68,0.03,0.22,0.10,0.18,0.20,0.0,0.25,0.52,0.30,0.08,0.19,0.30,0.12,0.21,0.10,0.0,0.20,0.31,0.27
0.13,1,0.13,0.21,0.00,0.10,0.22,0.16,0.03,0.13,0.01,0.20,0.24,0.15,0.23,0.07,0.13,0.15,0.14,0.15,0.03,0.15,0.04,0.07,0.11,0.13,0.12,0.05,0.0,0.21,0.20,0.24,0.12,0.09,0.26,0.11,0.11,0.06,0.0,0.13,0.24,0.12
0.17,0.13,1,0.20,0.03,0.37,0.30,0.34,0.14,0.32,-0.02,0.27,0.17,0.37,0.39,0.10,0.35,0.27,0.26,0.26,0.23,0.09,0.14,0.12,0.09,0.31,0.37,0.09,0.0,0.20,0.40,0.24,0.28,0.11,0.39,0.12,0.44,0.28,0.0,0.20,0.50,0.18
0.28,0.21,0.20,1,0.19,0.25,0.21,0.36,0.24,0.28,0.01,0.30,0.25,0.41,0.50,0.09,0.40,0.28,0.35,0.23,0.14,0.14,0.10,0.10,0.17,0.11,0.20,0.54,0.0,0.37,0.41,0.46,0.25,0.29,0.31,0.37,0.16,0.09,0.0,0.25,0.45,0.41
0.14,0.00,0.03,0.19,1,0.08,0.15,0.10,-0.02,0.05,-0.01,0.18,0.05,0.10,0.15,0.01,0.07,0.17,0.03,0.09,0.07,0.03,0.04,0.01,0.05,0.05,0.12,0.04,0.0,0.10,0.10,0.15,0.06,0.14,0.10,0.05,0.09,0.02,0.0,0.12,0.20,0.22
0.15,0.10,0.37,0.25,0.08,1,0.17,0.29,0.10,0.14,0.02,0.32,0.14,0.37,0.53,0.16,0.17,0.45,0.38,0.21,0.22,0.07,0.13,0.05,0.11,0.02,0.18,0.10,0.0,0.25,0.45,0.27,0.21,0.18,0.24,0.08,0.23,0.25,0.0,0.14,0.54,0.19
0.18,0.22,0.30,0.21,0.15,0.17,1,0.24,0.09,0.18,0.03,0.42,0.37,0.35,0.42,0.11,0.36,0.21,0.27,0.32,0.06,0.09,0.11,0.34,0.11,0.21,0.36,0.07,0.0,0.30,0.42,0.22,0.36,0.43,0.48,0.25,0.39,0.13,0.0,0.16,0.56,0.34
0.18,0.16,0.34,0.36,0.10,0.29,0.24,1,0.02,0.36,0.02,0.36,0.27,0.37,0.39,0.12,0.27,0.25,0.24,0.37,0.14,0.15,0.18,0.00,0.15,0.22,0.14,0.24,0.0,0.30,0.39,0.26,0.25,0.17,0.35,0.23,0.25,0.14,0.0,0.17,0.44,0.19
0.26,0.03,0.14,0.24,-0.02,0.10,0.09,0.02,1,0.10,0.09,0.15,0.20,0.01,0.11,0.02,0.04,0.07,0.09,0.18,0.04,0.21,0.05,0.00,0.03,0.05,0.49,0.04,0.0,0.12,0.06,0.14,0.11,0.09,0.12,0.29,0.05,0.02,0.0,0.24,0.14,0.03
0.17,0.13,0.32,0.28,0.05,0.14,0.18,0.36,0.10,1,0.01,0.24,0.33,0.17,0.32,0.08,0.18,0.22,0.37,0.27,0.12,0.03,0.24,0.08,0.23,0.11,0.30,0.10,0.0,0.29,0.33,0.22,0.16,0.09,0.35,0.18,0.08,0.12,0.0,0.16,0.24,0.22
-0.00,0.01,-0.02,0.01,-0.01,0.02,0.03,0.02,0.09,0.01,1,0.01,0.32,0.04,0.12,-0.03,0.01,0.02,-0.03,0.01,-0.00,0.01,-0.02,-0.00,0.05,0.04,0.01,0.02,0.0,0.07,0.02,-0.00,-0.04,0.00,0.03,-0.01,-0.02,0.16,0.0,0.02,0.02,0.02
0.16,0.20,0.27,0.30,0.18,0.32,0.42,0.36,0.15,0.24,0.01,1,0.43,0.43,0.41,0.09,0.37,0.53,0.29,0.25,0.10,0.07,0.38,0.05,0.20,0.12,0.24,0.13,0.0,0.23,0.40,0.32,0.28,0.41,0.41,0.21,0.40,0.11,0.0,0.21,0.55,0.38
0.09,0.24,0.17,0.25,0.05,0.14,0.37,0.27,0.20,0.33,0.32,0.43,1,0.22,0.31,0.06,0.26,0.06,0.21,0.33,0.06,0.71,0.43,-0.03,0.22,0.18,0.26,0.10,0.0,0.42,0.27,0.47,0.10,0.19,0.19,0.32,0.25,0.09,0.0,0.30,0.39,0.18
