1,0.49,0.58,0.0,0.39,0.0,0.49,0.51,0.40,0.17,0.31,0.02,0.30,0.36,0.26,0.25,0.46
0.49,1,0.49,0.0,0.39,0.0,0.37,0.25,0.13,0.25,0.24,-0.07,0.31,0.23,0.33,0.15,0.22
0.58,0.49,1,0.0,0.29,0.0,0.41,0.42,0.32,0.12,0.16,0.01,0.24,0.27,0.08,0.22,0.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.39,0.29,0.0,1,0.0,0.31,0.39,0.26,0.13,0.30,-0.02,0.28,0.20,0.16,0.17,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.37,0.41,0.0,0.31,0.0,1,0.35,0.31,0.09,0.24,0.04,0.26,0.34,0.16,0.20,0.39
0.51,0.25,0.42,0.0,0.39,0.0,0.35,1,0.28,0.12,0.15,0.01,0.26,0.28,0.11,0.20,0.37
0.40,0.13,0.32,0.0,0.26,0.0,0.31,0.28,1,0.15,0.23,0.08,0.15,0.20,0.22,0.19,0.22
0.17,0.25,0.12,0.0,0.13,0.0,0.09,0.12,0.15,1,0.05,0.0,0.04,0.12,0.06,0.10,0.19
0.31,0.24,0.16,0.0,0.30,0.0,0.24,0.15,0.23,0.05,1,-0.01,0.17,0.19,0.13,0.08,0.29
0.02,-0.07,0.01,0.0,-0.02,0.0,0.04,0.01,0.08,0.0,-0.01,1,-0.05,0.03,0.07,0.08,-0.01
0.30,0.31,0.24,0.0,0.28,0.0,0.26,0.26,0.15,0.04,0.17,-0.05,1,0.32,0.07,0.14,0.20
0.36,0.23,0.27,0.0,0.20,0.0,0.34,0.28,0.20,0.12,0.19,0.03,0.32,1,0.33,0.15,0.39
0.26,0.33,0.08,0.0,0.16,0.0,0.16,0.11,0.22,0.06,0.13,0.07,0.07,0.33,1,0.20,0.08
0.25,0.15,0.22,0.0,0.17,0.0,0.20,0.20,0.19,0.10,0.08,0.08,0.14,0.15,0.20,1,0.24
0.46,0.22,0.41,0.0,0.23,0.0,0.39,0.37,0.22,0.19,0.29,-0.01,0.20,0.39,0.08,0.24,1
