1,0.27,0.43,0.55,0.08,0.32,0.10,0.28,0.31,0.27,0.28,0.24,0.58,0.29,0.28,0.17,0.33,0.66,0.08,0.29,0.0,0.30,0.17,0.10,0.14,0.10,0.58,0.20,0.02,0.0,0.13,0.41,0.11
0.27,1,0.27,0.17,0.03,0.11,0.05,0.52,0.08,0.05,0.04,0.09,0.13,0.34,0.14,0.00,0.15,0.27,0.00,0.34,0.0,0.33,0.07,0.02,0.02,0.09,0.17,0.07,-0.01,0.0,0.09,0.16,-0.01
0.43,0.27,1,0.42,0.15,0.16,0.21,0.31,0.45,0.19,0.24,0.38,0.27,0.94,0.23,0.14,0.47,0.58,0.18,0.94,0.0,0.34,0.14,0.06,0.10,0.38,0.41,0.15,0.02,0.0,0.21,0.38,0.05
0.55,0.17,0.42,1,0.16,0.21,0.17,0.16,0.35,0.15,0.25,0.16,0.39,0.40,0.16,0.11,0.32,0.55,0.05,0.40,0.0,0.45,0.15,0.10,0.08,0.12,0.48,0.12,0.09,0.0,0.20,0.36,0.02
0.08,0.03,0.15,0.16,1,0.04,0.16,0.05,0.20,0.01,0.13,0.08,0.10,0.14,0.10,0.14,0.18,0.25,-0.01,0.14,0.0,0.12,-0.16,0.26,-0.01,0.07,0.21,0.29,-0.03,0.0,0.17,0.15,0.01
0.32,0.11,0.16,0.21,0.04,1,0.10,0.01,0.09,0.25,0.08,0.11,0.22,0.08,0.15,0.05,0.29,0.29,0.07,0.09,0.0,0.29,0.13,0.04,0.04,-0.06,0.23,0.14,-0.05,0.0,0.06,0.25,0.04
0.10,0.05,0.21,0.17,0.16,0.10,1,0.09,0.03,0.02,0.12,0.08,0.09,0.20,0.06,0.30,0.05,0.15,-0.05,0.20,0.0,0.07,0.09,0.04,0.09,-0.04,0.08,0.05,0.11,0.0,0.04,0.06,-0.23
0.28,0.52,0.31,0.16,0.05,0.01,0.09,1,0.37,0.07,0.15,0.07,0.15,0.41,0.20,0.00,0.13,0.22,0.03,0.41,0.0,0.05,0.06,0.14,0.06,0.10,0.11,0.02,0.02,0.0,0.04,0.23,0.19
0.31,0.08,0.45,0.35,0.20,0.09,0.03,0.37,1,0.23,0.27,0.25,0.40,0.44,0.30,0.08,0.23,0.57,0.01,0.44,0.0,0.24,0.08,0.08,0.16,0.11,0.34,0.07,-0.02,0.0,0.09,0.30,0.32
0.27,0.05,0.19,0.15,0.01,0.25,0.02,0.07,0.23,1,0.12,0.14,0.18,0.25,0.17,0.04,0.11,0.20,0.00,0.25,0.0,0.18,0.05,0.06,0.78,0.17,0.21,0.05,0.01,0.0,0.05,0.17,0.21
0.28,0.04,0.24,0.25,0.13,0.08,0.12,0.15,0.27,0.12,1,0.09,0.20,0.22,0.16,0.21,0.12,0.32,-0.03,0.22,0.0,0.18,0.13,0.51,0.13,0.17,0.22,0.26,0.03,0.0,0.61,0.23,0.24
0.24,0.09,0.38,0.16,0.08,0.11,0.08,0.07,0.25,0.14,0.09,1,0.18,0.41,0.12,0.10,0.22,0.17,-0.07,0.41,0.0,0.30,0.06,0.10,0.05,0.01,0.09,0.49,0.08,0.0,0.52,0.19,-0.11
0.58,0.13,0.27,0.39,0.10,0.22,0.09,0.15,0.40,0.18,0.20,0.18,1,0.22,0.23,0.06,0.32,0.45,0.09,0.22,0.0,0.20,0.14,0.26,0.17,0.08,0.44,0.40,0.07,0.0,0.08,0.28,0.02
0.29,0.34,0.94,0.40,0.14,0.08,0.20,0.41,0.44,0.25,0.22,0.41,0.22,1,0.23,0.17,0.41,0.40,0.01,1.00,0.0,0.36,0.08,0.09,0.11,0.51,0.26,0.09,0.06,0.0,0.26,0.30,0.08
0.28,0.14,0.23,0.16,0.10,0.15,0.06,0.20,0.30,0.17,0.16,0.12,0.23,0.23,1,0.06,0.14,0.20,0.00,0.23,0.0,0.10,0.13,0.07,0.23,0.02,0.31,0.22,0.02,0.0,0.04,0.24,0.10
0.17,0.00,0.14,0.11,0.14,0.05,0.30,0.00,0.08,0.04,0.21,0.10,0.06,0.17,0.06,1,0.15,0.15,-0.09,0.17,0.0,0.03,0.01,0.27,0.02,0.03,0.13,0.09,0.11,0.0,0.21,0.11,-0.06
0.33,0.15,0.47,0.32,0.18,0.29,0.05,0.13,0.23,0.11,0.12,0.22,0.32,0.41,0.14,0.15,1,0.42,0.02,0.41,0.0,0.37,0.09,0.25,0.11,0.05,0.37,0.08,0.06,0.0,0.06,0.44,-0.15
0.66,0.27,0.58,0.55,0.25,0.29,0.15,0.22,0.57,0.20,0.32,0.17,0.45,0.40,0.20,0.15,0.42,1,0.03,0.40,0.0,0.48,0.28,0.05,0.10,0.11,0.60,0.13,0.12,0.0,0.11,0.42,0.15
0.08,0.00,0.18,0.05,-0.01,0.07,-0.05,0.03,0.01,0.00,-0.03,-0.07,0.09,0.01,0.00,-0.09,0.02,0.03,1,0.01,0.0,0.34,-0.03,0.70,-0.05,0.02,0.07,-0.08,-0.05,0.0,0.00,0.11,0.0
0.29,0.34,0.94,0.40,0.14,0.09,0.20,0.41,0.44,0.25,0.22,0.41,0.22,1.00,0.23,0.17,0.41,0.40,0.01,1,0.0,0.36,0.08,0.09,0.11,0.51,0.26,0.09,0.06,0.0,0.26,0.30,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.33,0.34,0.45,0.12,0.29,0.07,0.05,0.24,0.18,0.18,0.30,0.20,0.36,0.10,0.03,0.37,0.48,0.34,0.36,0.0,1,0.12,0.04,0.04,0.10,0.33,0.09,0.02,0.0,0.36,0.40,-0.01
0.17,0.07,0.14,0.15,-0.16,0.13,0.09,0.06,0.08,0.05,0.13,0.06,0.14,0.08,0.13,0.01,0.09,0.28,-0.03,0.08,0.0,0.12,1,0.06,0.03,0.09,0.14,0.10,0.04,0.0,0.27,0.13,0.08
0.10,0.02,0.06,0.10,0.26,0.04,0.04,0.14,0.08,0.06,0.51,0.10,0.26,0.09,0.07,0.27,0.25,0.05,0.70,0.09,0.0,0.04,0.06,1,0.09,0.03,0.13,0.27,-0.07,0.0,0.52,0.13,-0.05
0.14,0.02,0.10,0.08,-0.01,0.04,0.09,0.06,0.16,0.78,0.13,0.05,0.17,0.11,0.23,0.02,0.11,0.10,-0.05,0.11,0.0,0.04,0.03,0.09,1,0.03,0.17,0.02,0.02,0.0,0.10,0.03,0.0
0.10,0.09,0.38,0.12,0.07,-0.06,-0.04,0.10,0.11,0.17,0.17,0.01,0.08,0.51,0.02,0.03,0.05,0.11,0.02,0.51,0.0,0.10,0.09,0.03,0.03,1,0.12,-0.04,0.01,0.0,0.13,-0.05,0.11
0.58,0.17,0.41,0.48,0.21,0.23,0.08,0.11,0.34,0.21,0.22,0.09,0.44,0.26,0.31,0.13,0.37,0.60,0.07,0.26,0.0,0.33,0.14,0.13,0.17,0.12,1,0.15,0.00,0.0,0.14,0.55,0.02
0.20,0.07,0.15,0.12,0.29,0.14,0.05,0.02,0.07,0.05,0.26,0.49,0.40,0.09,0.22,0.09,0.08,0.13,-0.08,0.09,0.0,0.09,0.10,0.27,0.02,-0.04,0.15,1,0.08,0.0,0.25,0.14,0.07
0.02,-0.01,0.02,0.09,-0.03,-0.05,0.11,0.02,-0.02,0.01,0.03,0.08,0.07,0.06,0.02,0.11,0.06,0.12,-0.05,0.06,0.0,0.02,0.04,-0.07,0.02,0.01,0.00,0.08,1,0.0,-0.05,0.04,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.09,0.21,0.20,0.17,0.06,0.04,0.04,0.09,0.05,0.61,0.52,0.08,0.26,0.04,0.21,0.06,0.11,0.00,0.26,0.0,0.36,0.27,0.52,0.10,0.13,0.14,0.25,-0.05,0.0,1,0.16,0.44
0.41,0.16,0.38,0.36,0.15,0.25,0.06,0.23,0.30,0.17,0.23,0.19,0.28,0.30,0.24,0.11,0.44,0.42,0.11,0.30,0.0,0.40,0.13,0.13,0.03,-0.05,0.55,0.14,0.04,0.0,0.16,1,0.05
