1,0.22,0.12,0.17,0.29,0.39,0.30,0.51,0.20,0.67,0.17,0.33,0.16,0.28,0.20,0.76,0.46,0.06,0.15,0.54
0.22,1,0.18,0.23,0.33,0.39,0.41,0.19,0.63,0.19,0.22,0.32,0.27,0.50,0.24,0.22,0.17,0.30,0.25,0.24
0.12,0.18,1,0.36,0.20,0.47,0.34,0.09,0.20,0.09,0.17,0.33,0.23,0.49,0.16,0.13,0.09,0.15,0.13,0.08
0.17,0.23,0.36,1,0.28,0.57,0.53,0.16,0.29,0.13,0.17,0.32,0.31,0.49,0.22,0.21,0.16,0.08,0.23,0.14
0.29,0.33,0.20,0.28,1,0.38,0.40,0.41,0.37,0.25,0.17,0.33,0.29,0.37,0.12,0.23,0.35,0.12,0.26,0.27
0.39,0.39,0.47,0.57,0.38,1,0.63,0.37,0.51,0.28,0.31,0.43,0.40,0.65,0.25,0.33,0.33,0.21,0.31,0.21
0.30,0.41,0.34,0.53,0.40,0.63,1,0.24,0.43,0.30,0.30,0.40,0.43,0.59,0.27,0.25,0.20,0.20,0.29,0.22
0.51,0.19,0.09,0.16,0.41,0.37,0.24,1,0.18,0.58,0.16,0.25,0.21,0.17,0.17,0.47,1.00,0.16,0.15,0.37
0.20,0.63,0.20,0.29,0.37,0.51,0.43,0.18,1,0.53,0.34,0.37,0.20,0.56,0.24,0.15,0.19,0.20,0.25,0.18
0.67,0.19,0.09,0.13,0.25,0.28,0.30,0.58,0.53,1,0.18,0.32,0.24,0.24,0.14,0.56,0.55,0.10,0.18,0.55
0.17,0.22,0.17,0.17,0.17,0.31,0.30,0.16,0.34,0.18,1,0.24,0.29,0.27,0.39,0.18,0.15,0.11,0.18,0.23
0.33,0.32,0.33,0.32,0.33,0.43,0.40,0.25,0.37,0.32,0.24,1,0.23,0.45,0.20,0.24,0.28,0.20,0.27,0.26
0.16,0.27,0.23,0.31,0.29,0.40,0.43,0.21,0.20,0.24,0.29,0.23,1,0.32,0.22,0.14,0.21,0.13,0.15,0.12
0.28,0.50,0.49,0.49,0.37,0.65,0.59,0.17,0.56,0.24,0.27,0.45,0.32,1,0.21,0.21,0.17,0.24,0.24,0.25
0.20,0.24,0.16,0.22,0.12,0.25,0.27,0.17,0.24,0.14,0.39,0.20,0.22,0.21,1,0.17,0.13,0.10,0.17,0.09
0.76,0.22,0.13,0.21,0.23,0.33,0.25,0.47,0.15,0.56,0.18,0.24,0.14,0.21,0.17,1,0.44,0.12,0.27,0.57
0.46,0.17,0.09,0.16,0.35,0.33,0.20,1.00,0.19,0.55,0.15,0.28,0.21,0.17,0.13,0.44,1,0.13,0.19,0.48
0.06,0.30,0.15,0.08,0.12,0.21,0.20,0.16,0.20,0.10,0.11,0.20,0.13,0.24,0.10,0.12,0.13,1,0.12,0.04
0.15,0.25,0.13,0.23,0.26,0.31,0.29,0.15,0.25,0.18,0.18,0.27,0.15,0.24,0.17,0.27,0.19,0.12,1,0.34
0.54,0.24,0.08,0.14,0.27,0.21,0.22,0.37,0.18,0.55,0.23,0.26,0.12,0.25,0.09,0.57,0.48,0.04,0.34,1
