1,0.09,0.20,0.39,0.40,0.33,0.11,0.43,0.48,0.21,0.22,0.57,0.34,0.11,0.32,0.56,0.50,0.14,0.57,0.22,0.16,0.10,0.08,0.18,0.09,0.41,-0.04,0.14,0.29,0.57,0.15,0.25,0.36,0.61,0.17,0.03,0.46,0.32
0.09,1,0.06,0.12,0.11,0.07,0.20,0.15,0.08,0.07,0.25,0.12,0.03,0.10,0.12,0.10,0.18,0.07,0.10,0.04,0.00,0.08,0.09,0.08,1.00,0.12,0.01,0.24,0.09,0.09,0.24,0.10,0.16,0.20,0.03,0.09,0.15,0.04
0.20,0.06,1,0.08,0.34,0.38,0.14,0.30,0.84,0.14,0.07,0.18,0.06,0.08,0.15,0.10,0.27,0.41,0.17,0.18,0.11,0.14,0.09,0.15,0.06,0.12,-0.03,0.11,0.26,0.60,0.04,0.24,0.15,0.24,0.90,0.02,0.18,0.07
0.39,0.12,0.08,1,0.16,0.23,0.14,0.15,0.22,0.16,0.16,0.12,0.27,0.18,0.08,0.10,0.23,0.13,0.32,0.17,0.21,0.08,0.13,0.28,0.12,0.44,-0.05,0.19,0.21,0.16,0.28,0.17,0.22,0.30,0.03,0.05,0.34,0.09
0.40,0.11,0.34,0.16,1,0.43,0.25,0.35,0.34,0.10,0.26,0.21,0.29,0.23,0.50,0.16,0.34,0.17,0.22,0.38,0.09,0.02,0.09,0.22,0.11,0.33,-0.02,0.19,0.49,0.29,0.11,0.36,0.34,0.44,0.19,0.12,0.33,0.11
0.33,0.07,0.38,0.23,0.43,1,0.19,0.38,0.46,0.16,0.33,0.10,0.17,0.19,0.09,0.34,0.52,0.34,0.50,0.68,0.09,0.39,0.59,0.28,0.07,0.42,0.00,0.07,0.21,0.36,0.05,0.41,0.32,0.42,0.47,0.03,0.32,0.12
0.11,0.20,0.14,0.14,0.25,0.19,1,0.18,0.15,0.09,0.71,0.11,0.26,0.08,0.05,0.14,0.17,0.17,0.14,0.21,0.09,0.09,0.07,0.29,0.20,0.17,-0.08,0.90,0.34,0.23,0.32,0.14,0.73,0.38,0.13,0.05,0.24,0.06
0.43,0.15,0.30,0.15,0.35,0.38,0.18,1,0.31,0.15,0.18,0.01,0.33,0.21,0.22,0.26,0.48,0.37,0.35,0.17,0.08,0.12,0.20,0.14,0.15,0.41,0.00,0.12,0.20,0.38,0.14,0.25,0.28,0.36,0.27,0.04,0.19,0.03
0.48,0.08,0.84,0.22,0.34,0.46,0.15,0.31,1,0.15,0.13,0.11,0.29,0.21,0.08,0.06,0.30,0.16,0.27,0.18,0.11,0.07,0.06,0.14,0.08,0.37,-0.06,0.09,0.31,0.58,0.42,0.23,0.29,0.30,0.90,0.17,0.49,0.01
0.21,0.07,0.14,0.16,0.10,0.16,0.09,0.15,0.15,1,0.01,0.07,0.01,0.17,0.14,0.48,0.10,0.17,0.15,0.08,0.18,0.00,0.18,0.10,0.07,0.13,0.06,0.21,0.05,0.26,0.09,0.27,0.04,0.21,0.14,0.03,0.33,0.03
0.22,0.25,0.07,0.16,0.26,0.33,0.71,0.18,0.13,0.01,1,0.06,0.07,0.34,0.14,0.09,0.22,0.49,0.26,0.12,0.30,0.12,0.12,0.14,0.25,0.26,0.04,0.80,0.32,0.34,0.22,0.41,0.34,0.35,0.32,0.06,0.82,0.12
0.57,0.12,0.18,0.12,0.21,0.10,0.11,0.01,0.11,0.07,0.06,1,0.07,0.08,0.43,-0.02,0.20,0.07,0.09,0.69,0.17,-0.03,0.07,0.13,0.12,0.09,-0.03,0.09,0.20,0.14,0.17,0.15,0.21,0.13,0.08,-0.09,0.03,0.24
0.34,0.03,0.06,0.27,0.29,0.17,0.26,0.33,0.29,0.01,0.07,0.07,1,0.08,0.01,0.04,0.33,0.10,0.23,0.10,0.01,-0.16,0.13,0.15,0.03,0.38,0.03,0.02,0.32,0.17,0.06,0.22,0.16,0.34,0.10,0.01,0.29,0.09
0.11,0.10,0.08,0.18,0.23,0.19,0.08,0.21,0.21,0.17,0.34,0.08,0.08,1,0.14,0.12,0.56,0.22,0.21,0.17,0.10,0.11,0.11,0.47,0.10,0.21,-0.09,0.19,0.16,0.08,0.51,0.16,0.11,0.19,0.21,0.06,0.30,0.17
0.32,0.12,0.15,0.08,0.50,0.09,0.05,0.22,0.08,0.14,0.14,0.43,0.01,0.14,1,0.16,0.10,0.05,0.10,0.36,0.08,0.04,0.01,0.21,0.12,0.08,-0.02,0.04,0.42,0.15,0.11,0.06,0.06,0.10,0.06,0.04,0.17,0.17
0.56,0.10,0.10,0.10,0.16,0.34,0.14,0.26,0.06,0.48,0.09,-0.02,0.04,0.12,0.16,1,0.16,0.21,0.14,0.20,0.39,0.06,0.22,0.13,0.10,0.11,0.04,0.19,0.12,0.29,0.12,0.23,0.12,0.15,0.34,0.10,0.12,0.07
0.50,0.18,0.27,0.23,0.34,0.52,0.17,0.48,0.30,0.10,0.22,0.20,0.33,0.56,0.10,0.16,1,0.29,0.41,0.16,0.12,0.23,0.10,0.36,0.18,0.45,-0.03,0.02,0.29,0.33,0.04,0.39,0.30,0.49,0.34,0.08,0.40,0.21
0.14,0.07,0.41,0.13,0.17,0.34,0.17,0.37,0.16,0.17,0.49,0.07,0.10,0.22,0.05,0.21,0.29,1,0.17,0.24,0.08,0.13,0.11,0.17,0.07,0.24,0.02,0.19,0.12,0.14,0.16,0.46,0.17,0.19,0.22,0.08,0.42,0.32
