1,0.0,0.0,0.44,0.22,0.31,0.30,0.48,0.0,0.05,0.24,0.30,0.21,0.16,0.17,0.22,0.16,0.23,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,1,0.10,0.42,0.40,0.02,0.0,0.50,0.07,0.05,0.15,0.37,0.48,0.53,0.54,0.38,0.08
0.22,0.0,0.0,0.10,1,0.09,0.14,0.15,0.0,0.09,0.10,0.18,0.08,0.10,0.20,0.27,0.22,0.23,0.13
0.31,0.0,0.0,0.42,0.09,1,0.36,0.08,0.0,0.16,0.12,0.24,0.12,0.25,0.44,0.41,0.37,0.45,0.24
0.30,0.0,0.0,0.40,0.14,0.36,1,0.07,0.0,0.32,0.14,0.18,0.08,0.25,0.22,0.43,0.25,0.38,0.25
0.48,0.0,0.0,0.02,0.15,0.08,0.07,1,0.0,0.09,0.07,0.15,0.05,0.10,0.08,0.18,0.04,0.16,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.50,0.09,0.16,0.32,0.09,0.0,1,0.02,0.10,0.12,0.48,0.28,0.15,0.12,0.32,0.08
0.24,0.0,0.0,0.07,0.10,0.12,0.14,0.07,0.0,0.02,1,0.08,0.07,0.08,0.12,0.09,0.13,0.18,0.07
0.30,0.0,0.0,0.05,0.18,0.24,0.18,0.15,0.0,0.10,0.08,1,0.08,0.29,0.15,0.20,0.15,0.20,0.20
0.21,0.0,0.0,0.15,0.08,0.12,0.08,0.05,0.0,0.12,0.07,0.08,1,0.13,0.11,0.19,0.25,0.19,0.05
0.16,0.0,0.0,0.37,0.10,0.25,0.25,0.10,0.0,0.48,0.08,0.29,0.13,1,0.28,0.18,0.09,0.36,0.17
0.17,0.0,0.0,0.48,0.20,0.44,0.22,0.08,0.0,0.28,0.12,0.15,0.11,0.28,1,0.39,0.27,0.23,0.13
0.22,0.0,0.0,0.53,0.27,0.41,0.43,0.18,0.0,0.15,0.09,0.20,0.19,0.18,0.39,1,0.48,0.50,0.14
0.16,0.0,0.0,0.54,0.22,0.37,0.25,0.04,0.0,0.12,0.13,0.15,0.25,0.09,0.27,0.48,1,0.44,0.72
0.23,0.0,0.0,0.38,0.23,0.45,0.38,0.16,0.0,0.32,0.18,0.20,0.19,0.36,0.23,0.50,0.44,1,0.29
0.12,0.0,0.0,0.08,0.13,0.24,0.25,0.16,0.0,0.08,0.07,0.20,0.05,0.17,0.13,0.14,0.72,0.29,1
