1,0.14,0.07,0.35,0.25,0.43,0.19,-0.12,0.19,0.05,0.13,0.07,0.37,0.17,0.06,0.41,0.16,0.40,0.18,0.31,0.09,0.10,0.25,0.17,0.23,0.0,0.15,0.29
0.14,1,0.17,0.26,0.12,0.19,0.12,0.03,0.25,0.26,0.26,0.26,0.13,0.14,0.39,0.09,0.08,0.29,0.06,0.23,0.11,0.17,0.18,0.25,0.19,0.0,0.15,0.36
0.07,0.17,1,0.20,0.14,0.33,0.14,0.07,0.12,0.16,0.26,0.02,0.16,0.34,0.31,0.08,0.16,0.28,0.07,0.40,0.11,0.14,0.23,0.38,0.14,0.0,0.17,0.11
0.35,0.26,0.20,1,0.32,0.49,0.22,0.16,0.32,0.33,0.23,0.14,0.31,0.30,0.11,0.09,0.24,0.41,0.23,0.34,0.55,0.13,0.40,0.27,0.17,0.0,0.24,0.20
0.25,0.12,0.14,0.32,1,0.25,0.10,-0.01,0.05,0.15,0.13,0.45,0.20,0.14,0.07,0.14,0.08,0.18,0.16,0.30,0.06,0.29,0.15,0.14,0.18,0.0,0.08,0.17
0.43,0.19,0.33,0.49,0.25,1,0.20,0.05,0.44,0.13,0.17,0.04,0.20,0.44,0.14,0.13,0.20,0.42,0.28,0.47,0.06,0.11,0.28,0.29,0.20,0.0,0.36,0.31
0.19,0.12,0.14,0.22,0.10,0.20,1,0.05,0.13,0.06,0.01,0.02,0.49,0.03,0.07,0.01,0.17,0.13,0.20,0.17,0.21,0.07,0.21,0.13,0.04,0.0,0.12,0.05
-0.12,0.03,0.07,0.16,-0.01,0.05,0.05,1,-0.02,0.21,0.06,0.01,-0.02,-0.04,0.01,-0.11,0.18,0.10,0.08,0.09,0.00,0.01,0.24,0.09,-0.04,0.0,0.16,-0.02
0.19,0.25,0.12,0.32,0.05,0.44,0.13,-0.02,1,0.15,0.10,0.10,0.13,0.22,0.24,0.32,0.17,0.17,0.58,0.19,0.05,0.23,0.26,0.19,0.24,0.0,0.09,0.16
0.05,0.26,0.16,0.33,0.15,0.13,0.06,0.21,0.15,1,0.33,0.28,0.12,0.26,0.16,0.03,0.23,0.16,0.13,0.14,0.11,0.07,0.14,0.11,0.09,0.0,0.07,0.06
0.13,0.26,0.26,0.23,0.13,0.17,0.01,0.06,0.10,0.33,1,0.23,0.16,0.15,0.12,0.19,0.12,0.21,0.11,0.21,0.12,0.15,0.14,0.26,0.10,0.0,0.21,0.09
0.07,0.26,0.02,0.14,0.45,0.04,0.02,0.01,0.10,0.28,0.23,1,0.11,0.08,0.12,0.00,0.01,0.01,0.15,0.05,0.09,0.27,0.14,0.15,0.08,0.0,0.10,0.37
0.37,0.13,0.16,0.31,0.20,0.20,0.49,-0.02,0.13,0.12,0.16,0.11,1,0.11,0.10,0.22,0.17,0.13,0.12,0.22,0.20,0.08,0.20,0.13,0.16,0.0,0.04,0.24
0.17,0.14,0.34,0.30,0.14,0.44,0.03,-0.04,0.22,0.26,0.15,0.08,0.11,1,0.21,0.09,0.21,0.30,0.12,0.30,0.12,0.21,0.26,0.31,0.25,0.0,0.20,0.13
0.06,0.39,0.31,0.11,0.07,0.14,0.07,0.01,0.24,0.16,0.12,0.12,0.10,0.21,1,0.08,0.10,0.19,0.34,0.20,0.03,0.18,0.13,0.14,0.08,0.0,0.12,0.25
0.41,0.09,0.08,0.09,0.14,0.13,0.01,-0.11,0.32,0.03,0.19,0.00,0.22,0.09,0.08,1,0.05,0.10,0.11,0.29,0.06,0.36,0.23,0.18,0.11,0.0,0.18,0.10
