1,0.08,0.10,-0.01,0.07,-0.02,-0.01,-0.08,-0.01,0.03,0.0,-0.02
0.08,1,0.15,0.11,0.09,0.01,0.20,0.03,0.02,0.06,0.0,0.01
0.10,0.15,1,0.15,0.12,0.04,0.13,0.15,0.14,0.08,0.0,0.04
-0.01,0.11,0.15,1,0.54,0.13,0.28,0.55,0.50,0.32,0.0,0.13
0.07,0.09,0.12,0.54,1,0.20,0.25,0.47,0.43,0.44,0.0,0.20
-0.02,0.01,0.04,0.13,0.20,1,0.20,0.05,0.08,0.02,0.0,1.00
-0.01,0.20,0.13,0.28,0.25,0.20,1,0.12,0.26,0.10,0.0,0.20
-0.08,0.03,0.15,0.55,0.47,0.05,0.12,1,0.26,0.22,0.0,0.05
-0.01,0.02,0.14,0.50,0.43,0.08,0.26,0.26,1,0.28,0.0,0.08
0.03,0.06,0.08,0.32,0.44,0.02,0.10,0.22,0.28,1,0.0,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.01,0.04,0.13,0.20,1.00,0.20,0.05,0.08,0.02,0.0,1
