1,0.25,0.02,0.30,0.14,0.06,0.10,0.23,0.13,0.09,0.07,0.26,0.0,0.19,0.03,0.29,0.18,0.14,0.05,0.04,0.15,0.10,-0.04,0.47,0.21,0.20,0.22,0.22,0.30,0.0,0.37,0.0,0.17,0.26,0.16,0.10,0.21,0.14,0.07,0.03,0.46,0.08,0.12,0.0,0.14,0.33,0.02,0.05,0.0,0.36,0.11,0.0
0.25,1,0.18,0.32,0.28,0.38,0.26,0.64,0.26,0.32,0.08,0.36,0.0,0.18,0.13,0.46,0.25,0.29,0.16,0.11,0.35,0.24,-0.03,0.22,0.23,0.45,0.49,0.14,0.49,0.0,0.52,0.0,0.28,0.18,0.35,0.44,0.37,0.42,0.12,0.23,0.33,0.13,0.20,0.0,0.40,0.41,0.22,0.19,0.0,0.49,0.20,0.0
0.02,0.18,1,0.21,0.05,0.41,0.11,0.21,0.13,0.20,0.06,0.12,0.0,0.11,0.11,0.19,0.22,0.10,0.18,0.04,0.21,0.05,-0.01,0.05,0.05,0.04,0.19,0.18,0.23,0.0,0.17,0.0,0.14,0.03,0.13,-0.07,0.19,0.09,0.10,0.14,0.19,0.13,0.17,0.0,0.04,0.07,0.04,0.13,0.0,0.16,0.12,0.0
0.30,0.32,0.21,1,0.09,0.25,0.08,0.53,0.20,0.19,0.12,0.31,0.0,0.31,0.13,0.41,0.11,0.31,0.22,0.14,0.22,0.22,0.03,0.13,0.19,0.27,0.35,0.16,0.39,0.0,0.38,0.0,0.17,0.22,0.20,0.19,0.19,0.29,0.25,0.12,0.39,0.18,0.19,0.0,0.26,0.26,0.06,0.21,0.0,0.37,0.23,0.0
0.14,0.28,0.05,0.09,1,0.14,0.06,0.27,0.26,0.37,0.03,0.18,0.0,0.13,0.05,0.33,0.27,0.13,0.16,0.10,0.17,0.04,0.01,0.01,0.11,0.13,0.31,0.05,0.10,0.0,0.36,0.0,0.20,0.25,0.20,0.23,0.14,0.19,0.09,0.02,0.22,0.13,0.08,0.0,0.09,0.27,0.12,0.12,0.0,0.33,0.14,0.0
0.06,0.38,0.41,0.25,0.14,1,0.14,0.38,0.20,0.37,0.09,0.34,0.0,0.20,0.24,0.40,0.24,0.16,0.20,0.08,0.27,0.14,0.02,0.17,0.21,0.33,0.36,0.24,0.50,0.0,0.41,0.0,0.18,0.23,0.38,0.12,0.32,0.32,0.20,0.14,0.34,0.10,0.25,0.0,0.32,0.28,0.09,0.14,0.0,0.38,0.21,0.0
0.10,0.26,0.11,0.08,0.06,0.14,1,0.26,0.53,0.20,0.30,0.11,0.0,0.10,0.12,0.24,0.09,0.07,0.20,0.21,0.16,0.16,0.02,0.15,0.19,0.17,0.19,0.04,0.15,0.0,0.33,0.0,0.24,0.13,0.16,0.06,0.16,0.19,0.26,0.15,0.14,0.10,0.23,0.0,0.16,0.31,0.04,0.22,0.0,0.34,0.13,0.0
0.23,0.64,0.21,0.53,0.27,0.38,0.26,1,0.25,0.38,0.07,0.40,0.0,0.56,0.22,0.90,0.19,0.43,0.26,0.20,0.34,0.26,0.09,0.25,0.26,0.42,0.81,0.13,0.49,0.0,0.86,0.0,0.25,0.29,0.36,0.18,0.28,0.56,0.19,0.21,0.40,0.17,0.27,0.0,0.38,0.48,0.20,0.19,0.0,0.81,0.11,0.0
0.13,0.26,0.13,0.20,0.26,0.20,0.53,0.25,1,0.11,0.26,0.25,0.0,0.17,0.18,0.29,0.14,0.07,0.10,0.12,0.24,0.21,0.01,0.08,0.22,0.20,0.24,0.10,0.25,0.0,0.25,0.0,0.10,0.11,0.38,0.04,0.19,0.28,0.17,0.13,0.25,0.12,0.17,0.0,0.22,0.19,0.08,0.40,0.0,0.25,0.23,0.0
0.09,0.32,0.20,0.19,0.37,0.37,0.20,0.38,0.11,1,0.08,0.23,0.0,0.13,0.08,0.40,0.15,0.12,0.38,0.13,0.28,0.20,0.03,0.12,0.13,0.18,0.34,0.17,0.42,0.0,0.38,0.0,0.21,0.22,0.38,0.10,0.23,0.42,0.34,0.22,0.43,0.06,0.13,0.0,0.21,0.23,0.08,0.22,0.0,0.32,0.09,0.0
