1,0.20,0.26,0.40,-0.09,0.07,0.23,0.63,0.16,0.11,0.40,0.45,0.39,0.12,0.0,0.20,0.0,0.23,0.26
0.20,1,0.41,0.45,-0.03,0.07,0.22,0.26,0.26,0.16,0.46,0.42,0.15,0.26,0.0,0.25,0.0,0.59,0.41
0.26,0.41,1,0.62,-0.01,0.28,0.02,0.22,0.15,0.36,0.39,0.25,0.07,0.25,0.0,0.22,0.0,0.50,0.32
0.40,0.45,0.62,1,0.06,0.20,0.15,0.47,0.38,0.23,0.85,0.44,0.28,0.48,0.0,0.41,0.0,0.90,0.76
-0.09,-0.03,-0.01,0.06,1,-0.08,0.0,0.07,0.07,-0.05,0.09,0.02,-0.06,0.00,0.0,0.03,0.0,0.06,0.02
0.07,0.07,0.28,0.20,-0.08,1,-0.11,0.04,0.11,0.53,0.10,0.06,0.08,0.12,0.0,0.10,0.0,0.14,0.05
0.23,0.22,0.02,0.15,0.0,-0.11,1,-0.05,0.16,0.22,0.21,0.27,0.03,0.04,0.0,0.10,0.0,0.20,0.07
0.63,0.26,0.22,0.47,0.07,0.04,-0.05,1,0.10,0.07,0.38,0.43,0.42,0.10,0.0,0.16,0.0,0.18,0.31
0.16,0.26,0.15,0.38,0.07,0.11,0.16,0.10,1,0.10,0.28,0.18,0.06,0.11,0.0,0.15,0.0,0.28,0.23
0.11,0.16,0.36,0.23,-0.05,0.53,0.22,0.07,0.10,1,0.20,0.17,0.06,0.10,0.0,0.12,0.0,0.16,0.18
0.40,0.46,0.39,0.85,0.09,0.10,0.21,0.38,0.28,0.20,1,0.94,0.26,0.43,0.0,0.37,0.0,0.86,0.74
0.45,0.42,0.25,0.44,0.02,0.06,0.27,0.43,0.18,0.17,0.94,1,0.14,0.31,0.0,0.25,0.0,0.47,0.47
0.39,0.15,0.07,0.28,-0.06,0.08,0.03,0.42,0.06,0.06,0.26,0.14,1,0.22,0.0,0.18,0.0,0.35,0.19
0.12,0.26,0.25,0.48,0.00,0.12,0.04,0.10,0.11,0.10,0.43,0.31,0.22,1,0.0,0.16,0.0,0.66,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.25,0.22,0.41,0.03,0.10,0.10,0.16,0.15,0.12,0.37,0.25,0.18,0.16,0.0,1,0.0,0.33,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.59,0.50,0.90,0.06,0.14,0.20,0.18,0.28,0.16,0.86,0.47,0.35,0.66,0.0,0.33,0.0,1,0.79
0.26,0.41,0.32,0.76,0.02,0.05,0.07,0.31,0.23,0.18,0.74,0.47,0.19,0.42,0.0,0.18,0.0,0.79,1
