1,0.81,0.0,0.0,0.02,0.15,0.32,0.16,0.27,0.30,0.15,0.17,0.02,0.35,0.02,0.14,0.08,0.37,0.15,0.10,0.35,0.34,0.15,0.19,0.19,0.18,0.0,0.12,0.22,0.32,0.0,0.08,0.13,-0.06,0.12,0.24,0.18,0.39,0.28,0.08,0.18,0.08,0.03
0.81,1,0.0,0.0,0.10,0.16,0.48,0.32,0.43,0.42,0.28,0.19,0.03,0.38,0.03,0.17,0.07,0.42,0.20,0.16,0.41,0.42,0.18,0.25,0.34,0.28,0.0,0.14,0.24,0.47,0.0,0.20,0.10,0.02,0.14,0.31,0.32,0.57,0.38,0.11,0.18,0.17,0.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.10,0.0,0.0,1,-0.02,0.00,0.02,0.12,0.02,0.02,-0.00,0.0,0.15,0.01,-0.00,-0.08,0.01,-0.00,0.02,0.10,0.06,0.12,-0.01,-0.00,0.01,0.0,0.01,0.00,0.03,0.0,-0.02,0.02,0.0,0.02,-0.01,-0.03,0.06,0.01,0.03,0.01,0.01,0.04
0.15,0.16,0.0,0.0,-0.02,1,0.24,0.20,0.19,0.28,0.17,0.13,0.04,0.21,0.02,0.17,-0.05,0.15,0.16,0.10,0.18,0.16,0.02,0.14,0.12,0.05,0.0,0.08,0.11,0.30,0.0,0.09,0.48,0.0,0.32,0.12,0.02,0.22,0.14,0.11,0.19,0.49,0.13
0.32,0.48,0.0,0.0,0.00,0.24,1,0.33,0.48,0.81,0.47,0.44,0.09,0.41,0.15,0.25,0.14,0.79,0.46,0.20,0.47,0.80,0.20,0.32,0.28,0.25,0.0,0.25,0.17,0.87,0.0,0.28,0.34,0.11,0.46,0.49,0.27,0.81,0.55,0.23,0.35,0.40,0.25
0.16,0.32,0.0,0.0,0.02,0.20,0.33,1,0.30,0.23,0.21,0.22,-0.00,0.19,0.04,0.19,0.03,0.35,0.17,0.15,0.23,0.30,0.14,0.17,0.10,0.04,0.0,0.06,0.32,0.38,0.0,0.18,0.07,-0.02,0.08,0.27,0.29,0.36,0.29,0.18,0.13,0.22,0.10
0.27,0.43,0.0,0.0,0.12,0.19,0.48,0.30,1,0.46,0.21,0.63,-0.06,0.39,0.08,0.19,0.07,0.54,0.42,0.30,0.44,0.49,0.18,0.29,0.08,0.13,0.0,0.18,0.17,0.57,0.0,0.22,0.07,0.04,0.15,0.34,0.30,0.60,0.51,0.20,0.24,0.19,0.17
0.30,0.42,0.0,0.0,0.02,0.28,0.81,0.23,0.46,1,0.40,0.36,0.04,0.42,0.10,0.26,0.15,0.69,0.44,0.17,0.46,0.72,0.14,0.31,0.38,0.13,0.0,0.16,0.29,0.85,0.0,0.30,0.30,-0.02,0.50,0.36,0.22,0.79,0.43,0.36,0.37,0.47,0.36
