1,0.14,0.15,0.14,0.38,0.11,0.15,0.11,0.37,0.01,0.10,0.06,0.17,0.08,0.26,0.08,0.07,0.03,0.13,0.13,0.17,0.18,0.10,0.12,0.34,0.13,0.14,-0.01,0.73,0.13,0.04,0.06,0.17
0.14,1,0.08,0.21,0.14,0.08,0.14,0.07,0.52,0.03,0.09,0.01,0.08,0.11,0.05,0.05,0.36,0.03,0.06,0.10,0.18,0.15,0.09,0.11,0.17,0.03,0.11,0.03,0.18,0.30,0.60,0.68,0.12
0.15,0.08,1,0.10,0.10,0.04,0.07,0.03,0.04,0.00,0.01,-0.03,0.05,0.21,-0.03,-0.03,0.10,0.0,0.09,-0.04,0.08,0.06,0.00,0.12,0.18,-0.00,0.05,0.19,0.10,0.03,0.04,0.01,-0.11
0.14,0.21,0.10,1,0.45,0.25,0.20,0.15,0.25,0.06,0.12,0.17,0.56,0.20,0.22,0.07,0.18,0.33,0.09,0.21,0.19,0.27,0.07,0.09,0.33,0.03,0.24,0.07,0.22,0.26,0.16,0.19,0.46
0.38,0.14,0.10,0.45,1,0.61,0.27,0.13,0.42,0.04,0.20,0.21,0.49,0.49,0.34,0.18,0.22,0.02,0.05,0.28,0.46,0.41,0.16,0.09,0.27,0.32,0.24,0.06,0.48,0.23,0.17,0.18,0.19
0.11,0.08,0.04,0.25,0.61,1,0.24,0.57,0.40,0.09,0.23,0.10,0.41,0.48,0.34,0.22,0.08,0.00,0.07,0.12,0.32,0.26,0.14,0.10,0.29,0.05,0.20,0.02,0.36,0.16,0.30,0.19,0.14
0.15,0.14,0.07,0.20,0.27,0.24,1,0.04,0.38,0.07,0.07,0.14,0.23,0.19,0.30,0.11,0.28,0.03,0.28,0.35,0.12,0.16,0.73,0.30,0.11,0.14,0.25,-0.01,0.21,0.12,0.18,0.18,0.14
0.11,0.07,0.03,0.15,0.13,0.57,0.04,1,0.07,0.03,0.12,0.03,0.09,0.12,0.07,0.01,0.07,-0.00,0.04,0.05,0.01,0.08,0.28,0.12,0.20,0.04,0.18,-0.07,0.21,0.07,0.23,0.27,0.07
0.37,0.52,0.04,0.25,0.42,0.40,0.38,0.07,1,0.02,0.05,0.11,0.26,0.21,0.23,0.11,0.05,-0.01,0.06,0.41,0.21,0.16,0.07,0.09,0.23,0.06,0.28,0.04,0.35,0.17,0.12,0.24,0.13
0.01,0.03,0.00,0.06,0.04,0.09,0.07,0.03,0.02,1,0.14,0.10,0.37,0.04,0.04,0.87,0.11,-0.01,0.04,0.07,0.05,0.17,0.12,0.13,0.09,0.09,0.09,0.07,0.12,0.12,0.20,0.04,0.03
