1,0.19,0.13,0.46,0.22,0.17,0.07,0.40,0.40,0.63,0.54,0.32,0.27,0.42,0.33,0.40,0.0,0.13,0.39,0.44,0.04,0.42,0.25,0.48,0.25,0.0,0.11,0.09,0.39,0.10,0.07
0.19,1,0.02,0.13,0.03,0.23,0.12,0.32,0.14,0.25,0.13,0.17,0.19,0.18,0.15,0.23,0.0,0.25,0.20,0.20,0.06,0.16,0.12,0.22,0.17,0.0,0.10,0.16,0.15,0.04,0.07
0.13,0.02,1,0.09,-0.05,0.10,0.06,0.15,0.18,0.21,0.19,0.06,0.09,0.14,0.06,0.09,0.0,0.11,0.21,0.15,0.08,0.14,0.04,0.12,0.06,0.0,0.01,0.02,0.08,0.02,-0.07
0.46,0.13,0.09,1,0.31,0.19,0.18,0.53,0.53,0.64,0.39,0.15,0.34,0.46,0.36,0.36,0.0,0.10,0.45,0.56,0.10,0.37,0.37,0.45,0.32,0.0,0.24,0.13,0.29,0.21,0.09
0.22,0.03,-0.05,0.31,1,0.17,0.05,0.24,0.04,0.18,0.10,0.08,0.15,0.14,0.18,0.13,0.0,0.04,0.12,0.06,0.26,0.08,0.18,0.12,0.08,0.0,0.22,0.29,0.15,0.17,0.04
0.17,0.23,0.10,0.19,0.17,1,0.11,0.18,0.19,0.20,0.21,0.59,0.18,0.24,0.23,0.12,0.0,0.17,0.24,0.21,0.47,0.17,0.21,0.15,0.10,0.0,0.50,0.39,0.09,0.80,0.00
0.07,0.12,0.06,0.18,0.05,0.11,1,0.09,0.17,0.16,0.16,0.06,0.27,0.07,0.36,0.30,0.0,0.08,0.19,0.25,0.08,0.21,0.40,0.42,0.21,0.0,0.19,0.08,0.09,0.05,0.12
0.40,0.32,0.15,0.53,0.24,0.18,0.09,1,0.35,0.63,0.40,0.47,0.36,0.48,0.26,0.41,0.0,0.29,0.40,0.44,0.06,0.42,0.29,0.42,0.24,0.0,0.20,0.08,0.40,0.24,0.15
0.40,0.14,0.18,0.53,0.04,0.19,0.17,0.35,1,0.69,0.35,0.21,0.33,0.59,0.44,0.28,0.0,0.08,0.43,0.92,0.13,0.37,0.38,0.32,0.34,0.0,0.24,0.06,0.21,0.28,0.21
0.63,0.25,0.21,0.64,0.18,0.20,0.16,0.63,0.69,1,0.51,0.23,0.51,0.49,0.43,0.47,0.0,0.21,0.74,0.79,0.06,0.53,0.38,0.56,0.41,0.0,0.28,0.17,0.37,0.19,0.17
0.54,0.13,0.19,0.39,0.10,0.21,0.16,0.40,0.35,0.51,1,0.40,0.21,0.39,0.27,0.34,0.0,0.20,0.25,0.33,0.07,0.29,0.24,0.26,0.24,0.0,0.13,0.08,0.43,0.18,0.15
