1,0.15,0.05,0.04,0.39,0.06,0.55,0.25,0.38,0.29,0.08,0.15,0.31,0.23,0.36,0.41,0.30,0.39,0.48,0.46,0.20,0.07,0.49,0.28,0.02,0.12,0.14,0.13,0.25,0.24,0.16,0.41,0.24,0.25,0.29,0.24
0.15,1,0.03,0.12,0.08,0.10,0.14,0.20,0.12,0.18,0.06,0.23,0.18,0.10,0.25,0.06,0.07,0.08,0.13,0.17,0.06,0.09,0.14,0.01,0.03,0.03,0.09,0.06,0.10,0.24,0.09,0.09,0.12,0.06,0.14,0.17
0.05,0.03,1,0.14,0.28,0.03,0.16,0.15,0.21,0.13,0.18,0.34,0.19,0.14,0.08,0.02,0.12,0.28,0.23,0.13,0.20,0.09,0.15,-0.16,0.02,0.01,0.26,0.16,0.20,0.08,0.04,0.42,0.13,0.10,0.16,0.12
0.04,0.12,0.14,1,0.08,0.09,0.14,0.09,0.17,0.16,0.12,0.17,0.17,0.19,0.12,0.09,0.11,0.08,0.18,0.16,0.21,0.20,0.16,-0.16,0.05,0.07,0.35,0.05,0.25,0.14,0.25,0.09,0.12,0.11,0.15,0.32
0.39,0.08,0.28,0.08,1,0.11,0.41,0.16,0.29,0.35,0.29,0.12,0.34,0.35,0.46,0.44,0.37,1.00,0.77,0.36,0.26,0.13,0.91,0.14,0.03,0.09,0.18,0.18,0.28,0.22,0.13,0.90,0.21,0.54,0.44,0.18
0.06,0.10,0.03,0.09,0.11,1,0.09,0.06,0.17,0.13,0.11,0.00,0.22,0.08,0.11,0.07,0.12,0.11,0.14,0.10,0.16,0.10,0.10,0.08,0.02,0.04,0.17,0.18,0.17,0.11,0.04,0.06,0.12,0.04,0.19,0.11
0.55,0.14,0.16,0.14,0.41,0.09,1,0.32,0.33,0.37,0.15,0.24,0.37,0.31,0.56,0.44,0.38,0.41,0.44,0.37,0.21,0.12,0.50,0.26,0.06,0.12,0.13,0.15,0.39,0.29,0.19,0.39,0.41,0.18,0.37,0.22
0.25,0.20,0.15,0.09,0.16,0.06,0.32,1,0.36,0.93,0.04,0.37,0.58,0.15,0.22,0.17,0.16,0.16,0.44,0.86,0.34,0.12,0.34,0.14,0.16,0.20,0.28,0.18,0.54,0.64,0.37,0.22,0.32,0.19,0.50,0.31
0.38,0.12,0.21,0.17,0.29,0.17,0.33,0.36,1,0.47,0.07,0.15,0.49,0.22,0.39,0.33,0.22,0.29,0.45,0.44,0.38,0.27,0.42,0.13,0.09,0.17,0.30,0.19,0.44,0.36,0.25,0.29,0.41,0.16,0.40,0.28
0.29,0.18,0.13,0.16,0.35,0.13,0.37,0.93,0.47,1,0.14,0.44,0.81,0.28,0.35,0.34,0.29,0.35,0.73,0.98,0.47,0.14,0.60,0.12,0.16,0.24,0.39,0.15,0.79,0.67,0.48,0.37,0.42,0.31,0.62,0.42
0.08,0.06,0.18,0.12,0.29,0.11,0.15,0.04,0.07,0.14,1,0.16,0.16,0.07,0.10,0.12,0.12,0.29,0.26,0.12,0.11,0.01,0.24,0.05,-0.07,0.07,0.09,0.17,0.14,0.15,0.08,0.27,0.09,0.20,0.16,0.15
0.15,0.23,0.34,0.17,0.12,0.00,0.24,0.37,0.15,0.44,0.16,1,0.30,0.23,0.17,0.17,0.17,0.12,0.24,0.51,0.21,0.20,0.23,0.27,0.06,0.08,0.19,0.12,0.46,0.38,0.42,0.12,0.25,0.10,0.27,0.15
0.31,0.18,0.19,0.17,0.34,0.22,0.37,0.58,0.49,0.81,0.16,0.30,1,0.38,0.50,0.46,0.27,0.34,0.77,0.81,0.52,0.15,0.68,0.11,0.11,0.22,0.43,0.14,0.85,0.61,0.33,0.42,0.51,0.29,0.86,0.51
0.23,0.10,0.14,0.19,0.35,0.08,0.31,0.15,0.22,0.28,0.07,0.23,0.38,1,0.37,0.46,0.58,0.35,0.40,0.44,0.33,0.30,0.49,0.75,0.07,0.11,0.12,0.10,0.30,0.11,0.17,0.42,0.22,0.19,0.39,0.31
0.36,0.25,0.08,0.12,0.46,0.11,0.56,0.22,0.39,0.35,0.10,0.17,0.50,0.37,1,0.40,0.35,0.46,0.38,0.31,0.23,0.26,0.48,0.21,0.04,0.17,0.12,0.19,0.32,0.25,0.24,0.46,0.33,0.16,0.60,0.31
0.41,0.06,0.02,0.09,0.44,0.07,0.44,0.17,0.33,0.34,0.12,0.17,0.46,0.46,0.40,1,0.37,0.44,0.49,0.32,0.22,0.26,0.94,0.12,0.02,0.12,0.18,0.14,0.35,0.18,0.18,0.47,0.30,0.46,0.39,0.20
0.30,0.07,0.12,0.11,0.37,0.12,0.38,0.16,0.22,0.29,0.12,0.17,0.27,0.58,0.35,0.37,1,0.37,0.35,0.42,0.15,0.06,0.41,0.73,0.01,0.06,0.17,0.14,0.30,0.15,0.16,0.31,0.36,0.22,0.25,0.14
0.39,0.08,0.28,0.08,1.00,0.11,0.41,0.16,0.29,0.35,0.29,0.12,0.34,0.35,0.46,0.44,0.37,1,0.77,0.36,0.26,0.13,0.91,0.14,0.03,0.09,0.18,0.18,0.28,0.22,0.13,0.90,0.21,0.54,0.44,0.18
0.48,0.13,0.23,0.18,0.77,0.14,0.44,0.44,0.45,0.73,0.26,0.24,0.77,0.40,0.38,0.49,0.35,0.77,1,0.68,0.46,0.20,0.88,0.30,0.08,0.20,0.40,0.23,0.72,0.45,0.33,0.76,0.44,0.43,0.59,0.37
0.46,0.17,0.13,0.16,0.36,0.10,0.37,0.86,0.44,0.98,0.12,0.51,0.81,0.44,0.31,0.32,0.42,0.36,0.68,1,0.45,0.14,0.58,0.48,0.15,0.18,0.41,0.14,0.79,0.72,0.49,0.35,0.44,0.23,0.60,0.38
0.20,0.06,0.20,0.21,0.26,0.16,0.21,0.34,0.38,0.47,0.11,0.21,0.52,0.33,0.23,0.22,0.15,0.26,0.46,0.45,1,0.03,0.38,0.03,0.13,0.16,0.31,0.08,0.47,0.32,0.35,0.26,0.32,0.21,0.41,0.30
0.07,0.09,0.09,0.20,0.13,0.10,0.12,0.12,0.27,0.14,0.01,0.20,0.15,0.30,0.26,0.26,0.06,0.13,0.20,0.14,0.03,1,0.28,0.04,0.06,0.05,0.20,0.10,0.24,0.17,0.22,0.18,0.13,0.10,0.14,0.17
0.49,0.14,0.15,0.16,0.91,0.10,0.50,0.34,0.42,0.60,0.24,0.23,0.68,0.49,0.48,0.94,0.41,0.91,0.88,0.58,0.38,0.28,1,0.16,0.04,0.15,0.34,0.18,0.67,0.37,0.29,0.79,0.41,0.52,0.57,0.33
