1,0.00,0.02,-0.00,0.01,0.01,0.05,0.14,0.05,-0.00,-0.00,0.01,0.01,0.05,0.00,0.03,0.04,0.03,0.08,0.01,0.01,-0.01,0.00,0.05,0.00,0.01,N/A,0.01,0.04,0.03,0.08,0.15,0.01,0.12,-0.00,-0.00,0.02,0.04
0.00,1,0.02,0.07,0.05,0.07,0.08,0.07,0.08,0.00,0.06,-0.00,0.03,-0.02,0.12,0.10,0.08,0.07,0.08,0.03,-0.00,-0.05,0.02,0.02,1.00,0.03,N/A,0.01,0.05,-0.02,-0.02,0.03,0.06,0.06,-0.02,0.09,0.04,0.01
0.02,0.02,1,-0.04,0.16,0.12,-0.02,0.08,0.04,0.06,0.07,-0.02,0.03,0.05,0.02,0.10,0.07,0.13,0.06,0.03,0.11,-0.07,0.05,0.06,0.02,0.05,N/A,-0.02,0.08,-0.00,-0.00,0.04,0.03,0.13,0.13,-0.09,0.01,0.07
-0.00,0.07,-0.04,1,0.01,0.08,0.03,0.03,0.01,0.00,0.08,-0.00,0.27,0.06,0.06,-0.01,0.12,0.05,0.21,0.02,0.01,0.02,0.01,0.12,0.07,0.02,N/A,-0.01,0.04,0.03,0.03,0.05,0.05,0.05,0.03,0.02,0.04,-0.01
0.01,0.05,0.16,0.01,1,0.19,0.10,0.15,0.12,0.04,0.07,-0.00,0.05,0.08,0.08,0.09,0.03,0.07,0.08,0.06,0.09,0.00,0.02,0.14,0.05,0.16,N/A,0.06,0.07,0.04,0.11,0.02,0.13,0.05,0.08,0.01,0.08,0.11
0.01,0.07,0.12,0.08,0.19,1,0.05,0.38,0.12,0.06,0.33,-0.00,0.07,0.17,0.09,-0.00,0.11,0.17,0.11,0.06,0.02,-0.02,0.03,0.14,0.07,0.06,N/A,0.04,0.11,0.07,0.04,0.36,0.19,0.10,0.18,0.03,0.32,0.01
0.05,0.08,-0.02,0.03,0.10,0.05,1,0.14,0.10,0.04,0.03,0.02,0.05,0.06,-0.04,0.05,0.07,0.09,0.07,0.00,0.03,0.09,0.02,0.10,0.08,0.04,N/A,0.01,0.04,0.00,0.03,0.07,0.05,0.04,-0.00,0.05,-0.02,-0.02
0.14,0.07,0.08,0.03,0.15,0.38,0.14,1,0.14,0.15,0.11,0.01,0.05,0.21,0.11,0.14,0.16,0.09,0.11,0.01,0.01,0.02,0.02,0.14,0.07,0.02,N/A,0.04,0.08,0.15,0.14,0.15,0.17,0.16,0.07,0.04,0.10,0.03
0.05,0.08,0.04,0.01,0.12,0.12,0.10,0.14,1,0.05,0.06,-0.02,0.02,0.21,0.06,0.06,-0.06,0.06,0.10,0.08,0.07,-0.00,0.05,-0.01,0.08,0.12,N/A,0.05,0.04,-0.02,0.42,0.02,0.02,0.01,0.07,0.01,0.04,-0.05
-0.00,0.00,0.06,0.00,0.04,0.06,0.04,0.15,0.05,1,0.01,0.01,0.01,0.01,0.04,0.07,0.02,0.03,0.03,0.02,-0.03,0.00,-0.00,0.01,0.00,0.03,N/A,0.02,0.05,0.01,-0.04,-0.01,0.00,0.21,0.03,0.02,0.03,0.03
-0.00,0.06,0.07,0.08,0.07,0.33,0.03,0.11,0.06,0.01,1,-0.01,0.07,0.34,0.11,-0.03,0.14,0.49,0.01,0.02,0.05,0.12,0.01,0.14,0.06,0.10,N/A,0.00,0.09,-0.00,0.11,0.41,0.00,0.13,0.32,0.02,0.82,0.02
0.01,-0.00,-0.02,-0.00,-0.00,-0.00,0.02,0.01,-0.02,0.01,-0.01,1,0.07,0.02,0.01,-0.02,0.00,-0.01,0.02,0.02,-0.01,-0.03,-0.00,0.13,-0.00,-0.00,N/A,0.02,0.20,-0.01,-0.02,-0.01,0.16,0.02,0.02,-0.02,-0.03,0.05
0.01,0.03,0.03,0.27,0.05,0.07,0.05,0.05,0.02,0.01,0.07,0.07,1,0.08,-0.01,0.02,0.12,0.06,-0.01,0.01,0.01,-0.06,0.03,0.14,0.03,0.01,N/A,0.02,0.09,-0.02,0.06,0.02,0.01,0.12,0.10,-0.04,0.04,0.09
0.05,-0.02,0.05,0.06,0.08,0.17,0.06,0.21,0.21,0.01,0.34,0.02,0.08,1,0.14,0.04,0.12,0.22,0.14,0.06,0.03,0.11,0.09,0.30,-0.02,0.03,N/A,0.01,0.02,-0.02,0.51,0.16,0.11,0.09,0.21,0.06,0.30,0.04
0.00,0.12,0.02,0.06,0.08,0.09,-0.04,0.11,0.06,0.04,0.11,0.01,-0.01,0.14,1,0.16,0.04,-0.01,0.10,0.01,0.08,0.03,-0.00,0.08,0.12,0.02,N/A,0.02,0.00,0.06,0.11,0.01,0.04,0.10,0.05,-0.06,0.17,-0.05
0.03,0.10,0.10,-0.01,0.09,-0.00,0.05,0.14,0.06,0.07,-0.03,-0.02,0.02,0.04,0.16,1,-0.00,0.19,0.01,-0.05,-0.04,0.06,0.03,0.02,0.10,0.04,N/A,-0.03,0.05,-0.01,0.03,0.04,0.03,0.02,-0.00,0.10,-0.02,-0.03
0.04,0.08,0.07,0.12,0.03,0.11,0.07,0.16,-0.06,0.02,0.14,0.00,0.12,0.12,0.04,-0.00,1,-0.00,0.40,0.02,0.02,0.02,0.02,0.16,0.08,0.03,N/A,0.02,0.07,0.03,-0.01,0.08,0.11,0.04,0.13,0.08,0.08,-0.06
0.03,0.07,0.13,0.05,0.07,0.17,0.09,0.09,0.06,0.03,0.49,-0.01,0.06,0.22,-0.01,0.19,-0.00,1,0.05,0.01,-0.02,0.13,0.06,0.02,0.07,0.09,N/A,0.02,0.11,0.06,0.07,0.33,-0.00,0.07,0.20,0.08,0.42,0.12
0.08,0.08,0.06,0.21,0.08,0.11,0.07,0.11,0.10,0.03,0.01,0.02,-0.01,0.14,0.10,0.01,0.40,0.05,1,0.01,0.01,0.01,0.02,0.21,0.08,0.06,N/A,0.04,0.10,0.03,-0.01,0.04,0.06,0.11,0.10,0.09,-0.02,-0.01
0.01,0.03,0.03,0.02,0.06,0.06,0.00,0.01,0.08,0.02,0.02,0.02,0.01,0.06,0.01,-0.05,0.02,0.01,0.01,1,0.00,-0.02,-0.01,0.02,0.03,-0.00,N/A,0.00,0.01,-0.03,0.02,0.01,0.02,0.03,0.03,0.08,0.00,0.02
0.01,-0.00,0.11,0.01,0.09,0.02,0.03,0.01,0.07,-0.03,0.05,-0.01,0.01,0.03,0.08,-0.04,0.02,-0.02,0.01,0.00,1,0.00,0.00,0.02,-0.00,0.01,N/A,-0.03,-0.03,-0.02,0.03,0.01,0.14,0.01,0.03,-0.08,0.00,0.07
-0.01,-0.05,-0.07,0.02,0.00,-0.02,0.09,0.02,-0.00,0.00,0.12,-0.03,-0.06,0.11,0.03,0.06,0.02,0.13,0.01,-0.02,0.00,1,0.01,0.05,-0.05,0.09,N/A,0.00,-0.01,0.03,0.08,0.32,0.07,0.01,0.00,0.09,0.15,-0.06
0.00,0.02,0.05,0.01,0.02,0.03,0.02,0.02,0.05,-0.00,0.01,-0.00,0.03,0.09,-0.00,0.03,0.02,0.06,0.02,-0.01,0.00,0.01,1,0.29,0.02,-0.00,N/A,0.01,-0.01,-0.01,0.09,0.02,0.02,0.03,0.02,0.01,0.01,-0.01
0.05,0.02,0.06,0.12,0.14,0.14,0.10,0.14,-0.01,0.01,0.14,0.13,0.14,0.30,0.08,0.02,0.16,0.02,0.21,0.02,0.02,0.05,0.29,1,0.02,0.13,N/A,0.03,0.10,0.03,0.05,0.06,0.08,0.13,0.14,0.01,0.08,0.04
0.00,1.00,0.02,0.07,0.05,0.07,0.08,0.07,0.08,0.00,0.06,-0.00,0.03,-0.02,0.12,0.10,0.08,0.07,0.08,0.03,-0.00,-0.05,0.02,0.02,1,0.03,N/A,0.01,0.05,-0.02,-0.02,0.03,0.06,0.06,-0.02,0.09,0.04,0.01
0.01,0.03,0.05,0.02,0.16,0.06,0.04,0.02,0.12,0.03,0.10,-0.00,0.01,0.03,0.02,0.04,0.03,0.09,0.06,-0.00,0.01,0.09,-0.00,0.13,0.03,1,N/A,0.02,0.05,0.01,-0.03,0.09,0.20,0.05,0.02,0.03,0.13,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.01,-0.02,-0.01,0.06,0.04,0.01,0.04,0.05,0.02,0.00,0.02,0.02,0.01,0.02,-0.03,0.02,0.02,0.04,0.00,-0.03,0.00,0.01,0.03,0.01,0.02,N/A,1,0.00,0.03,0.06,0.03,0.15,0.03,0.01,0.05,-0.02,-0.06
0.04,0.05,0.08,0.04,0.07,0.11,0.04,0.08,0.04,0.05,0.09,0.20,0.09,0.02,0.00,0.05,0.07,0.11,0.10,0.01,-0.03,-0.01,-0.01,0.10,0.05,0.05,N/A,0.00,1,0.06,-0.05,0.04,0.07,0.20,0.20,-0.00,0.04,0.00
0.03,-0.02,-0.00,0.03,0.04,0.07,0.00,0.15,-0.02,0.01,-0.00,-0.01,-0.02,-0.02,0.06,-0.01,0.03,0.06,0.03,-0.03,-0.02,0.03,-0.01,0.03,-0.02,0.01,N/A,0.03,0.06,1,-0.04,0.03,0.18,0.03,0.02,0.05,0.03,-0.01
0.08,-0.02,-0.00,0.03,0.11,0.04,0.03,0.14,0.42,-0.04,0.11,-0.02,0.06,0.51,0.11,0.03,-0.01,0.07,-0.01,0.02,0.03,0.08,0.09,0.05,-0.02,-0.03,N/A,0.06,-0.05,-0.04,1,0.05,0.10,0.03,0.09,0.01,0.10,-0.02
0.15,0.03,0.04,0.05,0.02,0.36,0.07,0.15,0.02,-0.01,0.41,-0.01,0.02,0.16,0.01,0.04,0.08,0.33,0.04,0.01,0.01,0.32,0.02,0.06,0.03,0.09,N/A,0.03,0.04,0.03,0.05,1,0.18,0.18,0.07,0.05,0.45,-0.01
0.01,0.06,0.03,0.05,0.13,0.19,0.05,0.17,0.02,0.00,0.00,0.16,0.01,0.11,0.04,0.03,0.11,-0.00,0.06,0.02,0.14,0.07,0.02,0.08,0.06,0.20,N/A,0.15,0.07,0.18,0.10,0.18,1,0.14,0.07,0.09,0.02,-0.03
0.12,0.06,0.13,0.05,0.05,0.10,0.04,0.16,0.01,0.21,0.13,0.02,0.12,0.09,0.10,0.02,0.04,0.07,0.11,0.03,0.01,0.01,0.03,0.13,0.06,0.05,N/A,0.03,0.20,0.03,0.03,0.18,0.14,1,0.12,0.06,0.08,0.03
-0.00,-0.02,0.13,0.03,0.08,0.18,-0.00,0.07,0.07,0.03,0.32,0.02,0.10,0.21,0.05,-0.00,0.13,0.20,0.10,0.03,0.03,0.00,0.02,0.14,-0.02,0.02,N/A,0.01,0.20,0.02,0.09,0.07,0.07,0.12,1,-0.08,0.28,-0.03
-0.00,0.09,-0.09,0.02,0.01,0.03,0.05,0.04,0.01,0.02,0.02,-0.02,-0.04,0.06,-0.06,0.10,0.08,0.08,0.09,0.08,-0.08,0.09,0.01,0.01,0.09,0.03,N/A,0.05,-0.00,0.05,0.01,0.05,0.09,0.06,-0.08,1,-0.01,-0.00
0.02,0.04,0.01,0.04,0.08,0.32,-0.02,0.10,0.04,0.03,0.82,-0.03,0.04,0.30,0.17,-0.02,0.08,0.42,-0.02,0.00,0.00,0.15,0.01,0.08,0.04,0.13,N/A,-0.02,0.04,0.03,0.10,0.45,0.02,0.08,0.28,-0.01,1,0.04
0.04,0.01,0.07,-0.01,0.11,0.01,-0.02,0.03,-0.05,0.03,0.02,0.05,0.09,0.04,-0.05,-0.03,-0.06,0.12,-0.01,0.02,0.07,-0.06,-0.01,0.04,0.01,0.08,N/A,-0.06,0.00,-0.01,-0.02,-0.01,-0.03,0.03,-0.03,-0.00,0.04,1
