N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.13,0.03,0.19,0.08,N/A,0.23,N/A,0.01,0.12,N/A,0.05,N/A,0.01,0.06,0.18,0.00,0.18,N/A,-0.00,0.21,0.09,0.02,0.05,0.03,-0.04,0.20
N/A,N/A,0.13,1,0.15,0.25,0.04,N/A,0.17,N/A,-0.02,0.23,N/A,0.24,N/A,0.07,0.10,0.29,0.05,0.24,N/A,0.09,0.36,0.04,0.22,0.03,0.24,-0.01,0.24
N/A,N/A,0.03,0.15,1,0.14,0.02,N/A,0.16,N/A,-0.01,0.21,N/A,0.09,N/A,0.02,0.04,0.27,0.00,0.13,N/A,-0.00,0.26,0.03,0.12,0.07,0.10,0.04,0.12
N/A,N/A,0.19,0.25,0.14,1,0.17,N/A,0.26,N/A,0.04,0.35,N/A,0.37,N/A,0.18,0.25,0.52,0.08,0.28,N/A,0.04,0.61,0.06,0.37,0.01,0.28,0.07,0.49
N/A,N/A,0.08,0.04,0.02,0.17,1,N/A,0.02,N/A,0.00,0.06,N/A,0.10,N/A,0.08,0.06,0.18,0.01,0.07,N/A,0.06,0.20,0.06,0.10,0.02,0.04,0.00,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.23,0.17,0.16,0.26,0.02,N/A,1,N/A,-0.01,0.33,N/A,0.22,N/A,0.17,0.20,0.36,0.10,0.28,N/A,0.00,0.37,0.13,0.20,0.07,0.11,0.07,0.33
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.01,-0.02,-0.01,0.04,0.00,N/A,-0.01,N/A,1,0.07,N/A,0.01,N/A,0.01,-0.02,0.08,-0.00,0.03,N/A,0.02,0.06,0.01,0.02,0.09,-0.01,0.01,-0.00
N/A,N/A,0.12,0.23,0.21,0.35,0.06,N/A,0.33,N/A,0.07,1,N/A,0.37,N/A,0.22,0.18,0.52,0.19,0.35,N/A,0.05,0.58,0.08,0.18,0.11,0.28,0.02,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.05,0.24,0.09,0.37,0.10,N/A,0.22,N/A,0.01,0.37,N/A,1,N/A,0.10,0.21,0.46,0.09,0.27,N/A,0.01,0.51,0.05,0.28,0.03,0.31,0.03,0.31
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.01,0.07,0.02,0.18,0.08,N/A,0.17,N/A,0.01,0.22,N/A,0.10,N/A,1,0.14,0.22,0.26,0.15,N/A,0.23,0.23,0.02,0.06,0.09,0.09,0.05,0.19
N/A,N/A,0.06,0.10,0.04,0.25,0.06,N/A,0.20,N/A,-0.02,0.18,N/A,0.21,N/A,0.14,1,0.31,0.02,0.10,N/A,0.05,0.35,-0.05,0.22,0.08,0.16,0.02,0.24
N/A,N/A,0.18,0.29,0.27,0.52,0.18,N/A,0.36,N/A,0.08,0.52,N/A,0.46,N/A,0.22,0.31,1,0.11,0.42,N/A,0.11,0.79,0.10,0.34,0.10,0.30,0.05,0.52
N/A,N/A,0.00,0.05,0.00,0.08,0.01,N/A,0.10,N/A,-0.00,0.19,N/A,0.09,N/A,0.26,0.02,0.11,1,0.21,N/A,0.02,0.13,0.07,0.01,0.13,-0.02,0.05,0.11
N/A,N/A,0.18,0.24,0.13,0.28,0.07,N/A,0.28,N/A,0.03,0.35,N/A,0.27,N/A,0.15,0.10,0.42,0.21,1,N/A,0.07,0.40,0.20,0.24,-0.02,0.18,0.04,0.31
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,-0.00,0.09,-0.00,0.04,0.06,N/A,0.00,N/A,0.02,0.05,N/A,0.01,N/A,0.23,0.05,0.11,0.02,0.07,N/A,1,0.09,-0.05,0.08,-0.05,0.05,-0.00,0.02
N/A,N/A,0.21,0.36,0.26,0.61,0.20,N/A,0.37,N/A,0.06,0.58,N/A,0.51,N/A,0.23,0.35,0.79,0.13,0.40,N/A,0.09,1,0.12,0.37,0.14,0.35,0.11,0.52
N/A,N/A,0.09,0.04,0.03,0.06,0.06,N/A,0.13,N/A,0.01,0.08,N/A,0.05,N/A,0.02,-0.05,0.10,0.07,0.20,N/A,-0.05,0.12,1,0.15,-0.06,0.01,-0.05,0.12
