1,0.27,N/A,0.45,0.17,0.28,0.43,0.06,0.17,0.25,0.37,0.31,0.45,N/A,0.14,N/A,0.04,0.33,0.37,0.32,0.30,0.28,0.42,N/A
0.27,1,N/A,0.18,0.12,0.24,0.28,0.07,0.05,0.12,0.24,0.23,0.34,N/A,0.13,N/A,0.01,0.19,0.25,0.28,0.26,0.26,0.25,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.45,0.18,N/A,1,0.07,0.15,0.25,0.01,0.03,0.36,0.13,0.15,0.21,N/A,0.08,N/A,0.02,0.23,0.11,0.11,0.19,0.10,0.24,N/A
0.17,0.12,N/A,0.07,1,0.07,0.13,0.02,0.04,0.01,0.11,0.09,0.14,N/A,0.01,N/A,0.01,0.16,0.18,0.14,0.13,0.12,0.12,N/A
0.28,0.24,N/A,0.15,0.07,1,0.21,0.08,0.17,0.01,0.26,0.21,0.38,N/A,0.04,N/A,0.10,0.15,0.19,0.16,0.24,0.14,0.24,N/A
0.43,0.28,N/A,0.25,0.13,0.21,1,0.03,0.14,0.06,0.23,0.34,0.39,N/A,0.10,N/A,0.02,0.27,0.37,0.17,0.21,0.21,0.35,N/A
0.06,0.07,N/A,0.01,0.02,0.08,0.03,1,0.00,0.01,0.16,0.04,0.13,N/A,0.06,N/A,0.01,0.09,0.05,0.03,0.03,0.03,0.07,N/A
0.17,0.05,N/A,0.03,0.04,0.17,0.14,0.00,1,0.00,0.09,0.08,0.11,N/A,0.05,N/A,-0.01,0.07,0.16,0.10,0.05,0.05,0.13,N/A
0.25,0.12,N/A,0.36,0.01,0.01,0.06,0.01,0.00,1,0.10,0.03,0.11,N/A,0.12,N/A,0.01,0.15,0.13,0.07,0.19,0.00,0.10,N/A
0.37,0.24,N/A,0.13,0.11,0.26,0.23,0.16,0.09,0.10,1,0.31,0.53,N/A,0.46,N/A,0.07,0.41,0.42,0.38,0.29,0.16,0.28,N/A
0.31,0.23,N/A,0.15,0.09,0.21,0.34,0.04,0.08,0.03,0.31,1,0.58,N/A,0.14,N/A,0.01,0.28,0.37,0.39,0.31,0.08,0.35,N/A
0.45,0.34,N/A,0.21,0.14,0.38,0.39,0.13,0.11,0.11,0.53,0.58,1,N/A,0.25,N/A,0.04,0.41,0.52,0.47,0.42,0.23,0.44,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.13,N/A,0.08,0.01,0.04,0.10,0.06,0.05,0.12,0.46,0.14,0.25,N/A,1,N/A,-0.00,0.17,0.16,0.14,0.14,0.09,0.10,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.01,N/A,0.02,0.01,0.10,0.02,0.01,-0.01,0.01,0.07,0.01,0.04,N/A,-0.00,N/A,1,0.13,0.01,0.06,0.21,0.00,0.10,N/A
0.33,0.19,N/A,0.23,0.16,0.15,0.27,0.09,0.07,0.15,0.41,0.28,0.41,N/A,0.17,N/A,0.13,1,0.33,0.31,0.28,0.08,0.18,N/A
0.37,0.25,N/A,0.11,0.18,0.19,0.37,0.05,0.16,0.13,0.42,0.37,0.52,N/A,0.16,N/A,0.01,0.33,1,0.30,0.26,0.14,0.30,N/A
0.32,0.28,N/A,0.11,0.14,0.16,0.17,0.03,0.10,0.07,0.38,0.39,0.47,N/A,0.14,N/A,0.06,0.31,0.30,1,0.31,0.09,0.24,N/A
0.30,0.26,N/A,0.19,0.13,0.24,0.21,0.03,0.05,0.19,0.29,0.31,0.42,N/A,0.14,N/A,0.21,0.28,0.26,0.31,1,0.09,0.24,N/A
0.28,0.26,N/A,0.10,0.12,0.14,0.21,0.03,0.05,0.00,0.16,0.08,0.23,N/A,0.09,N/A,0.00,0.08,0.14,0.09,0.09,1,0.19,N/A
0.42,0.25,N/A,0.24,0.12,0.24,0.35,0.07,0.13,0.10,0.28,0.35,0.44,N/A,0.10,N/A,0.10,0.18,0.30,0.24,0.24,0.19,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
