1,0.31,N/A,0.30,0.81,0.84,0.33,N/A,0.82,0.86,0.22,0.74,0.16,0.11,0.78,0.30,0.39,0.79
0.31,1,N/A,0.46,0.41,0.33,0.61,N/A,0.55,0.33,0.30,0.30,0.19,-0.00,0.38,0.29,0.02,0.32
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.30,0.46,N/A,1,0.37,0.33,0.40,N/A,0.41,0.32,0.15,0.29,0.11,0.09,0.35,0.20,0.11,0.29
0.81,0.41,N/A,0.37,1,0.97,0.46,N/A,0.90,0.90,0.32,0.83,0.14,0.09,0.87,0.38,0.39,0.88
0.84,0.33,N/A,0.33,0.97,1,0.42,N/A,0.90,0.92,0.28,0.86,0.13,0.10,0.89,0.36,0.42,0.90
0.33,0.61,N/A,0.40,0.46,0.42,1,N/A,0.53,0.40,0.20,0.37,0.10,0.09,0.44,0.24,0.10,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.82,0.55,N/A,0.41,0.90,0.90,0.53,N/A,1,0.88,0.35,0.84,0.17,0.10,0.85,0.37,0.36,0.86
0.86,0.33,N/A,0.32,0.90,0.92,0.40,N/A,0.88,1,0.32,0.86,0.12,0.14,0.87,0.33,0.42,0.87
0.22,0.30,N/A,0.15,0.32,0.28,0.20,N/A,0.35,0.32,1,0.28,0.06,0.12,0.31,0.09,0.08,0.26
0.74,0.30,N/A,0.29,0.83,0.86,0.37,N/A,0.84,0.86,0.28,1,0.17,0.08,0.80,0.28,0.41,0.85
0.16,0.19,N/A,0.11,0.14,0.13,0.10,N/A,0.17,0.12,0.06,0.17,1,0.05,0.12,0.06,0.12,0.13
0.11,-0.00,N/A,0.09,0.09,0.10,0.09,N/A,0.10,0.14,0.12,0.08,0.05,1,0.16,0.04,0.01,0.13
0.78,0.38,N/A,0.35,0.87,0.89,0.44,N/A,0.85,0.87,0.31,0.80,0.12,0.16,1,0.32,0.36,0.84
0.30,0.29,N/A,0.20,0.38,0.36,0.24,N/A,0.37,0.33,0.09,0.28,0.06,0.04,0.32,1,0.15,0.38
0.39,0.02,N/A,0.11,0.39,0.42,0.10,N/A,0.36,0.42,0.08,0.41,0.12,0.01,0.36,0.15,1,0.42
0.79,0.32,N/A,0.29,0.88,0.90,0.42,N/A,0.86,0.87,0.26,0.85,0.13,0.13,0.84,0.38,0.42,1
