1,-0.00,N/A,0.10,0.08,0.29,0.05,0.02,0.00,0.04,0.01,0.11,0.02,0.03,0.00,0.05,0.02,0.02,0.02,0.00,-0.01,0.02,N/A,0.02,0.03,0.01,0.04,N/A,0.12,N/A,0.00,0.05,0.08,0.07,0.02,-0.00,N/A,0.01,0.03,0.03,-0.01,0.07,0.07,0.21,0.06,0.01,0.36,0.03,0.00,0.01,N/A,0.01,0.00
-0.00,1,N/A,0.37,0.40,0.21,0.24,0.03,0.02,0.12,0.06,0.06,0.14,0.61,0.11,0.09,0.07,0.13,0.17,0.49,-0.02,0.23,N/A,0.09,0.26,0.20,0.19,N/A,0.25,N/A,-0.03,0.17,0.23,0.25,0.45,0.52,N/A,0.06,0.08,0.24,-0.02,0.31,0.21,0.27,0.41,0.15,0.14,0.10,-0.01,0.00,N/A,0.03,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.37,N/A,1,0.77,0.44,0.48,0.20,0.14,0.29,0.18,0.24,0.11,0.35,0.24,0.23,0.12,0.43,0.34,0.39,0.07,0.43,N/A,0.32,0.47,0.32,0.28,N/A,0.56,N/A,0.04,0.34,0.65,0.61,0.27,0.34,N/A,0.18,0.07,0.28,0.07,0.70,0.57,0.72,0.66,0.44,0.29,0.26,0.06,0.14,N/A,0.20,0.06
0.08,0.40,N/A,0.77,1,0.41,0.53,0.12,0.20,0.31,0.25,0.29,0.11,0.33,0.30,0.17,0.13,0.57,0.23,0.52,0.09,0.35,N/A,0.36,0.59,0.23,0.31,N/A,0.54,N/A,0.05,0.36,0.73,0.69,0.26,0.53,N/A,0.25,0.10,0.25,0.09,0.73,0.65,0.74,0.79,0.56,0.24,0.33,0.07,0.23,N/A,0.12,0.07
0.29,0.21,N/A,0.44,0.41,1,0.26,0.11,0.03,0.18,0.46,0.19,0.20,0.34,0.11,0.24,0.06,0.23,0.22,0.19,0.07,0.23,N/A,0.21,0.18,0.07,0.24,N/A,0.29,N/A,0.01,0.29,0.28,0.26,0.32,0.16,N/A,0.46,0.08,0.19,0.07,0.34,0.29,0.34,0.32,0.20,0.20,0.06,0.06,0.14,N/A,0.03,0.06
0.05,0.24,N/A,0.48,0.53,0.26,1,0.13,0.34,0.23,0.10,0.20,0.03,0.22,0.29,0.11,0.02,0.38,0.14,0.31,0.09,0.30,N/A,0.17,0.51,0.16,0.17,N/A,0.37,N/A,0.02,0.26,0.44,0.81,0.18,0.30,N/A,0.10,0.01,0.18,0.09,0.86,0.39,0.44,0.85,0.39,0.20,0.30,0.02,0.12,N/A,0.11,0.02
0.02,0.03,N/A,0.20,0.12,0.11,0.13,1,0.00,0.09,0.02,0.01,0.00,0.01,0.08,0.02,0.00,0.12,0.25,0.07,0.00,0.32,N/A,0.09,0.10,0.36,0.14,N/A,0.12,N/A,0.01,-0.01,0.08,0.12,0.03,0.04,N/A,0.02,-0.02,0.06,0.00,0.22,0.07,0.12,0.12,0.14,0.06,0.06,0.01,-0.00,N/A,0.01,0.01
0.00,0.02,N/A,0.14,0.20,0.03,0.34,0.00,1,0.18,0.01,0.02,-0.02,0.03,0.11,0.02,-0.03,0.18,0.15,0.09,0.04,0.05,N/A,0.04,0.21,0.12,0.08,N/A,0.11,N/A,-0.04,0.11,0.14,0.28,-0.00,0.13,N/A,0.01,-0.06,0.19,0.04,0.27,0.10,0.12,0.30,0.14,0.05,0.12,0.05,0.14,N/A,0.00,0.05
0.04,0.12,N/A,0.29,0.31,0.18,0.23,0.09,0.18,1,0.14,0.12,0.04,0.08,0.12,0.02,-0.02,0.12,0.05,0.11,0.02,0.15,N/A,0.10,0.21,0.07,0.08,N/A,0.12,N/A,-0.09,0.05,0.28,0.27,0.14,0.08,N/A,0.14,0.01,0.07,0.02,0.29,0.21,0.28,0.27,0.13,0.05,0.13,0.09,0.02,N/A,0.03,0.09
0.01,0.06,N/A,0.18,0.25,0.46,0.10,0.02,0.01,0.14,1,0.09,0.07,0.17,0.05,0.02,0.04,0.15,0.06,0.08,0.15,0.13,N/A,0.01,0.08,0.03,0.13,N/A,0.18,N/A,-0.02,0.23,0.16,0.11,0.03,0.12,N/A,1.00,0.01,0.03,0.15,0.16,0.08,0.18,0.16,0.12,-0.01,0.02,0.19,0.11,N/A,0.02,0.19
0.11,0.06,N/A,0.24,0.29,0.19,0.20,0.01,0.02,0.12,0.09,1,0.03,0.09,0.14,0.08,0.02,0.15,0.07,0.11,0.13,0.13,N/A,0.03,0.13,0.02,0.14,N/A,0.19,N/A,0.02,0.10,0.18,0.22,0.04,0.09,N/A,0.09,-0.04,0.03,0.13,0.24,0.22,0.26,0.23,0.14,0.13,0.10,-0.01,0.09,N/A,0.01,-0.01
0.02,0.14,N/A,0.11,0.11,0.20,0.03,0.00,-0.02,0.04,0.07,0.03,1,0.15,0.02,0.05,0.03,0.05,0.03,0.07,0.05,0.00,N/A,0.05,0.03,-0.01,0.00,N/A,0.05,N/A,-0.03,0.21,0.10,0.06,0.14,0.09,N/A,0.07,0.05,0.27,0.05,0.06,0.23,0.17,0.09,0.04,0.19,0.02,0.03,0.04,N/A,0.03,0.03
0.03,0.61,N/A,0.35,0.33,0.34,0.22,0.01,0.03,0.08,0.17,0.09,0.15,1,0.09,0.26,0.06,0.16,0.09,0.39,0.00,0.21,N/A,0.12,0.23,0.03,0.16,N/A,0.22,N/A,0.03,0.20,0.21,0.21,0.45,0.38,N/A,0.17,0.10,0.14,0.00,0.28,0.21,0.25,0.34,0.13,0.10,0.06,0.02,0.12,N/A,0.09,0.02
0.00,0.11,N/A,0.24,0.30,0.11,0.29,0.08,0.11,0.12,0.05,0.14,0.02,0.09,1,0.14,0.01,0.29,0.08,0.18,-0.01,0.10,N/A,0.08,0.42,0.16,0.26,N/A,0.27,N/A,0.01,0.22,0.23,0.31,0.10,0.18,N/A,0.05,0.03,0.07,-0.01,0.30,0.20,0.28,0.32,0.31,0.07,0.17,0.04,0.07,N/A,0.03,0.04
