1,-0.01,-0.00,0.04,0.13,0.05,0.13,0.01,0.04,0.09,0.01,0.00,0.01,0.02,0.08,0.04,0.16,0.01,0.08,0.07,0.19,0.04,0.07,0.25,-0.01,0.01,0.09
-0.01,1,0.03,0.11,0.17,0.04,0.09,0.01,0.03,0.11,0.02,0.03,0.10,0.02,0.11,0.04,0.08,0.01,0.09,0.07,0.10,0.01,0.08,-0.01,0.00,0.16,0.09
-0.00,0.03,1,0.35,0.34,0.24,0.41,0.28,0.18,0.34,0.33,0.22,0.05,0.03,0.28,0.16,0.36,0.16,0.42,0.41,0.29,0.05,0.22,0.03,0.06,0.04,0.33
0.04,0.11,0.35,1,0.44,0.29,0.45,0.32,0.25,0.53,0.26,0.11,0.02,0.11,0.40,0.10,0.38,0.16,0.37,0.32,0.39,0.08,0.32,0.18,0.13,0.17,0.37
0.13,0.17,0.34,0.44,1,0.36,0.46,0.27,0.24,0.43,0.29,0.17,0.08,0.22,0.73,0.29,0.47,0.19,0.39,0.44,0.63,0.14,0.62,0.15,0.03,0.22,0.59
0.05,0.04,0.24,0.29,0.36,1,0.32,0.23,0.19,0.30,0.17,0.32,0.02,0.09,0.30,0.12,0.32,0.03,0.28,0.46,0.29,0.19,0.22,0.03,0.02,0.13,0.31
0.13,0.09,0.41,0.45,0.46,0.32,1,0.25,0.30,0.45,0.29,0.17,0.17,0.09,0.45,0.15,0.52,0.13,0.50,0.43,0.48,0.14,0.39,0.11,0.08,0.17,0.40
0.01,0.01,0.28,0.32,0.27,0.23,0.25,1,0.04,0.28,0.15,0.07,0.04,0.01,0.21,0.10,0.31,0.08,0.09,0.18,0.45,0.05,0.15,0.07,0.01,0.06,0.20
0.04,0.03,0.18,0.25,0.24,0.19,0.30,0.04,1,0.25,0.14,0.10,0.00,0.08,0.23,0.06,0.17,0.11,0.36,0.17,0.20,0.00,0.20,0.03,0.00,0.04,0.14
0.09,0.11,0.34,0.53,0.43,0.30,0.45,0.28,0.25,1,0.18,0.08,0.17,0.09,0.44,0.09,0.42,0.36,0.35,0.34,0.43,0.09,0.38,0.13,0.11,0.26,0.35
0.01,0.02,0.33,0.26,0.29,0.17,0.29,0.15,0.14,0.18,1,0.09,0.15,0.07,0.27,0.20,0.19,0.02,0.23,0.36,0.28,0.08,0.23,0.07,0.07,0.01,0.26
0.00,0.03,0.22,0.11,0.17,0.32,0.17,0.07,0.10,0.08,0.09,1,0.03,-0.05,0.16,0.03,0.11,0.00,0.21,0.17,0.17,0.03,0.12,-0.01,0.00,0.05,0.12
0.01,0.10,0.05,0.02,0.08,0.02,0.17,0.04,0.00,0.17,0.15,0.03,1,-0.06,0.11,-0.01,0.03,0.02,0.00,0.07,0.11,-0.09,0.07,-0.00,-0.02,0.08,0.06
0.02,0.02,0.03,0.11,0.22,0.09,0.09,0.01,0.08,0.09,0.07,-0.05,-0.06,1,0.23,0.46,0.11,0.13,0.09,0.12,0.17,0.03,0.22,0.07,-0.01,0.07,0.19
0.08,0.11,0.28,0.40,0.73,0.30,0.45,0.21,0.23,0.44,0.27,0.16,0.11,0.23,1,0.31,0.47,0.19,0.41,0.46,0.76,0.16,0.90,0.18,0.07,0.22,0.60
0.04,0.04,0.16,0.10,0.29,0.12,0.15,0.10,0.06,0.09,0.20,0.03,-0.01,0.46,0.31,1,0.22,0.19,0.15,0.28,0.31,0.09,0.35,0.08,0.04,0.06,0.24
0.16,0.08,0.36,0.38,0.47,0.32,0.52,0.31,0.17,0.42,0.19,0.11,0.03,0.11,0.47,0.22,1,0.20,0.32,0.51,0.47,0.17,0.40,0.12,0.19,0.19,0.41
0.01,0.01,0.16,0.16,0.19,0.03,0.13,0.08,0.11,0.36,0.02,0.00,0.02,0.13,0.19,0.19,0.20,1,0.12,0.11,0.16,0.02,0.16,0.03,0.03,0.09,0.12
0.08,0.09,0.42,0.37,0.39,0.28,0.50,0.09,0.36,0.35,0.23,0.21,0.00,0.09,0.41,0.15,0.32,0.12,1,0.35,0.35,0.11,0.40,0.07,0.08,0.08,0.38
0.07,0.07,0.41,0.32,0.44,0.46,0.43,0.18,0.17,0.34,0.36,0.17,0.07,0.12,0.46,0.28,0.51,0.11,0.35,1,0.42,0.13,0.41,0.18,0.08,0.15,0.44
0.19,0.10,0.29,0.39,0.63,0.29,0.48,0.45,0.20,0.43,0.28,0.17,0.11,0.17,0.76,0.31,0.47,0.16,0.35,0.42,1,0.13,0.73,0.21,0.07,0.19,0.57
0.04,0.01,0.05,0.08,0.14,0.19,0.14,0.05,0.00,0.09,0.08,0.03,-0.09,0.03,0.16,0.09,0.17,0.02,0.11,0.13,0.13,1,0.15,0.03,0.06,0.07,0.07
0.07,0.08,0.22,0.32,0.62,0.22,0.39,0.15,0.20,0.38,0.23,0.12,0.07,0.22,0.90,0.35,0.40,0.16,0.40,0.41,0.73,0.15,1,0.15,0.07,0.16,0.52
0.25,-0.01,0.03,0.18,0.15,0.03,0.11,0.07,0.03,0.13,0.07,-0.01,-0.00,0.07,0.18,0.08,0.12,0.03,0.07,0.18,0.21,0.03,0.15,1,-0.01,0.24,0.15
-0.01,0.00,0.06,0.13,0.03,0.02,0.08,0.01,0.00,0.11,0.07,0.00,-0.02,-0.01,0.07,0.04,0.19,0.03,0.08,0.08,0.07,0.06,0.07,-0.01,1,0.03,0.04
0.01,0.16,0.04,0.17,0.22,0.13,0.17,0.06,0.04,0.26,0.01,0.05,0.08,0.07,0.22,0.06,0.19,0.09,0.08,0.15,0.19,0.07,0.16,0.24,0.03,1,0.08
0.09,0.09,0.33,0.37,0.59,0.31,0.40,0.20,0.14,0.35,0.26,0.12,0.06,0.19,0.60,0.24,0.41,0.12,0.38,0.44,0.57,0.07,0.52,0.15,0.04,0.08,1
