1,0.26,0.53,0.17,0.33,N/A,0.40,0.20,N/A,0.42,0.44,0.31,N/A
0.26,1,0.12,0.13,0.17,N/A,0.22,0.09,N/A,0.05,0.14,0.34,N/A
0.53,0.12,1,0.17,0.17,N/A,0.47,0.36,N/A,0.61,0.61,0.20,N/A
0.17,0.13,0.17,1,0.09,N/A,0.16,0.10,N/A,0.09,0.20,0.15,N/A
0.33,0.17,0.17,0.09,1,N/A,0.23,0.11,N/A,0.12,0.20,0.30,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.40,0.22,0.47,0.16,0.23,N/A,1,0.25,N/A,0.33,0.37,0.29,N/A
0.20,0.09,0.36,0.10,0.11,N/A,0.25,1,N/A,0.36,0.21,0.15,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.42,0.05,0.61,0.09,0.12,N/A,0.33,0.36,N/A,1,0.40,0.10,N/A
0.44,0.14,0.61,0.20,0.20,N/A,0.37,0.21,N/A,0.40,1,0.19,N/A
0.31,0.34,0.20,0.15,0.30,N/A,0.29,0.15,N/A,0.10,0.19,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
