1,0.33,0.33,0.35,0.28,0.23,0.27,0.15,0.35,0.95,0.15,0.11,0.33,0.37,0.26,0.14,0.24,0.17,0.29,0.14,0.31,0.29,0.33,0.13,0.35
0.33,1,0.89,0.65,0.43,0.28,0.34,0.28,0.85,0.30,0.16,0.20,0.91,0.84,0.57,0.21,0.75,0.44,0.09,0.26,0.36,0.33,0.89,0.09,0.81
0.33,0.89,1,0.63,0.43,0.26,0.30,0.27,0.76,0.30,0.16,0.15,0.85,0.86,0.57,0.27,0.67,0.40,0.11,0.33,0.37,0.26,0.84,0.18,0.72
0.35,0.65,0.63,1,0.44,0.28,0.34,0.24,0.61,0.34,0.14,0.21,0.61,0.74,0.40,0.19,0.57,0.35,0.14,0.22,0.39,0.25,0.63,0.12,0.61
0.28,0.43,0.43,0.44,1,0.39,0.51,0.11,0.48,0.28,0.25,0.15,0.37,0.42,0.27,0.17,0.40,0.26,0.03,0.20,0.31,0.10,0.37,0.16,0.43
0.23,0.28,0.26,0.28,0.39,1,0.27,0.02,0.36,0.26,0.41,0.09,0.25,0.24,0.17,0.12,0.27,0.31,0.06,0.04,0.32,0.08,0.24,0.01,0.33
0.27,0.34,0.30,0.34,0.51,0.27,1,0.06,0.34,0.27,0.20,0.15,0.29,0.34,0.18,0.12,0.32,0.16,0.06,0.07,0.29,0.14,0.30,0.00,0.32
0.15,0.28,0.27,0.24,0.11,0.02,0.06,1,0.28,0.12,0.02,-0.05,0.30,0.28,0.16,0.04,0.22,0.20,0.23,0.17,0.05,0.18,0.25,0.17,0.28
0.35,0.85,0.76,0.61,0.48,0.36,0.34,0.28,1,0.34,0.20,0.22,0.82,0.77,0.55,0.17,0.69,0.44,0.12,0.22,0.41,0.27,0.82,0.13,0.86
0.95,0.30,0.30,0.34,0.28,0.26,0.27,0.12,0.34,1,0.28,0.08,0.31,0.34,0.25,0.13,0.22,0.14,0.25,0.14,0.27,0.24,0.31,0.11,0.32
0.15,0.16,0.16,0.14,0.25,0.41,0.20,0.02,0.20,0.28,1,0.01,0.15,0.17,0.13,0.04,0.16,0.10,0.11,0.11,0.09,0.06,0.16,0.01,0.19
0.11,0.20,0.15,0.21,0.15,0.09,0.15,-0.05,0.22,0.08,0.01,1,0.20,0.16,0.11,0.04,0.13,0.19,0.05,0.05,0.13,0.09,0.23,0.00,0.17
0.33,0.91,0.85,0.61,0.37,0.25,0.29,0.30,0.82,0.31,0.15,0.20,1,0.88,0.54,0.22,0.70,0.44,0.16,0.24,0.38,0.29,0.95,0.07,0.75
0.37,0.84,0.86,0.74,0.42,0.24,0.34,0.28,0.77,0.34,0.17,0.16,0.88,1,0.49,0.26,0.65,0.37,0.19,0.32,0.40,0.26,0.87,0.21,0.73
0.26,0.57,0.57,0.40,0.27,0.17,0.18,0.16,0.55,0.25,0.13,0.11,0.54,0.49,1,0.11,0.45,0.33,0.02,0.09,0.23,0.20,0.56,0.02,0.49
0.14,0.21,0.27,0.19,0.17,0.12,0.12,0.04,0.17,0.13,0.04,0.04,0.22,0.26,0.11,1,0.19,0.05,0.04,0.24,0.15,0.01,0.22,0.30,0.19
0.24,0.75,0.67,0.57,0.40,0.27,0.32,0.22,0.69,0.22,0.16,0.13,0.70,0.65,0.45,0.19,1,0.43,0.06,0.15,0.28,0.23,0.69,0.05,0.68
0.17,0.44,0.40,0.35,0.26,0.31,0.16,0.20,0.44,0.14,0.10,0.19,0.44,0.37,0.33,0.05,0.43,1,0.08,0.08,0.13,0.16,0.45,0.05,0.42
0.29,0.09,0.11,0.14,0.03,0.06,0.06,0.23,0.12,0.25,0.11,0.05,0.16,0.19,0.02,0.04,0.06,0.08,1,0.07,0.19,0.09,0.14,0.05,0.08
0.14,0.26,0.33,0.22,0.20,0.04,0.07,0.17,0.22,0.14,0.11,0.05,0.24,0.32,0.09,0.24,0.15,0.08,0.07,1,0.11,0.06,0.23,0.47,0.20
0.31,0.36,0.37,0.39,0.31,0.32,0.29,0.05,0.41,0.27,0.09,0.13,0.38,0.40,0.23,0.15,0.28,0.13,0.19,0.11,1,0.25,0.38,0.02,0.44
0.29,0.33,0.26,0.25,0.10,0.08,0.14,0.18,0.27,0.24,0.06,0.09,0.29,0.26,0.20,0.01,0.23,0.16,0.09,0.06,0.25,1,0.28,0.12,0.27
0.33,0.89,0.84,0.63,0.37,0.24,0.30,0.25,0.82,0.31,0.16,0.23,0.95,0.87,0.56,0.22,0.69,0.45,0.14,0.23,0.38,0.28,1,0.07,0.75
0.13,0.09,0.18,0.12,0.16,0.01,0.00,0.17,0.13,0.11,0.01,0.00,0.07,0.21,0.02,0.30,0.05,0.05,0.05,0.47,0.02,0.12,0.07,1,0.12
0.35,0.81,0.72,0.61,0.43,0.33,0.32,0.28,0.86,0.32,0.19,0.17,0.75,0.73,0.49,0.19,0.68,0.42,0.08,0.20,0.44,0.27,0.75,0.12,1
