1,N/A,0.08,0.52,N/A,0.32,N/A,0.23,0.02,0.08,0.35,0.85,0.28,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,N/A,1,0.05,N/A,0.05,N/A,0.05,-0.00,0.08,0.02,0.21,0.08,0.03
0.52,N/A,0.05,1,N/A,0.25,N/A,0.32,0.06,0.05,0.24,0.63,0.29,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.32,N/A,0.05,0.25,N/A,1,N/A,0.10,0.00,0.03,0.22,0.34,0.23,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.23,N/A,0.05,0.32,N/A,0.10,N/A,1,0.01,0.01,0.11,0.26,0.34,0.08
0.02,N/A,-0.00,0.06,N/A,0.00,N/A,0.01,1,-0.00,0.00,0.21,-0.01,0.02
0.08,N/A,0.08,0.05,N/A,0.03,N/A,0.01,-0.00,1,0.07,0.13,0.06,0.15
0.35,N/A,0.02,0.24,N/A,0.22,N/A,0.11,0.00,0.07,1,0.27,0.14,0.20
0.85,N/A,0.21,0.63,N/A,0.34,N/A,0.26,0.21,0.13,0.27,1,0.29,0.27
0.28,N/A,0.08,0.29,N/A,0.23,N/A,0.34,-0.01,0.06,0.14,0.29,1,0.08
0.26,N/A,0.03,0.20,N/A,0.18,N/A,0.08,0.02,0.15,0.20,0.27,0.08,1
