1,-0.03,-0.03,0.03,-0.06,N/A,0.02,0.06,N/A,0.03,0.17,-0.00,-0.04,0.01,-0.05,N/A,N/A,0.02,0.02,0.07,0.02,-0.02,0.10,0.11,-0.00,-0.01,N/A,-0.07,-0.00,-0.02,0.05,-0.00,N/A,-0.00,-0.07,0.00,-0.01,-0.02,-0.03,0.08,-0.00,0.37,-0.00,-0.02
-0.03,1,-0.01,0.10,0.02,N/A,-0.00,0.15,N/A,0.05,0.14,0.19,-0.05,0.04,0.06,N/A,N/A,0.03,0.04,-0.04,-0.02,0.29,0.20,0.17,-0.03,0.05,N/A,0.05,0.05,0.30,0.15,0.05,N/A,0.09,0.08,0.09,-0.01,0.01,0.15,0.13,0.09,0.12,-0.02,0.16
-0.03,-0.01,1,-0.01,0.01,N/A,0.01,-0.00,N/A,0.03,0.13,0.23,0.09,0.01,0.05,N/A,N/A,0.01,-0.00,0.04,0.01,0.01,0.15,0.15,0.04,0.18,N/A,0.01,0.07,0.02,0.17,0.04,N/A,-0.07,0.07,0.05,-0.01,-0.00,0.03,0.07,-0.03,0.13,0.01,0.13
0.03,0.10,-0.01,1,0.07,N/A,0.02,0.20,N/A,0.26,0.21,0.33,0.04,0.04,0.05,N/A,N/A,0.08,0.04,0.00,0.01,0.37,0.31,0.30,0.02,0.07,N/A,0.01,0.13,0.15,0.20,0.09,N/A,0.27,-0.04,-0.03,0.04,0.08,0.18,0.25,0.09,0.14,0.04,0.25
-0.06,0.02,0.01,0.07,1,N/A,0.00,0.05,N/A,0.06,0.06,0.01,0.01,-0.05,0.05,N/A,N/A,-0.01,-0.07,-0.08,0.05,0.11,0.02,0.02,0.07,0.03,N/A,-0.02,-0.00,-0.03,0.05,0.08,N/A,0.17,0.02,0.06,-0.01,-0.02,0.08,0.11,0.03,0.01,0.02,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,-0.00,0.01,0.02,0.00,N/A,1,0.07,N/A,-0.00,0.01,0.01,0.01,-0.00,0.01,N/A,N/A,-0.00,0.10,0.02,0.02,-0.01,0.12,0.05,0.01,0.30,N/A,-0.01,0.01,0.00,0.10,0.45,N/A,-0.01,-0.00,0.01,0.01,0.00,0.00,0.06,0.20,0.00,0.09,0.09
0.06,0.15,-0.00,0.20,0.05,N/A,0.07,1,N/A,0.17,0.61,0.30,0.03,0.28,0.15,N/A,N/A,0.12,0.14,0.06,0.20,0.13,0.44,0.38,0.33,0.28,N/A,0.05,0.15,0.16,0.42,0.10,N/A,0.04,0.07,0.21,0.22,0.07,0.22,0.56,0.19,0.26,0.24,0.33
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.05,0.03,0.26,0.06,N/A,-0.00,0.17,N/A,1,0.24,0.29,0.05,0.07,0.05,N/A,N/A,0.15,0.06,0.01,0.04,0.19,0.31,0.30,0.13,0.09,N/A,0.03,0.09,0.13,0.21,0.19,N/A,0.11,-0.03,0.06,0.06,0.05,0.24,0.17,0.12,0.19,0.02,0.21
