N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.27,0.38,0.16,0.49,0.02,0.36,0.16,0.17,0.02,0.34,0.07,0.21,0.44,N/A,1,0.30,0.29,0.16,N/A,0.08,0.15,0.16,0.10,0.31,0.46,0.10,0.08,N/A,0.01,0.16,0.10,0.16,0.26,0.37,0.03,0.35,0.02,0.36,0.01,0.38,0.15,0.03,0.19,0.31,0.05,0.38,0.38,0.34,0.00,0.22,N/A
0.16,0.15,0.02,0.14,-0.01,0.17,0.23,0.01,-0.00,0.13,0.08,0.14,0.15,N/A,0.30,1,0.27,0.04,N/A,0.14,0.06,0.04,0.04,0.21,0.15,0.08,0.07,N/A,-0.01,0.05,0.05,0.03,0.31,0.21,0.01,0.17,0.01,0.14,0.08,0.16,0.18,0.02,0.20,0.13,-0.00,0.21,0.22,0.16,-0.01,0.17,N/A
0.34,0.26,0.18,0.21,-0.00,0.34,0.11,0.17,0.04,0.15,-0.03,0.13,0.35,N/A,0.29,0.27,1,0.02,N/A,0.16,-0.01,0.06,0.16,0.10,0.20,0.02,0.09,N/A,0.01,0.13,0.05,0.09,0.11,0.29,0.05,0.26,0.02,0.36,0.00,0.26,0.05,0.02,0.28,0.27,0.04,0.19,0.32,0.36,-0.00,0.14,N/A
0.16,0.21,0.07,0.22,0.02,0.33,0.05,0.05,-0.09,0.27,-0.01,0.16,0.22,N/A,0.16,0.04,0.02,1,N/A,0.22,-0.02,0.18,-0.01,0.31,0.28,0.00,0.18,N/A,-0.00,0.08,0.25,0.10,0.12,0.24,0.14,0.21,0.22,0.21,0.01,0.27,-0.00,0.02,0.06,0.16,0.22,0.27,0.23,0.18,0.00,0.25,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.22,0.22,0.08,-0.02,0.21,0.01,0.24,-0.09,0.07,0.07,0.05,0.18,N/A,0.08,0.14,0.16,0.22,N/A,1,0.06,0.06,-0.02,0.11,0.12,0.00,0.06,N/A,-0.02,0.11,0.04,0.17,0.10,0.20,-0.03,0.18,0.40,0.25,-0.01,0.21,0.02,0.04,0.34,0.18,0.33,0.18,0.21,0.28,-0.01,0.17,N/A
0.16,0.14,0.02,0.07,-0.00,0.15,0.04,0.07,-0.02,0.02,0.15,0.01,0.15,N/A,0.15,0.06,-0.01,-0.02,N/A,0.06,1,0.02,0.03,0.05,0.17,-0.06,0.03,N/A,0.03,0.06,-0.01,0.01,0.04,0.12,-0.00,0.12,0.00,0.21,0.23,0.09,-0.02,0.01,0.06,0.15,-0.02,0.05,0.13,0.19,0.00,0.01,N/A
0.14,0.29,0.21,0.14,0.00,0.24,0.10,0.06,0.00,0.30,0.04,0.09,0.23,N/A,0.16,0.04,0.06,0.18,N/A,0.06,0.02,1,0.02,0.19,0.17,-0.03,0.17,N/A,0.02,0.05,0.07,0.14,0.23,0.21,-0.07,0.16,0.03,0.26,-0.02,0.27,0.20,0.03,0.02,0.16,0.03,0.23,0.22,0.25,-0.01,0.10,N/A
0.18,0.04,0.01,0.04,0.03,0.10,-0.02,0.05,-0.05,0.02,0.01,0.01,0.14,N/A,0.10,0.04,0.16,-0.01,N/A,-0.02,0.03,0.02,1,0.03,0.11,-0.00,-0.06,N/A,0.03,-0.01,0.01,0.01,0.04,0.19,0.00,0.20,-0.01,0.14,0.01,-0.01,0.03,0.02,0.07,0.15,-0.00,0.02,0.19,0.14,0.01,0.01,N/A
