1,0.03,0.19,0.07,0.07,0.02,0.18,0.01,0.13,0.01,0.07,0.08,0.07,-0.00,0.09,-0.00,0.07,0.04,0.07,0.01,0.05,0.06,0.04,-0.01,0.14,0.06,0.09,0.15,0.10,-0.03,0.02,0.08
0.03,1,0.03,0.14,0.18,0.02,0.15,0.25,0.19,-0.01,0.05,0.27,0.07,-0.02,0.19,0.06,0.08,-0.00,0.01,0.01,0.24,0.05,0.21,0.06,0.09,0.20,0.10,0.20,0.07,0.05,0.13,0.10
0.19,0.03,1,0.20,0.09,0.28,0.13,0.17,0.15,0.03,0.26,0.15,0.16,0.27,0.15,0.04,0.12,0.25,0.16,0.02,0.20,0.24,0.10,0.00,0.07,0.15,0.09,0.05,0.10,0.28,0.09,0.10
0.07,0.14,0.20,1,0.28,0.07,0.23,0.18,0.28,0.05,0.15,0.29,0.21,0.11,0.33,0.32,0.25,0.07,0.10,0.17,0.10,0.20,0.13,0.09,0.10,0.29,0.16,0.24,0.04,0.04,0.38,0.31
0.07,0.18,0.09,0.28,1,0.04,0.28,0.08,0.32,0.06,0.22,0.49,0.32,0.02,0.40,0.23,0.23,0.12,0.13,0.15,0.22,0.26,0.16,0.18,0.25,0.34,0.32,0.24,0.01,-0.03,0.21,0.29
0.02,0.02,0.28,0.07,0.04,1,0.06,0.33,0.07,0.00,0.64,0.02,0.36,0.52,0.17,0.14,0.01,0.87,0.20,-0.00,0.45,0.12,0.03,0.02,0.08,0.20,0.21,0.05,0.03,0.50,0.07,0.17
0.18,0.15,0.13,0.23,0.28,0.06,1,0.24,0.40,0.16,0.12,0.38,0.14,0.05,0.40,0.20,0.22,0.05,0.09,0.18,0.25,0.19,0.16,0.10,0.32,0.37,0.28,0.21,0.14,0.02,0.16,0.25
0.01,0.25,0.17,0.18,0.08,0.33,0.24,1,0.21,0.09,0.19,0.13,0.18,0.15,0.29,0.20,0.12,0.19,0.04,0.03,0.53,0.09,0.10,0.23,0.14,0.35,0.12,0.20,0.06,0.14,0.20,0.21
0.13,0.19,0.15,0.28,0.32,0.07,0.40,0.21,1,0.12,0.06,0.40,0.37,-0.01,0.43,0.24,0.22,0.10,0.17,0.13,0.21,0.15,0.14,0.14,0.26,0.38,0.24,0.29,0.09,0.02,0.20,0.27
0.01,-0.01,0.03,0.05,0.06,0.00,0.16,0.09,0.12,1,0.02,0.07,0.06,0.03,0.08,0.03,0.06,0.01,-0.02,0.10,0.01,-0.01,0.03,-0.02,0.14,0.06,0.04,0.09,-0.03,0.01,0.01,0.03
0.07,0.05,0.26,0.15,0.22,0.64,0.12,0.19,0.06,0.02,1,0.20,0.12,0.51,0.18,0.07,0.10,0.61,0.03,0.02,0.27,0.29,0.06,0.08,0.10,0.19,0.11,-0.00,0.03,0.40,0.03,0.16
0.08,0.27,0.15,0.29,0.49,0.02,0.38,0.13,0.40,0.07,0.20,1,0.23,-0.02,0.40,0.34,0.22,0.04,0.06,0.17,0.24,0.32,0.09,0.24,0.33,0.40,0.23,0.24,0.11,0.03,0.30,0.32
0.07,0.07,0.16,0.21,0.32,0.36,0.14,0.18,0.37,0.06,0.12,0.23,1,0.11,0.38,0.27,0.20,0.34,0.24,0.05,0.36,0.17,0.11,0.12,0.15,0.38,0.32,0.20,0.04,0.12,0.13,0.34
-0.00,-0.02,0.27,0.11,0.02,0.52,0.05,0.15,-0.01,0.03,0.51,-0.02,0.11,1,0.09,0.02,-0.03,0.52,0.00,-0.00,0.21,0.07,0.06,0.03,0.04,0.10,0.02,0.00,0.05,0.51,0.10,0.13
0.09,0.19,0.15,0.33,0.40,0.17,0.40,0.29,0.43,0.08,0.18,0.40,0.38,0.09,1,0.57,0.26,0.15,0.20,0.15,0.35,0.19,0.24,0.18,0.36,0.78,0.27,0.38,0.06,0.09,0.27,0.38
-0.00,0.06,0.04,0.32,0.23,0.14,0.20,0.20,0.24,0.03,0.07,0.34,0.27,0.02,0.57,1,0.07,0.12,0.13,0.03,0.23,0.09,0.07,0.09,0.19,0.53,0.19,0.16,-0.02,0.00,0.32,0.21
0.07,0.08,0.12,0.25,0.23,0.01,0.22,0.12,0.22,0.06,0.10,0.22,0.20,-0.03,0.26,0.07,1,0.04,0.05,0.11,0.06,0.18,0.05,0.19,0.10,0.20,0.09,0.15,0.02,0.02,0.11,0.24
0.04,-0.00,0.25,0.07,0.12,0.87,0.05,0.19,0.10,0.01,0.61,0.04,0.34,0.52,0.15,0.12,0.04,1,0.20,-0.02,0.34,0.09,0.02,0.04,0.10,0.17,0.21,0.02,0.03,0.50,0.00,0.16
0.07,0.01,0.16,0.10,0.13,0.20,0.09,0.04,0.17,-0.02,0.03,0.06,0.24,0.00,0.20,0.13,0.05,0.20,1,0.00,0.12,0.11,0.23,0.04,0.11,0.20,0.23,0.13,-0.04,0.04,0.02,0.15
0.01,0.01,0.02,0.17,0.15,-0.00,0.18,0.03,0.13,0.10,0.02,0.17,0.05,-0.00,0.15,0.03,0.11,-0.02,0.00,1,0.02,0.06,0.06,0.03,0.08,0.18,0.03,0.16,0.07,-0.06,0.04,0.10
0.05,0.24,0.20,0.10,0.22,0.45,0.25,0.53,0.21,0.01,0.27,0.24,0.36,0.21,0.35,0.23,0.06,0.34,0.12,0.02,1,0.14,0.13,0.12,0.14,0.39,0.24,0.17,0.10,0.21,0.10,0.26
0.06,0.05,0.24,0.20,0.26,0.12,0.19,0.09,0.15,-0.01,0.29,0.32,0.17,0.07,0.19,0.09,0.18,0.09,0.11,0.06,0.14,1,0.10,0.12,0.09,0.22,0.08,0.09,0.02,0.10,0.04,0.23
0.04,0.21,0.10,0.13,0.16,0.03,0.16,0.10,0.14,0.03,0.06,0.09,0.11,0.06,0.24,0.07,0.05,0.02,0.23,0.06,0.13,0.10,1,0.02,0.15,0.20,0.16,0.19,-0.00,-0.01,0.15,0.22
-0.01,0.06,0.00,0.09,0.18,0.02,0.10,0.23,0.14,-0.02,0.08,0.24,0.12,0.03,0.18,0.09,0.19,0.04,0.04,0.03,0.12,0.12,0.02,1,0.06,0.13,0.08,0.10,-0.01,-0.03,0.05,0.22
0.14,0.09,0.07,0.10,0.25,0.08,0.32,0.14,0.26,0.14,0.10,0.33,0.15,0.04,0.36,0.19,0.10,0.10,0.11,0.08,0.14,0.09,0.15,0.06,1,0.30,0.36,0.31,0.13,0.09,0.16,0.26
0.06,0.20,0.15,0.29,0.34,0.20,0.37,0.35,0.38,0.06,0.19,0.40,0.38,0.10,0.78,0.53,0.20,0.17,0.20,0.18,0.39,0.22,0.20,0.13,0.30,1,0.29,0.29,0.13,0.09,0.25,0.36
0.09,0.10,0.09,0.16,0.32,0.21,0.28,0.12,0.24,0.04,0.11,0.23,0.32,0.02,0.27,0.19,0.09,0.21,0.23,0.03,0.24,0.08,0.16,0.08,0.36,0.29,1,0.26,0.06,0.00,0.05,0.22
0.15,0.20,0.05,0.24,0.24,0.05,0.21,0.20,0.29,0.09,-0.00,0.24,0.20,0.00,0.38,0.16,0.15,0.02,0.13,0.16,0.17,0.09,0.19,0.10,0.31,0.29,0.26,1,0.05,-0.02,0.12,0.20
0.10,0.07,0.10,0.04,0.01,0.03,0.14,0.06,0.09,-0.03,0.03,0.11,0.04,0.05,0.06,-0.02,0.02,0.03,-0.04,0.07,0.10,0.02,-0.00,-0.01,0.13,0.13,0.06,0.05,1,0.02,0.01,0.02
-0.03,0.05,0.28,0.04,-0.03,0.50,0.02,0.14,0.02,0.01,0.40,0.03,0.12,0.51,0.09,0.00,0.02,0.50,0.04,-0.06,0.21,0.10,-0.01,-0.03,0.09,0.09,0.00,-0.02,0.02,1,0.02,0.17
0.02,0.13,0.09,0.38,0.21,0.07,0.16,0.20,0.20,0.01,0.03,0.30,0.13,0.10,0.27,0.32,0.11,0.00,0.02,0.04,0.10,0.04,0.15,0.05,0.16,0.25,0.05,0.12,0.01,0.02,1,0.17
0.08,0.10,0.10,0.31,0.29,0.17,0.25,0.21,0.27,0.03,0.16,0.32,0.34,0.13,0.38,0.21,0.24,0.16,0.15,0.10,0.26,0.23,0.22,0.22,0.26,0.36,0.22,0.20,0.02,0.17,0.17,1
