1,0.04,0.12,0.38,0.16,0.22,N/A,0.35,0.04,0.13,0.43,0.34,0.09,0.13
0.04,1,0.02,0.10,0.32,0.26,N/A,0.25,0.15,0.13,0.10,0.12,0.02,-0.00
0.12,0.02,1,0.15,0.05,0.11,N/A,0.25,0.25,0.12,0.03,0.16,0.07,0.12
0.38,0.10,0.15,1,0.19,0.22,N/A,0.48,0.09,0.15,0.36,0.38,0.23,0.26
0.16,0.32,0.05,0.19,1,0.20,N/A,0.28,0.08,0.16,0.18,0.14,0.03,0.00
0.22,0.26,0.11,0.22,0.20,1,N/A,0.28,0.13,0.23,0.15,0.18,0.04,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.35,0.25,0.25,0.48,0.28,0.28,N/A,1,0.20,0.24,0.34,0.43,0.08,0.20
0.04,0.15,0.25,0.09,0.08,0.13,N/A,0.20,1,0.14,0.08,0.09,0.05,-0.01
0.13,0.13,0.12,0.15,0.16,0.23,N/A,0.24,0.14,1,0.13,0.19,0.04,0.13
0.43,0.10,0.03,0.36,0.18,0.15,N/A,0.34,0.08,0.13,1,0.26,0.08,0.13
0.34,0.12,0.16,0.38,0.14,0.18,N/A,0.43,0.09,0.19,0.26,1,0.16,0.08
0.09,0.02,0.07,0.23,0.03,0.04,N/A,0.08,0.05,0.04,0.08,0.16,1,0.00
0.13,-0.00,0.12,0.26,0.00,0.09,N/A,0.20,-0.01,0.13,0.13,0.08,0.00,1
