1,0.04,0.48,0.20,0.08,0.38,0.19,0.42,0.50,0.02,0.21,0.12,N/A,0.34,0.35,0.24,0.05,0.47,0.02,0.26,0.51,0.10,0.25,0.15,0.09,0.43,0.55,0.04,0.34,-0.00,-0.01
0.04,1,0.19,0.07,0.05,0.18,0.07,0.10,0.18,0.06,0.14,0.05,N/A,0.17,0.14,0.08,0.08,0.21,-0.00,0.18,0.19,0.04,0.04,0.05,0.02,0.19,0.14,0.03,0.07,0.10,0.03
0.48,0.19,1,0.26,0.12,0.53,0.49,0.45,0.75,0.09,0.29,0.24,N/A,0.56,0.51,0.45,0.15,0.65,0.18,0.41,0.76,0.24,0.30,0.35,0.15,0.75,0.73,0.06,0.57,0.05,0.01
0.20,0.07,0.26,1,0.01,0.18,0.10,0.21,0.26,0.06,0.10,0.03,N/A,0.18,0.25,0.09,0.05,0.27,0.02,0.15,0.30,0.01,0.15,0.08,0.01,0.24,0.23,0.01,0.23,-0.01,0.02
0.08,0.05,0.12,0.01,1,0.02,0.02,0.01,0.15,-0.06,0.04,0.07,N/A,0.06,0.05,0.11,0.06,0.05,-0.03,0.04,0.14,0.02,0.03,0.02,-0.03,0.13,0.12,0.01,0.09,-0.04,0.00
0.38,0.18,0.53,0.18,0.02,1,0.29,0.36,0.53,0.12,0.25,0.19,N/A,0.59,0.47,0.36,0.08,0.53,0.10,0.44,0.53,0.12,0.25,0.30,0.19,0.56,0.49,0.15,0.47,0.04,0.00
0.19,0.07,0.49,0.10,0.02,0.29,1,0.22,0.43,0.05,0.20,0.24,N/A,0.36,0.27,0.30,0.05,0.34,0.06,0.16,0.39,0.11,0.13,0.30,0.02,0.45,0.39,0.06,0.22,0.02,-0.02
0.42,0.10,0.45,0.21,0.01,0.36,0.22,1,0.48,0.03,0.13,0.13,N/A,0.30,0.26,0.29,0.09,0.45,0.14,0.29,0.48,0.16,0.22,0.27,0.22,0.46,0.49,0.04,0.40,0.01,0.01
0.50,0.18,0.75,0.26,0.15,0.53,0.43,0.48,1,0.19,0.29,0.26,N/A,0.56,0.56,0.44,0.14,0.65,0.18,0.43,0.82,0.25,0.31,0.37,0.22,0.90,0.87,0.12,0.61,0.09,0.04
0.02,0.06,0.09,0.06,-0.06,0.12,0.05,0.03,0.19,1,0.01,0.04,N/A,0.08,0.15,0.08,-0.04,0.15,-0.02,0.09,0.18,0.02,0.07,0.09,0.14,0.23,0.14,-0.02,0.06,0.03,0.06
0.21,0.14,0.29,0.10,0.04,0.25,0.20,0.13,0.29,0.01,1,0.18,N/A,0.27,0.44,0.24,0.08,0.27,0.05,0.14,0.29,0.28,0.22,0.25,0.01,0.31,0.27,0.14,0.27,0.18,0.01
0.12,0.05,0.24,0.03,0.07,0.19,0.24,0.13,0.26,0.04,0.18,1,N/A,0.19,0.21,0.25,0.07,0.20,0.20,0.22,0.23,0.14,0.13,0.28,0.07,0.28,0.24,-0.00,0.26,0.07,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.34,0.17,0.56,0.18,0.06,0.59,0.36,0.30,0.56,0.08,0.27,0.19,N/A,1,0.53,0.35,0.10,0.44,0.11,0.35,0.57,0.25,0.22,0.32,0.21,0.55,0.56,0.12,0.49,-0.00,0.01
0.35,0.14,0.51,0.25,0.05,0.47,0.27,0.26,0.56,0.15,0.44,0.21,N/A,0.53,1,0.34,0.11,0.46,0.19,0.36,0.52,0.22,0.39,0.28,0.26,0.54,0.50,0.13,0.51,0.05,0.05
0.24,0.08,0.45,0.09,0.11,0.36,0.30,0.29,0.44,0.08,0.24,0.25,N/A,0.35,0.34,1,0.12,0.37,0.21,0.30,0.49,0.25,0.24,0.26,0.08,0.49,0.41,0.12,0.42,0.18,0.04
0.05,0.08,0.15,0.05,0.06,0.08,0.05,0.09,0.14,-0.04,0.08,0.07,N/A,0.10,0.11,0.12,1,0.11,0.06,0.12,0.17,0.02,0.02,0.01,-0.03,0.13,0.14,-0.03,0.13,0.04,-0.03
0.47,0.21,0.65,0.27,0.05,0.53,0.34,0.45,0.65,0.15,0.27,0.20,N/A,0.44,0.46,0.37,0.11,1,0.15,0.41,0.63,0.13,0.28,0.29,0.12,0.64,0.64,0.14,0.44,0.06,-0.02
0.02,-0.00,0.18,0.02,-0.03,0.10,0.06,0.14,0.18,-0.02,0.05,0.20,N/A,0.11,0.19,0.21,0.06,0.15,1,0.21,0.15,0.07,0.11,0.14,0.01,0.19,0.13,0.01,0.24,0.02,0.02
0.26,0.18,0.41,0.15,0.04,0.44,0.16,0.29,0.43,0.09,0.14,0.22,N/A,0.35,0.36,0.30,0.12,0.41,0.21,1,0.41,0.05,0.27,0.20,0.11,0.43,0.37,0.05,0.46,0.06,0.03
0.51,0.19,0.76,0.30,0.14,0.53,0.39,0.48,0.82,0.18,0.29,0.23,N/A,0.57,0.52,0.49,0.17,0.63,0.15,0.41,1,0.28,0.30,0.34,0.19,0.80,0.79,0.12,0.62,0.06,0.06
0.10,0.04,0.24,0.01,0.02,0.12,0.11,0.16,0.25,0.02,0.28,0.14,N/A,0.25,0.22,0.25,0.02,0.13,0.07,0.05,0.28,1,0.10,0.16,0.15,0.29,0.20,0.20,0.29,0.08,0.00
0.25,0.04,0.30,0.15,0.03,0.25,0.13,0.22,0.31,0.07,0.22,0.13,N/A,0.22,0.39,0.24,0.02,0.28,0.11,0.27,0.30,0.10,1,0.12,0.10,0.34,0.33,0.12,0.38,0.04,-0.02
