1,0.14,N/A,0.12,0.04,N/A,0.20,0.12,0.06,-0.00,0.01,0.27,0.16,0.04,0.18,0.07,N/A,0.19,N/A,0.06,0.04,0.19,0.22,0.05,0.13,N/A,0.04,0.12,0.21,-0.02,0.09,0.11,0.08,0.46,0.03,0.02,-0.01,0.19,0.20,0.11,0.20
0.14,1,N/A,0.34,0.08,N/A,0.52,0.44,0.24,0.09,0.06,0.08,0.62,0.08,0.62,0.11,N/A,0.60,N/A,0.15,0.17,0.35,0.60,0.01,0.23,N/A,0.06,0.34,0.63,0.06,0.27,0.25,0.05,0.11,0.06,0.18,0.10,0.41,0.40,0.46,0.65
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.34,N/A,1,0.14,N/A,0.43,0.31,0.27,0.02,0.17,0.15,0.39,0.14,0.38,0.13,N/A,0.43,N/A,0.05,0.13,0.32,0.36,0.04,0.17,N/A,-0.01,0.26,0.45,0.05,0.10,0.18,0.05,0.14,0.26,0.06,0.01,0.32,0.30,0.24,0.43
0.04,0.08,N/A,0.14,1,N/A,0.12,0.05,0.08,0.05,0.01,-0.01,0.06,1.00,0.15,0.02,N/A,0.15,N/A,0.09,0.07,0.10,0.12,-0.01,0.14,N/A,0.07,0.10,0.17,0.05,0.07,0.19,0.05,0.05,0.04,0.04,-0.03,0.18,0.26,0.02,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.20,0.52,N/A,0.43,0.12,N/A,1,0.35,0.42,0.04,0.17,0.13,0.52,0.12,0.61,0.13,N/A,0.57,N/A,0.29,0.28,0.56,0.61,0.08,0.40,N/A,0.17,0.36,0.70,0.05,0.31,0.40,0.09,0.22,0.16,0.27,0.09,0.52,0.61,0.39,0.67
0.12,0.44,N/A,0.31,0.05,N/A,0.35,1,0.13,-0.04,0.19,0.04,0.43,0.05,0.43,0.04,N/A,0.44,N/A,0.05,0.09,0.22,0.47,0.04,0.10,N/A,0.00,0.41,0.44,0.03,0.15,0.15,0.05,0.05,0.09,0.14,0.04,0.38,0.29,0.32,0.45
0.06,0.24,N/A,0.27,0.08,N/A,0.42,0.13,1,0.18,0.11,0.10,0.26,0.08,0.34,0.04,N/A,0.31,N/A,0.07,0.14,0.46,0.32,0.23,0.24,N/A,0.02,0.19,0.44,0.09,0.16,0.36,0.06,0.16,0.25,0.12,0.04,0.27,0.33,0.17,0.39
-0.00,0.09,N/A,0.02,0.05,N/A,0.04,-0.04,0.18,1,0.03,0.01,0.14,0.05,0.09,0.02,N/A,0.09,N/A,0.02,0.05,0.12,0.13,0.04,0.09,N/A,0.02,0.09,0.12,0.18,0.14,0.07,0.02,0.02,0.06,0.04,0.08,0.05,0.10,0.07,0.10
