1,0.30,0.15,0.15,0.57,0.23,0.30,N/A,0.26,0.16,0.05,N/A,0.20,0.07,0.31,0.26,0.04,0.14,0.39,0.25,0.24,0.19,0.33,0.33,0.38,N/A,0.37,0.29,N/A,0.18,0.12,0.24,0.36,0.21,N/A,N/A,0.10,N/A,0.14,0.27,0.22
0.30,1,0.14,0.15,0.46,0.23,0.18,N/A,0.37,0.30,0.05,N/A,0.41,0.25,0.32,0.39,0.09,0.20,0.41,0.33,0.31,0.41,0.34,0.55,0.48,N/A,0.34,0.36,N/A,0.18,0.24,0.41,0.33,0.25,N/A,N/A,0.14,N/A,0.32,0.29,0.32
0.15,0.14,1,0.06,0.22,0.05,0.20,N/A,0.09,0.05,-0.04,N/A,0.06,0.02,0.30,0.07,0.00,0.13,0.22,0.06,0.21,0.15,0.09,0.16,0.12,N/A,0.21,0.17,N/A,0.03,0.06,0.09,0.05,0.08,N/A,N/A,0.05,N/A,0.03,0.01,0.12
0.15,0.15,0.06,1,0.31,0.13,0.08,N/A,0.19,0.04,-0.03,N/A,0.10,0.06,0.17,0.09,0.01,0.17,0.19,0.27,0.16,0.13,0.19,0.19,0.19,N/A,0.24,0.08,N/A,0.18,0.10,0.10,0.10,0.15,N/A,N/A,0.06,N/A,0.16,0.15,0.13
0.57,0.46,0.22,0.31,1,0.28,0.32,N/A,0.50,0.26,0.11,N/A,0.35,0.16,0.43,0.37,0.11,0.35,0.56,0.40,0.43,0.34,0.55,0.51,0.53,N/A,0.46,0.41,N/A,0.33,0.33,0.29,0.42,0.35,N/A,N/A,0.14,N/A,0.26,0.25,0.38
0.23,0.23,0.05,0.13,0.28,1,0.11,N/A,0.12,0.04,0.00,N/A,0.18,0.10,0.16,0.26,0.00,0.04,0.30,0.11,0.23,0.13,0.21,0.28,0.29,N/A,0.25,0.08,N/A,0.08,0.07,0.13,0.21,0.20,N/A,N/A,0.10,N/A,0.18,0.33,0.10
0.30,0.18,0.20,0.08,0.32,0.11,1,N/A,0.15,0.13,-0.01,N/A,0.11,0.08,0.18,0.15,0.03,0.13,0.26,0.11,0.20,0.09,0.19,0.24,0.20,N/A,0.18,0.13,N/A,0.09,0.10,0.12,0.18,0.11,N/A,N/A,0.06,N/A,0.11,0.14,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.37,0.09,0.19,0.50,0.12,0.15,N/A,1,0.24,0.00,N/A,0.27,0.08,0.26,0.40,0.06,0.32,0.34,0.37,0.31,0.37,0.35,0.46,0.32,N/A,0.25,0.30,N/A,0.18,0.25,0.35,0.34,0.30,N/A,N/A,0.16,N/A,0.40,0.10,0.54
0.16,0.30,0.05,0.04,0.26,0.04,0.13,N/A,0.24,1,-0.01,N/A,0.16,0.21,0.26,0.17,0.05,0.21,0.16,0.17,0.10,0.21,0.20,0.25,0.19,N/A,0.30,0.11,N/A,0.06,0.39,0.20,0.15,0.17,N/A,N/A,0.07,N/A,0.16,0.12,0.20
0.05,0.05,-0.04,-0.03,0.11,0.00,-0.01,N/A,0.00,-0.01,1,N/A,-0.02,0.03,0.06,0.04,0.07,-0.03,0.05,-0.01,0.07,-0.02,0.05,0.08,0.13,N/A,0.03,0.03,N/A,0.07,0.05,0.04,0.13,0.04,N/A,N/A,0.01,N/A,0.03,-0.01,0.06
