1,0.14,0.37,0.40,0.39,0.40,0.39,0.42,0.43,0.41,0.39,0.42,0.41,0.37,0.36,0.18,0.40,0.41,0.35,0.42
0.14,1,0.44,0.46,0.39,0.45,0.33,0.46,0.57,0.47,0.52,0.44,0.41,0.39,0.45,0.30,0.47,0.46,0.57,0.47
0.37,0.44,1,0.83,0.66,0.79,0.80,0.87,0.85,0.84,0.82,0.83,0.86,0.79,0.77,0.35,0.77,0.86,0.70,0.81
0.40,0.46,0.83,1,0.85,0.86,0.78,0.94,0.94,0.93,0.92,0.89,0.87,0.82,0.84,0.40,0.89,0.89,0.69,0.92
0.39,0.39,0.66,0.85,1,0.76,0.65,0.78,0.84,0.77,0.76,0.77,0.73,0.67,0.71,0.47,0.77,0.77,0.59,0.80
0.40,0.45,0.79,0.86,0.76,1,0.75,0.87,0.86,0.85,0.83,0.84,0.81,0.75,0.75,0.40,0.82,0.85,0.67,0.84
0.39,0.33,0.80,0.78,0.65,0.75,1,0.83,0.81,0.81,0.77,0.80,0.87,0.77,0.74,0.26,0.73,0.80,0.81,0.79
0.42,0.46,0.87,0.94,0.78,0.87,0.83,1,0.95,0.97,0.92,0.92,0.91,0.89,0.86,0.38,0.90,0.90,0.74,0.92
0.43,0.57,0.85,0.94,0.84,0.86,0.81,0.95,1,0.96,0.91,0.90,0.89,0.85,0.84,0.41,0.89,0.90,0.76,0.92
0.41,0.47,0.84,0.93,0.77,0.85,0.81,0.97,0.96,1,0.92,0.90,0.89,0.87,0.85,0.39,0.88,0.88,0.74,0.91
0.39,0.52,0.82,0.92,0.76,0.83,0.77,0.92,0.91,0.92,1,0.85,0.85,0.83,0.86,0.38,0.86,0.86,0.70,0.90
0.42,0.44,0.83,0.89,0.77,0.84,0.80,0.92,0.90,0.90,0.85,1,0.87,0.83,0.79,0.40,0.84,0.86,0.71,0.86
0.41,0.41,0.86,0.87,0.73,0.81,0.87,0.91,0.89,0.89,0.85,0.87,1,0.85,0.84,0.34,0.80,0.88,0.75,0.86
0.37,0.39,0.79,0.82,0.67,0.75,0.77,0.89,0.85,0.87,0.83,0.83,0.85,1,0.78,0.32,0.79,0.83,0.69,0.83
0.36,0.45,0.77,0.84,0.71,0.75,0.74,0.86,0.84,0.85,0.86,0.79,0.84,0.78,1,0.36,0.81,0.82,0.66,0.84
0.18,0.30,0.35,0.40,0.47,0.40,0.26,0.38,0.41,0.39,0.38,0.40,0.34,0.32,0.36,1,0.39,0.38,0.34,0.40
0.40,0.47,0.77,0.89,0.77,0.82,0.73,0.90,0.89,0.88,0.86,0.84,0.80,0.79,0.81,0.39,1,0.84,0.68,0.88
0.41,0.46,0.86,0.89,0.77,0.85,0.80,0.90,0.90,0.88,0.86,0.86,0.88,0.83,0.82,0.38,0.84,1,0.72,0.90
0.35,0.57,0.70,0.69,0.59,0.67,0.81,0.74,0.76,0.74,0.70,0.71,0.75,0.69,0.66,0.34,0.68,0.72,1,0.70
0.42,0.47,0.81,0.92,0.80,0.84,0.79,0.92,0.92,0.91,0.90,0.86,0.86,0.83,0.84,0.40,0.88,0.90,0.70,1
