1,0.09,0.49,0.43,0.36,0.47,0.43,0.36,0.35,N/A,N/A,N/A,0.10,0.74,0.36,0.41,N/A,N/A,0.22,0.13,0.26,0.16,N/A,0.29,0.25,0.22,0.13,N/A,N/A,0.33,0.14,0.39,0.13,0.20
0.09,1,0.30,0.20,0.21,0.27,0.27,0.35,0.14,N/A,N/A,N/A,0.15,0.24,0.15,0.19,N/A,N/A,0.16,0.11,0.18,0.16,N/A,0.16,0.04,0.23,0.24,N/A,N/A,0.07,-0.00,0.20,0.02,0.12
0.49,0.30,1,0.66,0.63,0.82,0.79,0.61,0.51,N/A,N/A,N/A,0.19,0.76,0.51,0.43,N/A,N/A,0.32,0.26,0.40,0.42,N/A,0.49,0.38,0.42,0.25,N/A,N/A,0.32,0.23,0.73,0.13,0.47
0.43,0.20,0.66,1,0.48,0.63,0.57,0.45,0.46,N/A,N/A,N/A,0.20,0.58,0.52,0.39,N/A,N/A,0.35,0.22,0.27,0.29,N/A,0.41,0.32,0.29,0.16,N/A,N/A,0.35,0.21,0.54,0.11,0.36
0.36,0.21,0.63,0.48,1,0.59,0.55,0.46,0.42,N/A,N/A,N/A,0.12,0.52,0.35,0.29,N/A,N/A,0.21,0.21,0.24,0.36,N/A,0.32,0.20,0.38,0.16,N/A,N/A,0.28,0.25,0.51,0.12,0.38
0.47,0.27,0.82,0.63,0.59,1,0.79,0.55,0.49,N/A,N/A,N/A,0.20,0.77,0.50,0.51,N/A,N/A,0.37,0.26,0.40,0.41,N/A,0.45,0.36,0.41,0.25,N/A,N/A,0.37,0.31,0.74,0.14,0.43
0.43,0.27,0.79,0.57,0.55,0.79,1,0.56,0.50,N/A,N/A,N/A,0.18,0.73,0.44,0.40,N/A,N/A,0.28,0.22,0.40,0.42,N/A,0.43,0.38,0.43,0.25,N/A,N/A,0.27,0.25,0.73,0.12,0.38
0.36,0.35,0.61,0.45,0.46,0.55,0.56,1,0.34,N/A,N/A,N/A,0.10,0.55,0.36,0.26,N/A,N/A,0.16,0.23,0.30,0.32,N/A,0.39,0.26,0.33,0.18,N/A,N/A,0.24,0.21,0.49,0.11,0.37
0.35,0.14,0.51,0.46,0.42,0.49,0.50,0.34,1,N/A,N/A,N/A,0.10,0.50,0.27,0.33,N/A,N/A,0.36,0.24,0.22,0.17,N/A,0.28,0.22,0.20,0.08,N/A,N/A,0.16,0.14,0.47,0.12,0.19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.15,0.19,0.20,0.12,0.20,0.18,0.10,0.10,N/A,N/A,N/A,1,0.17,0.19,0.19,N/A,N/A,0.06,0.08,0.05,0.12,N/A,0.21,0.18,0.17,0.26,N/A,N/A,0.14,0.06,0.17,0.01,0.11
0.74,0.24,0.76,0.58,0.52,0.77,0.73,0.55,0.50,N/A,N/A,N/A,0.17,1,0.48,0.41,N/A,N/A,0.30,0.23,0.41,0.30,N/A,0.39,0.33,0.36,0.25,N/A,N/A,0.34,0.20,0.79,0.12,0.39
0.36,0.15,0.51,0.52,0.35,0.50,0.44,0.36,0.27,N/A,N/A,N/A,0.19,0.48,1,0.33,N/A,N/A,0.19,0.19,0.20,0.14,N/A,0.31,0.35,0.27,0.32,N/A,N/A,0.28,0.16,0.40,0.13,0.40
0.41,0.19,0.43,0.39,0.29,0.51,0.40,0.26,0.33,N/A,N/A,N/A,0.19,0.41,0.33,1,N/A,N/A,0.34,0.10,0.19,0.18,N/A,0.19,0.29,0.26,0.17,N/A,N/A,0.25,0.19,0.33,0.18,0.19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.22,0.16,0.32,0.35,0.21,0.37,0.28,0.16,0.36,N/A,N/A,N/A,0.06,0.30,0.19,0.34,N/A,N/A,1,0.10,0.23,0.14,N/A,0.13,0.07,0.11,0.09,N/A,N/A,0.22,0.12,0.25,0.03,0.07
0.13,0.11,0.26,0.22,0.21,0.26,0.22,0.23,0.24,N/A,N/A,N/A,0.08,0.23,0.19,0.10,N/A,N/A,0.10,1,0.11,0.10,N/A,0.26,0.07,0.21,0.09,N/A,N/A,0.11,0.05,0.22,0.02,0.23
