1,0.10,0.20,0.30,0.13,0.30,0.13,N/A
0.10,1,0.08,0.16,0.04,0.04,-0.02,N/A
0.20,0.08,1,0.06,0.18,0.08,0.03,N/A
0.30,0.16,0.06,1,0.11,0.23,0.13,N/A
0.13,0.04,0.18,0.11,1,0.01,0.22,N/A
0.30,0.04,0.08,0.23,0.01,1,-0.01,N/A
0.13,-0.02,0.03,0.13,0.22,-0.01,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
