1,0.02,-0.03,-0.02,0.38,0.06,0.05,-0.01,0.06,0.05,0.43,0.07,-0.01,0.16,0.06,-0.01,-0.03,0.15,-0.05,0.01,0.02,0.05,-0.00,0.03,-0.01,0.04,0.02,-0.06
0.02,1,0.15,0.01,0.06,0.38,0.10,-0.01,0.06,0.34,0.17,0.16,0.19,0.32,0.38,0.16,0.03,0.26,0.11,-0.00,0.06,0.33,0.06,0.11,0.18,0.36,0.12,0.03
-0.03,0.15,1,0.01,0.07,0.43,0.03,0.04,0.01,0.47,0.17,0.17,0.01,0.18,0.36,0.09,0.01,0.10,0.25,0.03,0.05,0.15,0.03,0.02,0.14,0.58,0.22,-0.02
-0.02,0.01,0.01,1,-0.00,0.08,0.04,-0.00,-0.01,0.06,-0.02,0.15,0.18,0.16,0.08,0.08,-0.01,0.10,0.03,0.26,0.01,0.08,-0.02,-0.00,0.05,0.06,0.01,-0.02
0.38,0.06,0.07,-0.00,1,0.21,0.09,0.01,0.12,0.17,0.38,0.04,0.12,0.21,0.18,0.05,0.03,0.19,0.06,0.17,0.01,0.21,-0.00,0.07,0.06,0.16,-0.00,-0.05
0.06,0.38,0.43,0.08,0.21,1,0.24,0.07,0.15,0.88,0.24,0.29,0.29,0.49,0.92,0.39,0.06,0.39,0.21,0.21,0.08,0.80,0.09,0.23,0.32,0.89,0.27,0.10
0.05,0.10,0.03,0.04,0.09,0.24,1,-0.01,0.01,0.19,0.05,0.11,0.15,0.17,0.20,0.36,0.02,0.14,0.04,0.02,0.13,0.25,0.01,0.07,0.08,0.16,0.04,0.04
-0.01,-0.01,0.04,-0.00,0.01,0.07,-0.01,1,0.09,0.03,0.01,0.02,0.01,0.12,0.04,0.06,-0.00,0.17,-0.03,0.20,0.01,0.10,-0.01,0.00,0.02,0.04,-0.01,0.03
0.06,0.06,0.01,-0.01,0.12,0.15,0.01,0.09,1,0.13,0.05,0.07,0.12,0.13,0.15,0.08,0.02,0.10,0.02,0.06,0.01,0.13,0.00,0.04,0.20,0.11,0.08,0.11
0.05,0.34,0.47,0.06,0.17,0.88,0.19,0.03,0.13,1,0.25,0.27,0.23,0.44,0.91,0.35,0.07,0.36,0.16,0.14,0.04,0.51,0.09,0.23,0.29,0.90,0.20,0.11
0.43,0.17,0.17,-0.02,0.38,0.24,0.05,0.01,0.05,0.25,1,0.32,0.05,0.22,0.24,0.10,0.01,0.19,0.06,0.05,0.03,0.14,-0.00,0.04,0.14,0.25,0.13,0.00
0.07,0.16,0.17,0.15,0.04,0.29,0.11,0.02,0.07,0.27,0.32,1,0.24,0.29,0.28,0.24,0.03,0.15,0.04,0.15,0.18,0.23,-0.02,0.04,0.17,0.29,0.17,0.05
-0.01,0.19,0.01,0.18,0.12,0.29,0.15,0.01,0.12,0.23,0.05,0.24,1,0.29,0.25,0.21,0.04,0.28,-0.00,0.17,0.13,0.32,0.05,0.06,0.14,0.19,0.09,-0.04
