1,0.38,0.86,0.74,0.07,0.61,0.81,0.48,0.60,0.81,0.81,0.21,0.24,0.44,0.10,0.24,0.88,0.73,0.77,0.77,0.23,0.53,0.30,0.84,0.60,0.21,0.83,0.75,0.86,0.32,0.55,0.77,0.19,0.33,0.81,0.15,0.77
0.38,1,0.42,0.35,0.03,0.29,0.40,0.33,0.31,0.46,0.41,0.06,0.22,0.33,0.05,0.14,0.40,0.30,0.38,0.43,0.38,0.27,0.09,0.44,0.18,0.14,0.49,0.41,0.44,0.23,0.19,0.50,0.11,0.11,0.45,0.25,0.39
0.86,0.42,1,0.88,0.09,0.57,0.88,0.47,0.63,0.84,0.88,0.27,0.25,0.46,0.10,0.22,0.94,0.77,0.84,0.79,0.23,0.55,0.31,0.87,0.58,0.15,0.85,0.78,0.89,0.34,0.54,0.79,0.20,0.29,0.88,0.19,0.81
0.74,0.35,0.88,1,0.06,0.48,0.79,0.41,0.56,0.70,0.79,0.22,0.20,0.42,0.07,0.18,0.80,0.65,0.76,0.66,0.16,0.50,0.28,0.78,0.53,0.11,0.74,0.67,0.77,0.28,0.51,0.68,0.22,0.26,0.77,0.14,0.71
0.07,0.03,0.09,0.06,1,0.03,0.11,0.02,0.12,0.07,0.08,0.06,0.02,0.04,0.01,0.01,0.09,0.06,0.06,0.06,0.05,0.04,0.03,0.07,0.03,0.00,0.16,0.08,0.10,0.02,0.04,0.07,0.03,0.00,0.09,0.05,0.06
0.61,0.29,0.57,0.48,0.03,1,0.51,0.37,0.40,0.54,0.51,0.21,0.19,0.32,0.03,0.19,0.56,0.46,0.49,0.53,0.20,0.33,0.16,0.58,0.40,0.13,0.58,0.52,0.57,0.23,0.35,0.56,0.23,0.25,0.56,0.19,0.53
0.81,0.40,0.88,0.79,0.11,0.51,1,0.37,0.57,0.79,0.91,0.25,0.20,0.44,0.06,0.16,0.90,0.79,0.83,0.74,0.25,0.54,0.33,0.84,0.53,0.21,0.83,0.75,0.85,0.25,0.53,0.73,0.15,0.24,0.86,0.19,0.77
0.48,0.33,0.47,0.41,0.02,0.37,0.37,1,0.34,0.49,0.40,0.07,0.25,0.28,0.05,0.06,0.45,0.30,0.39,0.68,0.18,0.33,0.11,0.46,0.33,0.02,0.45,0.68,0.46,0.20,0.29,0.55,0.11,0.24,0.46,0.12,0.69
0.60,0.31,0.63,0.56,0.12,0.40,0.57,0.34,1,0.56,0.53,0.12,0.11,0.34,0.15,0.21,0.63,0.51,0.56,0.58,0.06,0.40,0.15,0.60,0.38,0.10,0.56,0.47,0.64,0.25,0.42,0.52,0.14,0.15,0.60,0.09,0.51
0.81,0.46,0.84,0.70,0.07,0.54,0.79,0.49,0.56,1,0.77,0.22,0.28,0.45,0.06,0.20,0.84,0.66,0.71,0.86,0.27,0.50,0.24,0.79,0.51,0.20,0.80,0.74,0.79,0.36,0.47,0.77,0.23,0.29,0.80,0.18,0.72
0.81,0.41,0.88,0.79,0.08,0.51,0.91,0.40,0.53,0.77,1,0.25,0.23,0.44,0.06,0.17,0.93,0.86,0.83,0.74,0.23,0.53,0.24,0.83,0.49,0.16,0.83,0.82,0.84,0.31,0.47,0.70,0.16,0.21,0.87,0.18,0.83
0.21,0.06,0.27,0.22,0.06,0.21,0.25,0.07,0.12,0.22,0.25,1,0.04,0.15,0.08,0.01,0.28,0.20,0.20,0.22,0.08,0.10,0.04,0.21,0.16,0.04,0.18,0.17,0.20,0.10,0.15,0.22,0.03,0.01,0.26,0.08,0.19
0.24,0.22,0.25,0.20,0.02,0.19,0.20,0.25,0.11,0.28,0.23,0.04,1,0.20,0.08,0.05,0.25,0.22,0.21,0.27,0.24,0.13,0.01,0.25,0.15,0.35,0.27,0.34,0.26,0.32,0.10,0.24,0.08,0.26,0.27,0.11,0.26
0.44,0.33,0.46,0.42,0.04,0.32,0.44,0.28,0.34,0.45,0.44,0.15,0.20,1,0.01,0.08,0.45,0.41,0.44,0.43,0.12,0.30,0.16,0.49,0.38,0.11,0.48,0.41,0.43,0.14,0.33,0.43,0.09,0.14,0.48,0.11,0.41
0.10,0.05,0.10,0.07,0.01,0.03,0.06,0.05,0.15,0.06,0.06,0.08,0.08,0.01,1,0.00,0.10,0.07,0.07,0.09,0.06,0.08,0.03,0.08,0.02,0.08,0.08,0.07,0.11,0.03,0.06,0.05,0.05,0.07,0.05,0.05,0.07
0.24,0.14,0.22,0.18,0.01,0.19,0.16,0.06,0.21,0.20,0.17,0.01,0.05,0.08,0.00,1,0.22,0.17,0.18,0.19,0.02,0.12,0.01,0.19,0.07,0.06,0.19,0.13,0.22,0.22,0.07,0.20,-0.00,0.05,0.20,0.09,0.15
0.88,0.40,0.94,0.80,0.09,0.56,0.90,0.45,0.63,0.84,0.93,0.28,0.25,0.45,0.10,0.22,1,0.83,0.84,0.79,0.23,0.54,0.27,0.87,0.55,0.19,0.87,0.82,0.90,0.32,0.54,0.75,0.18,0.25,0.90,0.20,0.84
0.73,0.30,0.77,0.65,0.06,0.46,0.79,0.30,0.51,0.66,0.86,0.20,0.22,0.41,0.07,0.17,0.83,1,0.74,0.63,0.17,0.45,0.20,0.73,0.45,0.16,0.73,0.73,0.76,0.24,0.40,0.60,0.13,0.17,0.77,0.15,0.75
0.77,0.38,0.84,0.76,0.06,0.49,0.83,0.39,0.56,0.71,0.83,0.20,0.21,0.44,0.07,0.18,0.84,0.74,1,0.68,0.20,0.55,0.30,0.85,0.52,0.16,0.80,0.73,0.80,0.32,0.51,0.69,0.12,0.27,0.79,0.13,0.77
0.77,0.43,0.79,0.66,0.06,0.53,0.74,0.68,0.58,0.86,0.74,0.22,0.27,0.43,0.09,0.19,0.79,0.63,0.68,1,0.23,0.48,0.19,0.77,0.53,0.15,0.77,0.71,0.76,0.32,0.47,0.73,0.16,0.29,0.76,0.18,0.72
0.23,0.38,0.23,0.16,0.05,0.20,0.25,0.18,0.06,0.27,0.23,0.08,0.24,0.12,0.06,0.02,0.23,0.17,0.20,0.23,1,0.21,0.05,0.25,0.18,0.29,0.29,0.29,0.24,0.11,0.11,0.29,0.03,0.15,0.31,0.03,0.23
0.53,0.27,0.55,0.50,0.04,0.33,0.54,0.33,0.40,0.50,0.53,0.10,0.13,0.30,0.08,0.12,0.54,0.45,0.55,0.48,0.21,1,0.30,0.52,0.35,0.13,0.52,0.49,0.54,0.19,0.37,0.52,0.10,0.14,0.53,0.05,0.52
