1,0.17,0.23,0.22,0.11,0.21,0.61,0.36,0.20,0.07,0.12,0.10,0.15,0.08,0.28,0.15,0.20,0.47,0.03,0.19,0.45,0.52,0.16,0.38,0.14,0.03,0.10,0.20,0.33,0.11,0.11
0.17,1,0.28,0.26,0.05,0.13,0.19,0.09,0.14,0.07,0.11,0.02,0.17,0.12,0.19,0.06,0.11,0.24,0.04,0.10,0.10,0.11,0.09,0.24,0.09,0.10,0.06,0.16,0.19,0.09,0.11
0.23,0.28,1,0.76,0.11,0.25,0.21,0.15,0.37,0.22,0.32,0.24,0.43,0.29,0.47,0.13,0.06,0.19,0.16,0.27,0.14,0.31,0.40,0.47,0.23,0.08,0.10,0.52,0.23,0.25,0.34
0.22,0.26,0.76,1,0.18,0.33,0.25,0.15,0.45,0.29,0.48,0.26,0.44,0.31,0.49,0.20,0.08,0.17,0.20,0.31,0.18,0.28,0.38,0.53,0.25,0.16,0.20,0.48,0.30,0.34,0.37
0.11,0.05,0.11,0.18,1,0.09,0.10,0.08,0.05,0.15,0.21,0.06,0.12,0.03,0.04,0.12,0.12,0.09,0.13,0.08,0.09,0.03,0.03,0.24,0.04,0.03,0.38,0.06,0.22,0.52,0.12
0.21,0.13,0.25,0.33,0.09,1,0.23,0.06,0.27,0.19,0.29,0.13,0.24,0.23,0.28,0.16,0.16,0.14,0.12,0.29,0.26,0.20,0.30,0.38,0.08,0.11,0.13,0.30,0.29,0.17,0.23
0.61,0.19,0.21,0.25,0.10,0.23,1,0.21,0.28,0.17,0.06,0.07,0.20,0.09,0.26,0.15,0.26,0.33,0.06,0.15,0.45,0.38,0.15,0.36,0.07,0.01,0.30,0.20,0.33,0.18,0.13
0.36,0.09,0.15,0.15,0.08,0.06,0.21,1,0.11,0.02,0.09,0.04,0.15,0.06,0.17,0.12,0.06,0.18,0.02,0.11,0.25,0.20,0.06,0.25,0.03,0.00,0.03,0.14,0.20,0.09,0.08
0.20,0.14,0.37,0.45,0.05,0.27,0.28,0.11,1,0.17,0.25,0.13,0.43,0.22,0.59,0.17,0.15,0.18,0.10,0.40,0.26,0.16,0.29,0.37,0.22,0.10,0.15,0.41,0.26,0.26,0.54
0.07,0.07,0.22,0.29,0.15,0.19,0.17,0.02,0.17,1,0.11,0.13,0.18,0.15,0.14,0.12,0.23,0.14,0.27,0.27,0.09,0.04,0.19,0.29,0.07,0.00,0.09,0.24,0.24,0.21,0.16
0.12,0.11,0.32,0.48,0.21,0.29,0.06,0.09,0.25,0.11,1,0.22,0.29,0.22,0.29,0.17,0.00,0.08,0.09,0.27,0.15,0.16,0.33,0.30,0.18,0.24,0.09,0.28,0.15,0.24,0.26
0.10,0.02,0.24,0.26,0.06,0.13,0.07,0.04,0.13,0.13,0.22,1,0.16,0.14,0.21,0.13,0.04,0.05,0.07,0.15,0.06,0.18,0.22,0.18,0.10,0.02,0.04,0.25,0.10,0.11,0.19
0.15,0.17,0.43,0.44,0.12,0.24,0.20,0.15,0.43,0.18,0.29,0.16,1,0.26,0.47,0.24,0.08,0.15,0.08,0.25,0.20,0.14,0.31,0.42,0.18,0.11,0.15,0.42,0.29,0.29,0.33
0.08,0.12,0.29,0.31,0.03,0.23,0.09,0.06,0.22,0.15,0.22,0.14,0.26,1,0.23,0.15,0.01,0.02,0.07,0.26,0.12,0.10,0.33,0.30,0.14,0.04,0.07,0.30,0.15,0.09,0.34
0.28,0.19,0.47,0.49,0.04,0.28,0.26,0.17,0.59,0.14,0.29,0.21,0.47,0.23,1,0.16,0.12,0.26,0.05,0.45,0.24,0.24,0.43,0.45,0.21,0.11,0.14,0.48,0.25,0.25,0.42
0.15,0.06,0.13,0.20,0.12,0.16,0.15,0.12,0.17,0.12,0.17,0.13,0.24,0.15,0.16,1,-0.01,0.01,0.04,0.05,0.13,0.07,0.08,0.12,0.19,0.02,0.08,0.14,0.07,0.20,0.11
0.20,0.11,0.06,0.08,0.12,0.16,0.26,0.06,0.15,0.23,0.00,0.04,0.08,0.01,0.12,-0.01,1,0.07,0.03,0.25,0.18,0.22,0.02,0.44,0.05,0.01,0.01,0.08,0.53,0.14,0.13
0.47,0.24,0.19,0.17,0.09,0.14,0.33,0.18,0.18,0.14,0.08,0.05,0.15,0.02,0.26,0.01,0.07,1,0.10,0.18,0.19,0.23,0.14,0.24,0.03,-0.02,0.02,0.11,0.19,0.05,0.05
0.03,0.04,0.16,0.20,0.13,0.12,0.06,0.02,0.10,0.27,0.09,0.07,0.08,0.07,0.05,0.04,0.03,0.10,1,0.05,0.03,-0.01,0.09,0.13,0.10,0.00,0.09,0.15,0.07,0.12,0.14
0.19,0.10,0.27,0.31,0.08,0.29,0.15,0.11,0.40,0.27,0.27,0.15,0.25,0.26,0.45,0.05,0.25,0.18,0.05,1,0.27,0.14,0.48,0.42,0.19,0.18,-0.00,0.38,0.33,0.15,0.30
0.45,0.10,0.14,0.18,0.09,0.26,0.45,0.25,0.26,0.09,0.15,0.06,0.20,0.12,0.24,0.13,0.18,0.19,0.03,0.27,1,0.29,0.11,0.33,0.02,0.25,0.14,0.25,0.32,0.19,0.16
0.52,0.11,0.31,0.28,0.03,0.20,0.38,0.20,0.16,0.04,0.16,0.18,0.14,0.10,0.24,0.07,0.22,0.23,-0.01,0.14,0.29,1,0.23,0.34,0.09,0.08,0.07,0.21,0.27,0.06,0.17
0.16,0.09,0.40,0.38,0.03,0.30,0.15,0.06,0.29,0.19,0.33,0.22,0.31,0.33,0.43,0.08,0.02,0.14,0.09,0.48,0.11,0.23,1,0.35,0.15,0.10,0.10,0.37,0.15,0.15,0.30
0.38,0.24,0.47,0.53,0.24,0.38,0.36,0.25,0.37,0.29,0.30,0.18,0.42,0.30,0.45,0.12,0.44,0.24,0.13,0.42,0.33,0.34,0.35,1,0.17,0.09,0.18,0.37,0.86,0.33,0.32
0.14,0.09,0.23,0.25,0.04,0.08,0.07,0.03,0.22,0.07,0.18,0.10,0.18,0.14,0.21,0.19,0.05,0.03,0.10,0.19,0.02,0.09,0.15,0.17,1,0.01,0.04,0.18,0.06,0.27,0.12
0.03,0.10,0.08,0.16,0.03,0.11,0.01,0.00,0.10,0.00,0.24,0.02,0.11,0.04,0.11,0.02,0.01,-0.02,0.00,0.18,0.25,0.08,0.10,0.09,0.01,1,0.01,0.13,0.02,0.01,0.15
0.10,0.06,0.10,0.20,0.38,0.13,0.30,0.03,0.15,0.09,0.09,0.04,0.15,0.07,0.14,0.08,0.01,0.02,0.09,-0.00,0.14,0.07,0.10,0.18,0.04,0.01,1,0.14,0.17,0.33,0.14
0.20,0.16,0.52,0.48,0.06,0.30,0.20,0.14,0.41,0.24,0.28,0.25,0.42,0.30,0.48,0.14,0.08,0.11,0.15,0.38,0.25,0.21,0.37,0.37,0.18,0.13,0.14,1,0.19,0.26,0.40
0.33,0.19,0.23,0.30,0.22,0.29,0.33,0.20,0.26,0.24,0.15,0.10,0.29,0.15,0.25,0.07,0.53,0.19,0.07,0.33,0.32,0.27,0.15,0.86,0.06,0.02,0.17,0.19,1,0.28,0.20
0.11,0.09,0.25,0.34,0.52,0.17,0.18,0.09,0.26,0.21,0.24,0.11,0.29,0.09,0.25,0.20,0.14,0.05,0.12,0.15,0.19,0.06,0.15,0.33,0.27,0.01,0.33,0.26,0.28,1,0.17
0.11,0.11,0.34,0.37,0.12,0.23,0.13,0.08,0.54,0.16,0.26,0.19,0.33,0.34,0.42,0.11,0.13,0.05,0.14,0.30,0.16,0.17,0.30,0.32,0.12,0.15,0.14,0.40,0.20,0.17,1
