1,-0.01,0.08,N/A,0.03,0.06,0.24,N/A,0.04,0.05,0.19,N/A
-0.01,1,0.02,N/A,-0.02,-0.01,0.08,N/A,0.10,0.01,0.05,N/A
0.08,0.02,1,N/A,0.21,0.15,0.35,N/A,0.30,0.17,0.20,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,-0.02,0.21,N/A,1,-0.01,0.23,N/A,0.05,0.04,0.07,N/A
0.06,-0.01,0.15,N/A,-0.01,1,0.11,N/A,0.06,0.02,0.11,N/A
0.24,0.08,0.35,N/A,0.23,0.11,1,N/A,0.23,0.24,0.30,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.10,0.30,N/A,0.05,0.06,0.23,N/A,1,0.07,0.21,N/A
0.05,0.01,0.17,N/A,0.04,0.02,0.24,N/A,0.07,1,0.05,N/A
0.19,0.05,0.20,N/A,0.07,0.11,0.30,N/A,0.21,0.05,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
