0.46,N/A,0.05,N/A,0.36,0.04,0.30,0.49,0.33,0.58,0.03,0.05,0.46,0.12,0.21,0.20,0.36,0.36,0.52,1,0.40,N/A,0.41,0.04,N/A,0.04,0.07,0.10,0.41,0.26,0.12,0.27,0.28,0.12,0.33,0.24
0.20,N/A,0.08,N/A,0.20,0.01,0.17,0.27,0.19,0.42,0.05,0.11,0.50,0.04,0.12,0.16,0.11,0.20,0.39,0.40,1,N/A,0.33,0.03,N/A,0.16,0.08,0.04,0.45,0.19,0.16,0.16,0.24,0.07,0.30,0.22
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.49,N/A,0.15,N/A,0.57,0.10,0.49,0.21,0.22,0.50,0.14,0.07,0.65,0.23,0.43,0.86,0.41,0.57,0.75,0.41,0.33,N/A,1,0.01,N/A,0.11,0.10,0.18,0.58,0.26,0.16,0.52,0.37,0.34,0.51,0.33
0.08,N/A,-0.00,N/A,-0.09,-0.00,-0.01,0.14,0.01,0.12,0.05,0.04,0.06,0.31,0.09,0.04,0.01,-0.09,-0.01,0.04,0.03,N/A,0.01,1,N/A,-0.14,-0.00,0.02,0.02,0.07,-0.02,-0.04,0.09,0.03,0.05,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,N/A,-0.01,N/A,0.04,0.00,0.05,0.02,-0.01,0.11,0.02,0.06,0.12,0.04,0.04,0.06,0.06,0.04,0.12,0.04,0.16,N/A,0.11,-0.14,N/A,1,-0.02,-0.04,0.14,0.03,0.05,0.05,0.03,-0.02,0.09,0.05
0.06,N/A,0.26,N/A,0.16,0.09,0.00,0.06,0.14,0.12,-0.06,0.01,0.11,0.09,0.03,0.01,-0.02,0.16,0.15,0.07,0.08,N/A,0.10,-0.00,N/A,-0.02,1,0.04,0.10,0.05,-0.00,0.18,0.09,0.01,0.12,0.04
0.13,N/A,0.10,N/A,0.18,0.08,0.15,0.10,0.05,0.14,0.05,0.07,0.14,0.10,0.19,0.09,0.14,0.18,0.23,0.10,0.04,N/A,0.18,0.02,N/A,-0.04,0.04,1,0.07,0.09,-0.03,0.17,0.08,0.07,0.11,0.16
0.25,N/A,0.14,N/A,0.27,0.08,0.31,0.39,0.26,0.69,0.14,0.12,0.80,0.22,0.30,0.32,0.18,0.27,0.65,0.41,0.45,N/A,0.58,0.02,N/A,0.14,0.10,0.07,1,0.43,0.32,0.28,0.36,0.17,0.59,0.36
0.07,N/A,0.04,N/A,0.12,0.05,0.13,0.39,0.07,0.48,0.01,0.06,0.45,0.07,0.20,0.11,0.15,0.12,0.34,0.26,0.19,N/A,0.26,0.07,N/A,0.03,0.05,0.09,0.43,1,0.08,0.15,0.12,0.08,0.34,0.24
0.01,N/A,-0.01,N/A,0.04,0.01,0.09,0.19,0.03,0.27,0.03,-0.02,0.30,0.04,0.04,0.09,0.02,0.04,0.19,0.12,0.16,N/A,0.16,-0.02,N/A,0.05,-0.00,-0.03,0.32,0.08,1,0.03,0.05,0.03,0.20,0.13
0.35,N/A,0.42,N/A,0.85,0.04,0.37,0.09,0.21,0.22,0.10,0.04,0.30,0.14,0.27,0.18,0.26,0.85,0.69,0.27,0.16,N/A,0.52,-0.04,N/A,0.05,0.18,0.17,0.28,0.15,0.03,1,0.13,0.16,0.25,0.17
0.22,N/A,0.00,N/A,0.17,0.09,0.21,0.16,0.21,0.35,0.09,0.01,0.32,0.12,0.24,0.29,0.26,0.17,0.33,0.28,0.24,N/A,0.37,0.09,N/A,0.03,0.09,0.08,0.36,0.12,0.05,0.13,1,0.15,0.24,0.12
0.25,N/A,-0.02,N/A,0.15,0.00,0.15,0.10,0.04,0.26,0.00,0.01,0.21,0.16,0.16,0.31,0.15,0.15,0.25,0.12,0.07,N/A,0.34,0.03,N/A,-0.02,0.01,0.07,0.17,0.08,0.03,0.16,0.15,1,0.15,0.12
0.29,N/A,0.07,N/A,0.23,0.17,0.32,0.29,0.23,0.51,0.08,0.11,0.86,0.19,0.53,0.36,0.25,0.23,0.51,0.33,0.30,N/A,0.51,0.05,N/A,0.09,0.12,0.11,0.59,0.34,0.20,0.25,0.24,0.15,1,0.39
0.15,N/A,0.04,N/A,0.13,0.11,0.20,0.27,0.14,0.42,0.05,0.11,0.51,0.27,0.31,0.20,0.12,0.13,0.37,0.24,0.22,N/A,0.33,0.09,N/A,0.05,0.04,0.16,0.36,0.24,0.13,0.17,0.12,0.12,0.39,1
