N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.01,0.15,0.21,0.03,0.15,-0.01,0.13,N/A,0.00,0.07,0.06,0.05,N/A,0.10,-0.01,N/A,0.02
N/A,0.01,1,0.01,0.14,0.09,0.01,0.01,0.04,N/A,-0.01,0.14,0.04,0.03,N/A,0.16,0.09,N/A,-0.00
N/A,0.15,0.01,1,0.18,0.00,1.00,0.05,-0.02,N/A,0.03,0.01,0.09,-0.03,N/A,0.09,0.04,N/A,0.02
N/A,0.21,0.14,0.18,1,0.28,0.18,0.06,0.26,N/A,0.05,0.21,0.28,0.27,N/A,0.50,0.09,N/A,0.20
N/A,0.03,0.09,0.00,0.28,1,0.00,0.12,0.13,N/A,0.00,0.11,0.19,0.21,N/A,0.21,0.23,N/A,0.09
N/A,0.15,0.01,1.00,0.18,0.00,1,0.05,-0.02,N/A,0.03,0.01,0.09,-0.03,N/A,0.09,0.04,N/A,0.02
N/A,-0.01,0.01,0.05,0.06,0.12,0.05,1,-0.01,N/A,0.14,0.06,0.01,-0.02,N/A,0.03,0.14,N/A,0.00
N/A,0.13,0.04,-0.02,0.26,0.13,-0.02,-0.01,1,N/A,0.05,0.07,0.28,0.08,N/A,0.23,0.14,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.00,-0.01,0.03,0.05,0.00,0.03,0.14,0.05,N/A,1,0.03,0.09,0.12,N/A,0.15,0.08,N/A,-0.03
N/A,0.07,0.14,0.01,0.21,0.11,0.01,0.06,0.07,N/A,0.03,1,0.07,0.15,N/A,0.24,0.11,N/A,0.03
N/A,0.06,0.04,0.09,0.28,0.19,0.09,0.01,0.28,N/A,0.09,0.07,1,0.46,N/A,0.29,0.36,N/A,0.01
N/A,0.05,0.03,-0.03,0.27,0.21,-0.03,-0.02,0.08,N/A,0.12,0.15,0.46,1,N/A,0.17,0.35,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.10,0.16,0.09,0.50,0.21,0.09,0.03,0.23,N/A,0.15,0.24,0.29,0.17,N/A,1,0.06,N/A,0.06
N/A,-0.01,0.09,0.04,0.09,0.23,0.04,0.14,0.14,N/A,0.08,0.11,0.36,0.35,N/A,0.06,1,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.02,-0.00,0.02,0.20,0.09,0.02,0.00,0.04,N/A,-0.03,0.03,0.01,0.09,N/A,0.06,0.01,N/A,1
