1,N/A,N/A,-0.00,0.07,N/A,0.05,0.05,0.11,0.11,0.13,0.14,0.11,0.08,0.02,N/A,N/A,0.03,0.10,0.11,0.12,-0.02,0.04,0.11,0.02,-0.03,0.11,0.08,-0.02,0.01,0.11,-0.01,0.08,0.01,0.10,N/A,0.16,0.09,0.19,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,N/A,N/A,1,0.02,N/A,0.03,-0.02,0.11,0.11,0.10,0.08,0.17,0.09,0.00,N/A,N/A,0.14,0.11,0.12,0.15,0.06,0.01,0.12,0.35,0.48,0.12,-0.02,0.39,0.05,0.12,0.03,0.10,0.31,0.16,N/A,0.03,0.17,0.08,N/A
0.07,N/A,N/A,0.02,1,N/A,0.08,-0.01,0.12,0.13,0.10,0.09,0.15,0.16,-0.02,N/A,N/A,-0.04,0.11,0.13,0.04,0.03,0.18,0.13,0.03,0.00,0.13,0.06,-0.02,0.08,0.13,-0.02,0.14,0.13,0.14,N/A,0.18,-0.01,0.16,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,N/A,N/A,0.03,0.08,N/A,1,0.09,0.36,0.38,0.34,0.28,0.44,0.32,0.01,N/A,N/A,0.15,0.35,0.38,0.11,0.21,0.38,0.38,0.13,0.02,0.38,0.27,0.04,0.16,0.38,0.07,0.25,0.35,0.37,N/A,0.02,0.13,0.28,N/A
0.05,N/A,N/A,-0.02,-0.01,N/A,0.09,1,0.04,0.04,0.07,0.09,0.05,0.04,0.01,N/A,N/A,0.02,0.04,0.04,0.01,0.17,0.07,0.04,0.05,0.01,0.04,0.17,-0.03,0.21,0.04,-0.00,0.05,0.05,0.09,N/A,-0.04,-0.00,0.07,N/A
0.11,N/A,N/A,0.11,0.12,N/A,0.36,0.04,1,0.96,0.48,0.41,0.56,0.85,0.01,N/A,N/A,0.15,0.88,0.96,0.24,0.28,0.17,0.96,0.28,0.01,0.96,0.24,0.13,0.23,0.96,-0.01,0.37,0.43,0.82,N/A,0.07,0.35,0.44,N/A
0.11,N/A,N/A,0.11,0.13,N/A,0.38,0.04,0.96,1,0.49,0.42,0.57,0.88,0.01,N/A,N/A,0.15,0.91,1.00,0.24,0.30,0.18,1.00,0.29,0.00,1.00,0.25,0.14,0.24,1.00,-0.01,0.36,0.45,0.84,N/A,0.07,0.37,0.44,N/A
0.13,N/A,N/A,0.10,0.10,N/A,0.34,0.07,0.48,0.49,1,0.41,0.56,0.42,-0.00,N/A,N/A,0.15,0.45,0.49,0.11,0.27,0.11,0.49,0.21,0.04,0.49,0.13,0.08,0.13,0.49,0.03,0.35,0.35,0.52,N/A,0.05,0.16,0.45,N/A
0.14,N/A,N/A,0.08,0.09,N/A,0.28,0.09,0.41,0.42,0.41,1,0.67,0.40,0.04,N/A,N/A,0.19,0.39,0.42,0.13,0.57,0.27,0.41,0.27,0.05,0.41,0.41,0.16,0.17,0.41,0.06,0.86,0.47,0.67,N/A,0.08,0.18,0.94,N/A
0.11,N/A,N/A,0.17,0.15,N/A,0.44,0.05,0.56,0.57,0.56,0.67,1,0.53,-0.00,N/A,N/A,0.21,0.52,0.57,0.15,0.37,0.29,0.57,0.26,0.08,0.57,0.36,0.14,0.25,0.57,0.05,0.62,0.53,0.66,N/A,0.08,0.29,0.71,N/A
0.08,N/A,N/A,0.09,0.16,N/A,0.32,0.04,0.85,0.88,0.42,0.40,0.53,1,0.01,N/A,N/A,0.19,0.81,0.88,0.24,0.28,0.16,0.88,0.30,0.02,0.88,0.21,0.10,0.26,0.88,-0.02,0.35,0.43,0.75,N/A,0.02,0.38,0.41,N/A
0.02,N/A,N/A,0.00,-0.02,N/A,0.01,0.01,0.01,0.01,-0.00,0.04,-0.00,0.01,1,N/A,N/A,-0.01,0.01,0.01,-0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.00,0.07,0.06,0.02,N/A,-0.01,0.02,0.03,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
